,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
codebleu,0.3106,-0.2486,-0.0123,0.2075,0.2380,-0.0378,0.0302,0.1363,-0.4336,0.4104,0.6038,0.0007
ngram_match_score,0.2688,-0.4154,0.2496,-0.0848,0.1917,-0.0580,0.0049,0.6902,0.0931,-0.0727,-0.3940,-0.0056
weighted_ngram_match_score,0.2728,-0.3898,0.2511,-0.0411,0.2751,0.3648,-0.3055,-0.5449,-0.0811,-0.3126,-0.0747,0.0022
syntax_match_score,0.2997,0.0527,-0.3623,0.3590,-0.4561,0.5333,-0.3151,0.2253,0.0352,-0.0014,-0.0590,-0.0008
dataflow_match_score,0.2959,-0.0584,-0.2749,0.6335,0.1602,-0.4674,0.1898,-0.2170,0.1750,-0.1816,-0.2034,0.0016
rouge1,0.3226,0.0885,-0.1416,-0.2833,-0.1753,-0.0723,0.2264,-0.0859,-0.3916,-0.0725,-0.1935,-0.7051
rouge2,0.3259,-0.0939,-0.0299,-0.2548,-0.0824,-0.0571,-0.0491,-0.2651,0.4816,0.6934,-0.1535,-0.0081
rougeL,0.3238,-0.0771,-0.0626,-0.3044,-0.2155,-0.1637,0.0546,0.0795,0.4252,-0.4509,0.5709,0.0051
rougeLsum,0.3228,0.0859,-0.1399,-0.2845,-0.1740,-0.0720,0.2231,-0.0812,-0.3862,-0.0606,-0.2014,0.7090
score_document_norm,0.2065,0.5306,-0.3036,-0.2055,0.6060,-0.0105,-0.3881,0.1391,0.0406,-0.0480,-0.0130,-0.0006
score_reference_norm,0.2336,0.3558,0.6153,0.1670,-0.2959,-0.3563,-0.4277,-0.0049,-0.1214,0.0142,0.0014,-0.0003
score_reference_document_norm,0.2509,0.4116,0.3904,0.1703,0.1682,0.4378,0.5749,0.0179,0.1823,0.0044,0.0461,0.0009
