,Compile@1,Pass@1,LLM_Judge,CodeBLEU,ROUGE,Pass_Rate,rank_Compile@1,rank_Pass@1,rank_LLM_Judge,rank_CodeBLEU,rank_ROUGE,rank_var,rank_range,norm_compile,norm_pass,norm_llm,norm_codebleu,norm_rouge,overall
Gemini-1.5-pro,8,7,39.2100,0.6090,0.7270,0.8750,16.0000,6.0000,3.0000,3.0000,4.0000,46.3333,13.0000,0.3810,0.5385,0.9423,0.9838,0.9591,0.7609
claude-3-5-sonnet,8,7,33.7500,0.5910,0.7570,0.8750,16.0000,6.0000,14.0000,8.0000,2.0000,28.0000,10.0000,0.3810,0.5385,0.8111,0.9548,0.9987,0.7368
codestral-22b-instruct-v0.1,21,10,37.8600,0.6080,0.6990,0.4762,2.0000,2.0000,6.0000,4.0000,10.0000,5.3333,4.0000,1.0000,0.7692,0.9099,0.9822,0.9222,0.9167
gemma-2-27b-it,21,5,37.3800,0.5900,0.7100,0.2381,2.0000,9.5000,10.0000,9.0000,8.5000,20.0833,8.0000,1.0000,0.3846,0.8983,0.9532,0.9367,0.8346
gemma-2-2b-it,20,3,31.0700,0.5420,0.6410,0.1500,5.5000,15.5000,17.0000,14.0000,15.0000,39.0833,11.5000,0.9524,0.2308,0.7467,0.8756,0.8456,0.7302
gemma-2-9b-it,21,4,33.4600,0.5750,0.6880,0.1905,2.0000,11.5000,15.0000,11.0000,11.0000,45.2500,13.0000,1.0000,0.3077,0.8041,0.9289,0.9077,0.7897
gpt-4o,2,2,33.9000,0.6070,0.7580,1.0000,19.0000,19.0000,13.0000,5.0000,1.0000,12.0000,6.0000,0.0952,0.1538,0.8147,0.9806,1.0000,0.6089
gpt-4o-mini,20,13,41.6100,0.6100,0.7230,0.6500,5.5000,1.0000,1.0000,2.0000,5.0000,6.7500,4.5000,0.9524,1.0000,1.0000,0.9855,0.9538,0.9783
llama-3.1-405b-instruct,20,7,39.0400,0.6190,0.7200,0.3500,5.5000,6.0000,4.0000,1.0000,6.0000,1.0833,2.0000,0.9524,0.5385,0.9382,1.0000,0.9499,0.8758
llama-3.1-70b-instruct,9,4,39.6900,0.5400,0.7100,0.4444,13.5000,11.5000,2.0000,15.0000,8.5000,37.7500,11.5000,0.4286,0.3077,0.9539,0.8724,0.9367,0.6998
llama-3.1-8b-instruct,14,5,37.6300,0.5710,0.6560,0.3571,11.0000,9.5000,8.0000,12.0000,13.0000,2.2500,3.0000,0.6667,0.3846,0.9043,0.9225,0.8654,0.7487
mamba-codestral-7b-v0.1,16,3,31.8300,0.4730,0.5670,0.1875,9.0000,15.5000,16.0000,18.0000,18.0000,15.2500,7.0000,0.7619,0.2308,0.7650,0.7641,0.7480,0.6540
mistral-large-latest,9,3,37.5000,0.6020,0.7400,0.3333,13.5000,15.5000,9.0000,6.0000,3.0000,11.0833,6.5000,0.4286,0.2308,0.9012,0.9725,0.9763,0.7019
mistral-nemo-12b-instruct,18,7,36.4200,0.5520,0.6480,0.3889,8.0000,6.0000,11.0000,13.0000,14.0000,6.3333,5.0000,0.8571,0.5385,0.8753,0.8918,0.8549,0.8035
mixtral-8x22b-instruct-v0.1,20,8,38.8800,0.5890,0.6670,0.4000,5.5000,3.0000,5.0000,10.0000,12.0000,1.7500,2.5000,0.9524,0.6154,0.9344,0.9515,0.8799,0.8667
mixtral-8x7b-instruct-v0.1,15,7,37.7200,0.5080,0.6240,0.4667,10.0000,6.0000,7.0000,16.0000,16.0000,4.3333,4.0000,0.7143,0.5385,0.9065,0.8207,0.8232,0.7606
nemotron-4-340b-instruct,8,3,35.0900,0.5980,0.7190,0.3750,16.0000,15.5000,12.0000,7.0000,7.0000,4.7500,4.0000,0.3810,0.2308,0.8433,0.9661,0.9485,0.6739
phi-3-medium-128k-instruct,6,3,22.0100,0.3760,0.3960,0.5000,18.0000,15.5000,19.0000,19.0000,19.0000,3.2500,3.5000,0.2857,0.2308,0.5290,0.6074,0.5224,0.4351
phi-3-mini-128k-instruct,11,3,27.7600,0.5020,0.5820,0.2727,12.0000,15.5000,18.0000,17.0000,17.0000,9.0833,6.0000,0.5238,0.2308,0.6671,0.8110,0.7678,0.6001
