System,Category,Turn,Total_Lines,Code_Lines,Ref_Chars,Ref_Tokens,Input_Chars,Input_Tokens,Est_Tokens
art,MBS,1,148,87,3278,872,538,98,819
art,MBS,2,148,87,3283,874,516,133,820
art,MBS,3,148,87,3278,872,226,65,819
beam,FEA,1,123,78,2991,973,266,48,747
beam,FEA,2,153,87,3434,1051,997,268,858
beam,FEA,3,159,91,3649,1111,277,84,912
buckling,FEA,1,203,131,5336,1722,390,70,1334
buckling,FEA,2,196,130,5303,1726,1542,475,1325
buckling,FEA,3,196,130,5303,1726,264,54,1325
cable,FEA,1,99,63,2480,708,279,57,620
cable,FEA,2,98,65,2526,725,1071,277,631
cable,FEA,3,148,106,4422,1366,1612,335,1105
camera,Sensor,1,191,87,4270,1162,402,85,1067
camera,Sensor,2,188,84,3906,1047,795,208,976
camera,Sensor,3,180,81,3924,1064,640,145,981
citybus,Vehicle,1,136,85,3240,852,621,114,810
citybus,Vehicle,2,136,84,3320,886,744,192,830
citybus,Vehicle,3,136,85,3238,851,337,92,809
curiosity,Robot,1,74,47,1770,540,410,70,442
curiosity,Robot,2,77,49,1924,594,265,72,481
curiosity,Robot,3,132,89,3236,941,528,124,809
feda,Vehicle,1,141,84,3176,838,604,114,794
feda,Vehicle,2,141,84,3271,888,787,178,817
feda,Vehicle,3,182,109,4261,1162,762,154,1065
gator,Vehicle,1,149,84,3186,840,558,105,796
gator,Vehicle,2,171,101,4284,1219,278,58,1071
gator,Vehicle,3,149,84,3198,844,437,90,799
gear,MBS,1,123,87,5793,1204,290,57,1448
gear,MBS,2,123,87,5793,1207,1005,304,1448
gear,MBS,3,160,112,5506,1818,1217,296,1376
gps_imu,Sensor,1,177,107,4224,1068,444,86,1056
gps_imu,Sensor,2,195,125,4851,1272,662,132,1212
gps_imu,Sensor,3,195,125,4830,1247,443,109,1207
handler,Robot,1,94,56,2304,624,505,92,576
handler,Robot,2,95,57,2378,637,285,76,594
handler,Robot,3,122,81,3430,953,523,110,857
hmmwv,Vehicle,1,139,82,3175,844,590,114,793
hmmwv,Vehicle,2,158,97,3970,1112,825,176,992
hmmwv,Vehicle,3,156,95,3545,963,654,146,886
kraz,Vehicle,1,137,82,3134,828,469,80,783
kraz,Vehicle,2,156,99,3673,1015,394,114,918
