Rank,Test Model,RankMetric,Score Document,Score Reference,Score Reference Document
1,gpt-4o-mini-f3,68.12,38.52,67.04,68.12
2,gpt-4o-mini-f1,52.79,37.34,49.54,52.79
3,claude-4-sonnet-20250514,49.18,55.21,38.68,49.18
4,o3,46.32,66.61,36.84,46.32
5,claude-3-7-sonnet-20250219,43.34,54.64,36.43,43.34
6,llama3.3-70b-sft1,42.89,38.32,36.92,42.89
7,qwen3-235b-a22b,42.12,54.63,31.50,42.12
8,o4-mini,42.05,54.26,34.61,42.05
9,gpt-4o-mini,41.61,43.66,34.14,41.61
10,gpt-4.1-mini,41.49,53.88,31.61,41.49
11,Gemini-2.5-pro,41.46,61.99,30.84,41.46
12,llama-3.3-70b-instruct,41.08,41.86,33.73,41.08
13,pe_gpt-4o-mini,41.07,52.74,34.67,41.07
14,llama4_maverick,41.06,44.01,32.88,41.06
15,pe_llama-3.1-405b-instruct,40.87,41.83,34.97,40.87
16,llama4_scout,40.82,37.85,33.77,40.82
17,pe_deepseek-r1-32b,40.57,45.64,35.30,40.57
18,llama3.3-70b-lora1,40.18,32.18,31.33,40.18
19,pe_llama-3.1-70b-instruct,39.97,43.38,34.75,39.97
20,gpt-4.1,39.89,55.38,33.79,39.89
21,pe_llama-3.3-70b-instruct,39.85,48.20,35.15,39.85
22,llama-3.1-70b-instruct,39.69,39.44,33.33,39.69
23,gpt-4.1-nano,39.37,38.75,30.70,39.37
24,llama4-109b-lora1,39.35,34.43,33.03,39.35
25,Gemini-1.5-pro,39.21,42.71,32.94,39.21
26,llama3.1-8b-lora1,39.07,34.92,32.77,39.07
27,pe_llama-3.1-8b-instruct,39.06,37.23,33.19,39.06
28,llama-3.1-405b-instruct,39.04,38.03,33.09,39.04
29,pe_llama4_scout,39.01,48.25,34.07,39.01
30,mixtral-8x22b-instruct-v0.1,38.88,36.86,33.78,38.88
31,llama3.1-8b-f1,38.79,35.04,33.13,38.79
32,pe_llama4_maverick,38.64,43.54,31.74,38.64
33,deepseek-r1-32b,38.61,33.57,33.01,38.61
34,deepseek-r1,38.17,53.88,32.27,38.17
35,codestral-22b-instruct-v0.1,37.86,39.70,32.43,37.86
36,mixtral-8x7b-instruct-v0.1,37.72,30.74,34.43,37.72
37,llama-3.1-8b-instruct,37.63,34.51,31.12,37.63
38,mistral-large-latest,37.50,43.93,33.28,37.50
39,gemma-2-27b-it,37.38,36.55,29.26,37.38
40,pe_deepseek-r1-8b,36.91,34.66,30.62,36.91
41,mistral-nemo-12b-instruct,36.42,31.81,29.75,36.42
42,nemotron-4-340b-instruct,35.09,39.87,30.40,35.09
43,deepseek-r1-8b,34.03,26.68,26.27,34.03
44,gpt-4o,33.90,49.36,28.28,33.90
45,claude-3-5-sonnet,33.75,52.78,25.85,33.75
46,gemma-2-9b-it,33.46,30.44,29.39,33.46
47,mamba-codestral-7b-v0.1,31.83,27.94,29.42,31.83
48,gemma-2-2b-it,31.07,24.37,27.45,31.07
49,phi-3-mini-128k-instruct,27.76,23.81,24.64,27.76
50,gemma-3-1b-it,27.55,28.25,25.62,27.55
51,phi-3-medium-128k-instruct,22.01,19.71,19.99,22.01
