Rank,Model,ELO_Combined,ELO_Document,ELO_Reference,ELO_RefDoc
1,gpt-4o-mini-f3,2072.1,1716.8,2262.8,2236.8
2,o3,1850.2,2077.5,1689.3,1783.8
3,qwen3-235b-a22b,1778.2,1953.7,1778.2,1602.7
4,llama4_scout,1765.6,1581.6,1838.9,1876.4
5,claude-3-7-sonnet-20250219,1738.3,1816.7,1795.0,1603.2
6,llama3.1-8b-f1,1721.0,1450.7,1950.0,1762.1
7,gpt-4o-mini-f1,1714.0,1741.7,1604.6,1795.8
8,claude-4-sonnet-20250514,1668.4,1732.3,1286.3,1986.8
9,mistral-large-latest,1655.2,1913.8,1695.6,1356.2
10,gemma-2-27b-it,1635.3,1670.0,1346.0,1889.8
11,mistral-nemo-12b-instruct,1632.7,1435.8,1710.7,1751.6
12,gpt-4o-mini,1609.8,1666.3,1729.7,1433.5
13,gpt-4.1-mini,1586.0,1808.9,1467.0,1482.2
14,deepseek-r1,1547.8,1800.0,1659.7,1183.9
15,o4-mini,1531.2,1428.4,1303.1,1862.2
16,llama-3.3-70b-instruct,1519.7,1503.8,1506.7,1548.6
17,llama4-109b-lora1,1516.5,1698.0,1382.7,1468.6
18,mixtral-8x7b-instruct-v0.1,1501.3,1382.0,1775.3,1346.7
19,gpt-4.1,1493.9,1949.8,1370.4,1161.6
20,Gemini-2.5-pro,1493.4,1350.2,1334.2,1795.9
21,llama4_maverick,1484.6,1530.5,1596.8,1326.5
22,llama-3.1-405b-instruct,1474.4,1233.8,1598.5,1590.8
23,gpt-4.1-nano,1468.1,1509.7,1383.8,1510.8
24,mixtral-8x22b-instruct-v0.1,1460.7,1486.7,1604.9,1290.4
25,nemotron-4-340b-instruct,1449.3,1739.8,1535.8,1072.3
26,llama3.3-70b-sft1,1443.1,1565.5,1488.5,1275.3
27,claude-3-5-sonnet,1441.3,1636.4,1025.9,1661.7
28,mamba-codestral-7b-v0.1,1429.9,1547.3,1193.9,1548.4
29,llama-3.1-70b-instruct,1408.5,1246.5,1414.2,1564.6
30,codestral-22b-instruct-v0.1,1407.9,1377.0,1212.9,1634.0
31,gemma-3-1b-it,1393.4,1121.7,1654.5,1403.9
32,deepseek-r1-32b,1391.7,1073.4,1478.5,1623.4
33,llama-3.1-8b-instruct,1378.7,1288.7,1607.4,1240.1
34,llama3.3-70b-lora1,1357.0,1065.6,1355.2,1650.4
35,gemma-2-9b-it,1335.2,1326.0,1207.1,1472.5
36,Gemini-1.5-pro,1314.9,1240.4,1445.0,1259.1
37,gpt-4o,1292.9,1318.8,1372.4,1187.7
38,gemma-2-2b-it,1278.2,1322.0,1375.9,1136.6
39,phi-3-medium-128k-instruct,1235.9,1322.3,1037.4,1348.1
40,llama3.1-8b-lora1,1178.0,1140.7,1209.5,1183.6
41,phi-3-mini-128k-instruct,1177.4,1155.6,1364.5,1012.0
42,deepseek-r1-8b,1168.2,1073.8,1351.3,1079.5
