Model,Wins,Losses,Draws,Total,Win Rate
gpt-4o-mini-f3,3446,628,108,4182,0.837
gpt-4o-mini-f1,2855,1112,215,4182,0.708
claude-4-sonnet-20250514,2842,1127,213,4182,0.705
o3,2579,1420,183,4182,0.639
claude-3-7-sonnet-20250219,2369,1562,251,4182,0.596
llama3.3-70b-sft1,2294,1611,277,4182,0.582
Gemini-2.5-pro,2310,1702,170,4182,0.573
qwen3-235b-a22b,2255,1673,254,4182,0.570
gpt-4.1-mini,2259,1723,200,4182,0.564
gpt-4o-mini,2182,1712,288,4182,0.556
o4-mini,2205,1783,194,4182,0.550
llama4_maverick,2163,1780,239,4182,0.546
llama-3.3-70b-instruct,2125,1787,270,4182,0.540
llama4_scout,2139,1804,239,4182,0.540
llama3.3-70b-lora1,2137,1807,238,4182,0.539
gpt-4.1,2070,1899,213,4182,0.520
llama3.1-8b-lora1,2017,1917,248,4182,0.512
gpt-4.1-nano,1995,1950,237,4182,0.505
Gemini-1.5-pro,1977,1944,261,4182,0.504
llama4-109b-lora1,1970,1960,252,4182,0.501
mixtral-8x22b-instruct-v0.1,1940,1965,277,4182,0.497
llama-3.1-70b-instruct,1937,1965,280,4182,0.497
deepseek-r1,1943,2003,236,4182,0.493
llama3.1-8b-f1,1945,2008,229,4182,0.492
deepseek-r1-32b,1924,1989,269,4182,0.492
gemma-2-27b-it,1872,1990,320,4182,0.486
mistral-large-latest,1887,2029,266,4182,0.483
llama-3.1-405b-instruct,1848,2052,282,4182,0.476
mistral-nemo-12b-instruct,1885,2105,192,4182,0.474
codestral-22b-instruct-v0.1,1837,2093,252,4182,0.469
mixtral-8x7b-instruct-v0.1,1829,2111,242,4182,0.466
llama-3.1-8b-instruct,1732,2170,280,4182,0.448
nemotron-4-340b-instruct,1700,2193,289,4182,0.441
claude-3-5-sonnet,1691,2273,218,4182,0.430
gemma-2-9b-it,1590,2330,262,4182,0.412
mamba-codestral-7b-v0.1,1591,2388,203,4182,0.405
deepseek-r1-8b,1486,2469,227,4182,0.382
gpt-4o,1493,2482,207,4182,0.382
gemma-2-2b-it,1275,2681,226,4182,0.332
phi-3-mini-128k-instruct,1158,2774,250,4182,0.307
gemma-3-1b-it,1152,2854,176,4182,0.297
phi-3-medium-128k-instruct,968,3047,167,4182,0.251
