Rank,Model,ELO
1,claude-4-sonnet-20250514,2101.226216586158
2,gemma-2-27b-it,2004.2547657171663
3,o4-mini,1982.1005714106566
4,llama4_scout,1963.9325683993586
5,Gemini-2.5-pro,1906.892236058613
6,o3,1891.7854107277224
7,mistral-nemo-12b-instruct,1878.5512716548592
8,claude-3-5-sonnet,1794.460093690912
9,claude-3-7-sonnet-20250219,1748.7585604893934
10,qwen3-235b-a22b,1748.2567335734245
11,codestral-22b-instruct-v0.1,1745.4233105323767
12,deepseek-r1-32b,1736.7640780862364
13,llama-3.1-405b-instruct,1710.8431316255746
14,llama-3.1-70b-instruct,1705.6394176940646
15,llama-3.3-70b-instruct,1682.0579009044468
16,mamba-codestral-7b-v0.1,1656.3242908305342
17,gpt-4.1-nano,1649.669617861102
18,gpt-4.1-mini,1615.5583158812444
19,gemma-2-9b-it,1606.7513033159807
20,gpt-4o-mini,1558.102405737471
21,gemma-3-1b-it,1530.4228844740721
22,mistral-large-latest,1510.713870016263
23,llama4_maverick,1475.6455736089822
24,mixtral-8x7b-instruct-v0.1,1470.3719108816365
25,phi-3-medium-128k-instruct,1466.3293592938808
26,mixtral-8x22b-instruct-v0.1,1431.7648443247467
27,Gemini-1.5-pro,1422.0663794966756
28,llama-3.1-8b-instruct,1416.170545586131
29,gpt-4o,1369.3615734184727
30,deepseek-r1,1357.8076305727202
31,gemma-2-2b-it,1314.1770734094393
32,gpt-4.1,1310.4311129975972
33,deepseek-r1-8b,1255.2179622934866
34,nemotron-4-340b-instruct,1251.1288233037337
35,phi-3-mini-128k-instruct,1205.099963935421
