Rank,Model,ELO
1,claude-4-sonnet-20250514,1939.451508608484
2,gpt-4.1-mini,1842.4994602295799
3,qwen3-235b-a22b,1815.927123298183
4,deepseek-r1-32b,1795.2174201943847
5,Gemini-1.5-pro,1781.7815192025444
6,gpt-4o-mini,1705.7180662384683
7,llama3.3-70b-lora1,1705.609058255741
8,codestral-22b-instruct-v0.1,1664.6018235925244
9,llama-3.3-70b-instruct,1659.5197657982847
10,gemma-3-1b-it,1654.1813641242304
11,llama-3.1-405b-instruct,1648.2787086396959
12,gemma-2-27b-it,1627.745608255597
13,gemma-2-2b-it,1617.63428955802
14,llama4_maverick,1588.9034306909186
15,llama4-109b-lora1,1560.3198988623744
16,gpt-4.1,1558.9433750894143
17,llama-3.1-70b-instruct,1547.497045366244
18,mixtral-8x22b-instruct-v0.1,1545.8126605148493
19,mixtral-8x7b-instruct-v0.1,1535.8791409074463
20,claude-3-5-sonnet,1529.8800831444803
21,gpt-4o,1518.2508935764806
22,claude-3-7-sonnet-20250219,1505.0404122927207
23,Gemini-2.5-pro,1463.7454815794658
24,deepseek-r1,1435.9187848742881
25,o3,1431.0916435192016
26,gpt-4.1-nano,1419.7181069418207
27,phi-3-medium-128k-instruct,1403.6278778870471
28,gemma-2-9b-it,1397.9583057339196
29,llama3.1-8b-lora1,1385.9037769068375
30,o4-mini,1385.5883602333465
31,deepseek-r1-8b,1323.5283116423175
32,nemotron-4-340b-instruct,1320.851666835848
33,phi-3-mini-128k-instruct,1304.9081015291772
34,mistral-large-latest,1196.712677052071
35,llama4_scout,1181.0844998287735
36,mamba-codestral-7b-v0.1,1166.1055386276046
37,llama3.3-70b-sft1,1151.715678402357
38,llama-3.1-8b-instruct,1096.7003048802192
39,mistral-nemo-12b-instruct,1086.148227085056
