Model,Score Document,Score Reference,Score Reference Document,CodeBLEU,ROUGE-L,ROUGE-1,ROUGE-2
gemma-2-27b-it,1767.9468999633414,1326.577673076589,1992.331960577902,1514.3847575370125,1523.558605273942,1530.993892506059,1517.3790645505258
Gemini-1.5-pro,1388.7900793870335,1434.2671050766885,1376.763123923818,1513.9178758262242,1522.5442576434891,1529.8631370018986,1516.461168604216
llama-3.1-405b-instruct,1379.4509313395185,1569.4437393136961,1690.4947048609722,1514.9143563986242,1524.4306185075739,1532.069715293025,1518.5296435261569
llama-3.1-8b-instruct,1433.7055865000614,1575.7254253207302,1355.6820635603603,1515.1120331955308,1524.7110269980085,1532.3703561427437,1518.8805460785923
llama-3.3-70b-instruct,1634.1075221916976,1472.5148547000636,1662.452376954968,1515.1806449773105,1524.8556405172178,1532.5246505500388,1519.0362614754658
llama3.3-70b-sft1,1691.3987312389359,1470.6135023715997,1392.362843805956,1515.4397340042397,1525.2522647466549,1532.948166433707,1519.46310550621
mixtral-8x22b-instruct-v0.1,1609.941561591329,1576.1048631975148,1405.6887926829395,1514.6038416442116,1524.5332358717287,1531.8318319049122,1518.9815451239951
deepseek-r1,1903.7809707237432,1639.3896709629987,1299.995997564206,1514.507447534067,1523.2741410748426,1530.6779826554598,1517.0099859720742
gemma-3-1b-it,1258.900787722705,1634.8389702149136,1519.2113817288002,1514.5673210962434,1523.9221281020814,1531.384198220721,1517.767638563699
llama-3.1-70b-instruct,1395.666976473406,1388.4772116544757,1681.0339864129276,1515.0249842370772,1524.5693579396286,1532.2188588918118,1518.7273007387785
llama3.1-8b-lora1,1289.8250715233605,1200.3293867676077,1298.536117836168,1515.2710875847483,1524.998280704922,1532.6765647695242,1519.1899103062983
Gemini-2.5-pro,1495.1746832467347,1317.4504448790028,1904.9402820468065,1513.902381117442,1522.5342753345535,1529.5354216352914,1516.113886013597
llama4-109b-lora1,1795.861735221147,1360.2828366892638,1592.7993019050282,1515.9404067746966,1524.9866880924897,1533.109023565641,1519.6237835860509
o3,2179.301316482299,1664.9913160498827,1890.768321279196,1514.4713254700023,1524.1631767727458,1532.4035472431422,1518.9819865155964
