Rank,Model,Wins,Losses,Draws,Total,WinRate,ELO
1,claude-4-sonnet-20250514,2704,974,198,3876,0.723,1666.809
2,o3,2454,1248,174,3876,0.656,1611.809
3,claude-3-7-sonnet-20250219,2249,1387,240,3876,0.611,1578.581
4,llama3.3-70b-sft1,2192,1426,258,3876,0.599,1569.578
5,Gemini-2.5-pro,2200,1515,161,3876,0.588,1562.053
6,qwen3-235b-a22b,2145,1485,246,3876,0.585,1559.743
7,gpt-4.1-mini,2153,1535,188,3876,0.580,1555.873
8,gpt-4o-mini,2077,1524,275,3876,0.571,1549.910
9,o4-mini,2100,1594,182,3876,0.565,1545.617
10,llama4_maverick,2066,1585,225,3876,0.562,1543.339
11,llama-3.3-70b-instruct,2030,1594,252,3876,0.556,1539.248
12,llama4_scout,2038,1611,227,3876,0.555,1538.431
13,llama3.3-70b-lora1,2040,1617,219,3876,0.555,1538.068
14,gpt-4.1,1978,1698,200,3876,0.536,1525.142
15,llama3.1-8b-lora1,1925,1716,235,3876,0.527,1518.752
16,gpt-4.1-nano,1905,1747,224,3876,0.520,1514.171
17,Gemini-1.5-pro,1882,1748,246,3876,0.517,1512.016
18,llama4-109b-lora1,1879,1760,237,3876,0.515,1510.670
19,mixtral-8x22b-instruct-v0.1,1848,1765,263,3876,0.511,1507.441
20,llama-3.1-70b-instruct,1844,1768,264,3876,0.510,1506.813
21,deepseek-r1,1858,1795,223,3876,0.508,1505.648
22,deepseek-r1-32b,1837,1787,252,3876,0.506,1504.482
23,gemma-2-27b-it,1791,1794,291,3876,0.500,1499.731
24,mistral-large-latest,1801,1821,254,3876,0.497,1498.207
25,llama-3.1-405b-instruct,1760,1849,267,3876,0.489,1492.021
26,mistral-nemo-12b-instruct,1798,1899,179,3876,0.487,1490.945
27,codestral-22b-instruct-v0.1,1755,1880,241,3876,0.484,1488.791
28,mixtral-8x7b-instruct-v0.1,1743,1904,229,3876,0.479,1485.560
29,llama-3.1-8b-instruct,1651,1960,265,3876,0.460,1472.243
30,nemotron-4-340b-instruct,1626,1981,269,3876,0.454,1468.089
31,claude-3-5-sonnet,1612,2058,206,3876,0.442,1459.844
32,gemma-2-9b-it,1518,2109,249,3876,0.424,1446.608
33,mamba-codestral-7b-v0.1,1509,2170,197,3876,0.415,1440.165
34,gpt-4o,1433,2251,192,3876,0.394,1425.558
35,deepseek-r1-8b,1417,2246,213,3876,0.393,1424.525
36,gemma-2-2b-it,1213,2451,212,3876,0.340,1385.006
37,phi-3-mini-128k-instruct,1110,2525,241,3876,0.317,1367.030
38,gemma-3-1b-it,1102,2607,167,3876,0.306,1357.627
39,phi-3-medium-128k-instruct,928,2787,161,3876,0.260,1318.469
