Rank,model,ConsensusScore,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
1,gpt-4o-mini-f3,100.00,0.92,0.92,0.93,0.98,0.87,0.96,0.95,0.95,0.96,38.52,67.04,68.12
2,gpt-4o-mini-f1,68.41,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86,37.34,49.54,52.79
3,claude-4-sonnet-20250514,55.22,0.66,0.54,0.59,0.89,0.59,0.78,0.68,0.69,0.78,55.21,38.68,49.18
4,llama3.3-70b-sft1,50.47,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82,38.32,36.92,42.89
5,claude-3-7-sonnet-20250219,46.10,0.63,0.50,0.53,0.87,0.58,0.76,0.64,0.67,0.76,54.64,36.43,43.34
6,llama3.3-70b-lora1,43.41,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77,32.18,31.33,40.18
7,qwen3-235b-a22b,43.33,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75,54.63,31.50,42.12
8,gpt-4o-mini,42.59,0.61,0.52,0.54,0.84,0.54,0.72,0.62,0.66,0.72,43.66,34.14,41.61
9,llama3.1-8b-lora1,41.86,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76,34.92,32.77,39.07
10,pe_gpt-4o-mini,41.83,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76,52.74,34.67,41.07
11,pe_llama-3.1-70b-instruct,41.79,0.62,0.54,0.55,0.85,0.54,0.76,0.66,0.68,0.76,43.38,34.75,39.97
12,pe_llama-3.1-405b-instruct,41.72,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75,41.83,34.97,40.87
13,llama4_scout,41.49,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72,37.85,33.77,40.82
14,llama-3.3-70b-instruct,41.45,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73,41.86,33.73,41.08
15,llama4_maverick,41.14,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76,44.01,32.88,41.06
16,llama3.1-8b-f1,40.91,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74,35.04,33.13,38.79
17,pe_deepseek-r1-32b,40.65,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75,45.64,35.30,40.57
18,llama4-109b-lora1,40.59,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75,34.43,33.03,39.35
19,llama-3.1-405b-instruct,40.34,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72,38.03,33.09,39.04
20,gpt-4.1-mini,40.27,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74,53.88,31.61,41.49
21,gpt-4.1,39.97,0.60,0.49,0.52,0.86,0.53,0.77,0.64,0.67,0.77,55.38,33.79,39.89
22,Gemini-1.5-pro,39.75,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73,42.71,32.94,39.21
23,pe_llama-3.3-70b-instruct,39.46,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74,48.20,35.15,39.85
24,pe_llama-3.1-8b-instruct,38.84,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72,37.23,33.19,39.06
25,deepseek-r1,38.38,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77,53.88,32.27,38.17
26,pe_llama4_maverick,38.20,0.60,0.52,0.55,0.86,0.46,0.79,0.69,0.70,0.79,43.54,31.74,38.64
27,codestral-22b-instruct-v0.1,38.10,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70,39.70,32.43,37.86
28,gpt-4.1-nano,37.72,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71,38.75,30.70,39.37
29,mixtral-8x22b-instruct-v0.1,37.65,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67,36.86,33.78,38.88
30,o3,37.38,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71,66.61,36.84,46.32
31,mistral-large-latest,37.21,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74,43.93,33.28,37.50
32,deepseek-r1-32b,37.11,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70,33.57,33.01,38.61
33,gemma-2-27b-it,36.04,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71,36.55,29.26,37.38
34,Gemini-2.5-pro,35.50,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67,61.99,30.84,41.46
35,pe_deepseek-r1-8b,34.76,0.58,0.48,0.51,0.83,0.49,0.71,0.60,0.62,0.71,34.66,30.62,36.91
36,llama-3.1-8b-instruct,34.69,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66,34.51,31.12,37.63
37,llama-3.1-70b-instruct,34.45,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71,39.44,33.33,39.69
38,nemotron-4-340b-instruct,34.03,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72,39.87,30.40,35.09
39,gpt-4o,33.37,0.61,0.49,0.51,0.86,0.55,0.76,0.65,0.68,0.76,49.36,28.28,33.90
40,o4-mini,32.57,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71,54.26,34.61,42.05
41,claude-3-5-sonnet,31.85,0.59,0.48,0.49,0.85,0.53,0.76,0.64,0.67,0.76,52.78,25.85,33.75
42,mistral-nemo-12b-instruct,31.64,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65,31.81,29.75,36.42
43,gemma-2-9b-it,30.24,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69,30.44,29.39,33.46
44,deepseek-r1-8b,30.22,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65,26.68,26.27,34.03
45,mixtral-8x7b-instruct-v0.1,29.41,0.51,0.42,0.46,0.73,0.41,0.63,0.54,0.57,0.62,30.74,34.43,37.72
46,gemma-2-2b-it,24.63,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64,24.37,27.45,31.07
47,gemma-3-1b-it,20.36,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64,28.25,25.62,27.55
48,mamba-codestral-7b-v0.1,19.69,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57,27.94,29.42,31.83
49,phi-3-mini-128k-instruct,17.37,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58,23.81,24.64,27.76
50,pe_llama4_scout,9.07,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.25,34.07,39.01
51,phi-3-medium-128k-instruct,0.00,0.38,0.24,0.26,0.55,0.26,0.40,0.31,0.35,0.40,19.71,19.99,22.01
