,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
codebleu,0.3249,-0.0383,0.0367,0.0510,-0.2583,-0.0467,-0.3205,-0.3258,0.7583,-0.1899,-0.0171,0.0000
ngram_match_score,0.3222,-0.0774,0.0358,-0.1550,-0.2916,-0.0470,-0.3093,-0.1913,-0.2632,0.7175,0.2476,-0.0012
weighted_ngram_match_score,0.3221,-0.0854,0.0222,-0.1623,-0.2600,-0.0336,-0.3797,0.1112,-0.4538,-0.4262,-0.4992,0.0012
syntax_match_score,0.2805,-0.1614,-0.3143,0.2659,0.6964,0.2315,-0.4224,0.0445,-0.0321,0.0209,0.0724,-0.0005
dataflow_match_score,0.2685,0.0428,0.0576,0.8796,-0.2650,-0.0848,0.2103,0.0664,-0.1510,0.0063,0.0130,0.0005
rouge1,0.3200,-0.0903,-0.1855,-0.1289,0.1132,0.0077,0.4326,-0.3236,-0.0390,0.0259,-0.1934,-0.7029
rouge2,0.3246,-0.0830,-0.0804,-0.1976,-0.1011,-0.0220,0.1392,0.1644,-0.1255,-0.4400,0.7588,-0.0086
rougeL,0.3248,-0.0871,-0.0926,-0.1483,-0.0486,-0.0052,0.1786,0.7778,0.3267,0.2688,-0.1950,0.0001
rougeLsum,0.3201,-0.0903,-0.1847,-0.1302,0.1112,0.0077,0.4289,-0.3185,-0.0398,0.0222,-0.1806,0.7112
score_document_norm,0.0524,0.8275,-0.5418,-0.0381,-0.1072,0.0035,-0.0745,0.0121,-0.0125,0.0078,0.0001,-0.0001
score_reference_norm,0.2356,0.3561,0.5502,-0.0556,0.0708,0.7074,0.0795,-0.0089,-0.0090,-0.0021,-0.0033,-0.0000
score_reference_document_norm,0.2493,0.3390,0.4635,-0.0592,0.4136,-0.6578,-0.0225,0.0095,-0.0128,0.0016,0.0010,0.0001
