model,system,category,turn1,turn2,turn3,Δ12,Δ23,Δ13,family
Gemini-1.5-pro,art,VEH,32.00,90.00,83.00,58.00,-7.00,51.00,Gemini
Gemini-1.5-pro,beam,FEA,17.00,24.00,57.00,7.00,33.00,40.00,Gemini
Gemini-1.5-pro,buckling,FEA,20.00,52.00,34.00,32.00,-18.00,14.00,Gemini
Gemini-1.5-pro,cable,FEA,25.00,73.00,57.00,48.00,-16.00,32.00,Gemini
Gemini-1.5-pro,camera,SEN,32.00,57.00,30.00,25.00,-27.00,-2.00,Gemini
Gemini-1.5-pro,citybus,VEH,25.00,52.00,72.00,27.00,20.00,47.00,Gemini
Gemini-1.5-pro,curiosity,RBT,0.00,47.00,27.00,47.00,-20.00,27.00,Gemini
Gemini-1.5-pro,feda,VEH,12.00,27.00,35.00,15.00,8.00,23.00,Gemini
Gemini-1.5-pro,gator,VEH,24.00,44.00,69.00,20.00,25.00,45.00,Gemini
Gemini-1.5-pro,gear,MBS,24.00,80.00,52.00,56.00,-28.00,28.00,Gemini
Gemini-1.5-pro,gps_imu,SEN,12.00,54.00,57.00,42.00,3.00,45.00,Gemini
Gemini-1.5-pro,handler,RBT,27.00,55.00,12.00,28.00,-43.00,-15.00,Gemini
Gemini-1.5-pro,hmmwv,VEH,5.00,32.00,64.00,27.00,32.00,59.00,Gemini
Gemini-1.5-pro,kraz,VEH,12.00,55.00,15.00,43.00,-40.00,3.00,Gemini
Gemini-1.5-pro,lidar,SEN,12.00,69.00,27.00,57.00,-42.00,15.00,Gemini
Gemini-1.5-pro,m113,VEH,17.00,32.00,57.00,15.00,25.00,40.00,Gemini
Gemini-1.5-pro,man,VEH,0.00,74.00,22.00,74.00,-52.00,22.00,Gemini
Gemini-1.5-pro,mass_spring_damper,MBS,17.00,72.00,68.00,55.00,-4.00,51.00,Gemini
Gemini-1.5-pro,particles,MBS,17.00,44.00,47.00,27.00,3.00,30.00,Gemini
Gemini-1.5-pro,pendulum,MBS,27.00,37.00,33.00,10.00,-4.00,6.00,Gemini
Gemini-1.5-pro,rigid_highway,VEH,25.00,67.00,78.00,42.00,11.00,53.00,Gemini
Gemini-1.5-pro,rigid_multipatches,VEH,20.00,52.00,70.00,32.00,18.00,50.00,Gemini
Gemini-1.5-pro,rotor,FEA,27.00,42.00,44.00,15.00,2.00,17.00,Gemini
Gemini-1.5-pro,scm,VEH,32.00,67.00,27.00,35.00,-40.00,-5.00,Gemini
Gemini-1.5-pro,scm_hill,VEH,15.00,37.00,47.00,22.00,10.00,32.00,Gemini
Gemini-1.5-pro,sedan,VEH,32.00,32.00,35.00,0.00,3.00,3.00,Gemini
Gemini-1.5-pro,sensros,RBT,7.00,32.00,32.00,25.00,0.00,25.00,Gemini
Gemini-1.5-pro,slider_crank,MBS,34.00,44.00,45.00,10.00,1.00,11.00,Gemini
Gemini-1.5-pro,tablecloth,FEA,12.00,71.00,65.00,59.00,-6.00,53.00,Gemini
Gemini-1.5-pro,turtlebot,RBT,2.00,85.00,47.00,83.00,-38.00,45.00,Gemini
Gemini-1.5-pro,uazbus,VEH,20.00,63.00,37.00,43.00,-26.00,17.00,Gemini
Gemini-1.5-pro,veh_app,SEN,32.00,27.00,34.00,-5.00,7.00,2.00,Gemini
Gemini-1.5-pro,vehros,RBT,25.00,15.00,44.00,-10.00,29.00,19.00,Gemini
Gemini-1.5-pro,viper,RBT,27.00,68.00,37.00,41.00,-31.00,10.00,Gemini
Gemini-2.5-pro,art,VEH,34.00,77.00,62.00,43.00,-15.00,28.00,Gemini
Gemini-2.5-pro,beam,FEA,30.00,80.00,67.00,50.00,-13.00,37.00,Gemini
Gemini-2.5-pro,buckling,FEA,44.00,77.00,42.00,33.00,-35.00,-2.00,Gemini
Gemini-2.5-pro,cable,FEA,32.00,67.00,52.00,35.00,-15.00,20.00,Gemini
Gemini-2.5-pro,camera,SEN,13.00,49.00,37.00,36.00,-12.00,24.00,Gemini
Gemini-2.5-pro,citybus,VEH,24.00,68.00,100.00,44.00,32.00,76.00,Gemini
Gemini-2.5-pro,curiosity,RBT,54.00,63.00,42.00,9.00,-21.00,-12.00,Gemini
Gemini-2.5-pro,feda,VEH,22.00,45.00,52.00,23.00,7.00,30.00,Gemini
Gemini-2.5-pro,gator,VEH,32.00,14.00,72.00,-18.00,58.00,40.00,Gemini
Gemini-2.5-pro,gear,MBS,30.00,0.00,27.00,-30.00,27.00,-3.00,Gemini
Gemini-2.5-pro,gps_imu,SEN,27.00,32.00,70.00,5.00,38.00,43.00,Gemini
Gemini-2.5-pro,handler,RBT,47.00,75.00,31.00,28.00,-44.00,-16.00,Gemini
Gemini-2.5-pro,hmmwv,VEH,36.00,37.00,42.00,1.00,5.00,6.00,Gemini
Gemini-2.5-pro,kraz,VEH,42.00,31.00,15.00,-11.00,-16.00,-27.00,Gemini
Gemini-2.5-pro,lidar,SEN,37.00,12.00,12.00,-25.00,0.00,-25.00,Gemini
Gemini-2.5-pro,m113,VEH,32.00,67.00,35.00,35.00,-32.00,3.00,Gemini
Gemini-2.5-pro,man,VEH,62.00,57.00,32.00,-5.00,-25.00,-30.00,Gemini
Gemini-2.5-pro,mass_spring_damper,MBS,37.00,67.00,62.00,30.00,-5.00,25.00,Gemini
Gemini-2.5-pro,particles,MBS,42.00,52.00,53.00,10.00,1.00,11.00,Gemini
Gemini-2.5-pro,pendulum,MBS,47.00,77.00,59.00,30.00,-18.00,12.00,Gemini
Gemini-2.5-pro,rigid_highway,VEH,29.00,37.00,67.00,8.00,30.00,38.00,Gemini
Gemini-2.5-pro,rigid_multipatches,VEH,24.00,34.00,72.00,10.00,38.00,48.00,Gemini
