Metric,Value
N_total,3570
N_models,35
N_systems,34
N_categories,5
Overall_mean,37.666946778711484
Overall_std,22.38014996102389
ANOVA_Category_F,15.42952615755043
ANOVA_Category_p,1.6172797690306847e-12
ANOVA_Round_F,826.5889466203251
ANOVA_Round_p,1.0986449121515602e-295
ANOVA_TypeIII_Category_eta2,0.0008354794716401777
ANOVA_TypeIII_Round_eta2,0.09323967327927851
PCA_PC1_var,0.7649209030043578
PCA_PC2_var,0.0845567539511058
PCA_n_for_95pct,5
Regression_R2,0.5156911413421961
Regression_adjR2,0.5144667650141286
Best_category,FEA
Hardest_category,SEN
Best_round,T2
Best_model,claude-4-sonnet-20250514
Worst_model,phi-3-medium-128k-instruct
