model,MBS_r1,MBS_r2,MBS_r3,FEA_r1,FEA_r2,FEA_r3,VEH_r1,VEH_r2,VEH_r3,SEN_r1,SEN_r2,SEN_r3,RBT_r1,RBT_r2,RBT_r3,Average
claude-4-sonnet-20250514,33,70,57,37,76,49,38,61,51,34,63,41,23,54,47,49
o3,41,59,65,21,70,55,26,56,56,28,51,33,25,62,46,46
claude-3-7-sonnet-20250219,45,58,58,28,64,46,23,56,47,30,45,48,22,52,40,44
o4-mini,34,54,56,28,67,44,26,48,50,16,44,42,27,54,39,42
qwen3-235b-a22b,27,51,51,26,65,42,19,50,58,24,51,50,25,56,38,42
Gemini-2.5-pro,38,52,46,30,51,53,32,43,48,28,34,32,38,64,28,41
gpt-4.1-mini,32,52,50,27,65,49,26,52,47,22,38,38,24,44,48,41
gpt-4o-mini,17,67,43,19,69,55,20,52,56,18,38,42,19,59,40,41
llama-3.3-70b-instruct,21,57,59,19,70,46,20,52,53,20,44,37,17,58,40,41
llama4_maverick,20,63,54,20,73,57,25,50,44,16,36,34,27,58,39,41
llama4_scout,27,58,45,24,62,47,18,50,51,20,42,46,25,61,40,41
gpt-4.1-nano,19,55,52,28,73,54,20,45,44,16,45,36,20,55,39,40
llama-3.1-70b-instruct,21,53,42,17,67,50,19,49,52,14,44,47,33,51,35,40
Gemini-1.5-pro,24,55,49,20,52,51,19,52,51,22,52,37,15,50,33,39
codestral-22b-instruct-v0.1,23,56,51,9,58,55,12,43,49,24,47,40,21,58,38,39
deepseek-r1-32b,23,67,47,22,70,36,19,48,44,23,36,47,20,50,38,39
gpt-4.1,26,61,53,23,62,38,21,58,47,16,47,36,17,47,36,39
llama-3.1-405b-instruct,19,62,54,20,63,50,14,48,51,15,35,49,16,59,36,39
mixtral-8x22b-instruct-v0.1,22,63,48,16,61,48,21,41,49,13,50,34,22,60,42,39
llama-3.1-8b-instruct,10,64,46,13,66,49,18,46,47,16,43,36,16,58,38,38
mistral-nemo-12b-instruct,17,49,59,22,74,51,15,36,42,22,44,44,25,37,40,38
gemma-2-27b-it,19,46,46,25,54,39,20,52,52,19,30,30,19,53,31,36
mixtral-8x7b-instruct-v0.1,19,62,43,21,60,41,17,58,51,12,31,38,12,44,33,36
claude-3-5-sonnet,24,41,34,25,57,45,22,39,39,27,52,18,16,44,27,34
deepseek-r1-8b,13,62,45,13,44,43,13,39,48,13,43,45,12,49,35,34
gpt-4o,18,47,50,18,57,38,21,33,43,22,40,31,19,46,33,34
nemotron-4-340b-instruct,11,50,39,18,46,44,20,48,48,14,36,33,14,50,31,33
gemma-2-9b-it,24,43,40,23,43,39,16,42,49,15,24,30,20,53,24,32
gemma-2-2b-it,19,41,39,16,49,37,11,40,47,6,33,28,17,38,34,30
mamba-codestral-7b-v0.1,17,47,49,13,52,25,13,48,45,14,18,21,15,45,27,30
gemma-3-1b-it,11,25,18,9,30,40,9,47,43,11,32,21,14,42,29,25
phi-3-mini-128k-instruct,17,27,32,16,23,19,17,41,46,14,14,24,15,46,22,25
phi-3-medium-128k-instruct,10,43,21,21,24,12,12,24,34,8,20,20,13,37,19,21
Average,22,53,47,20,59,44,20,47,48,19,39,35,20,51,36,37
