Rank,system,Category,Turn1_Avg,Turn2_Avg,Turn3_Avg,Overall_Avg,Overall_Std,Δ12,Δ23,Overall_Min,Overall_Max
1,lidar,SEN,19.54,31.34,19.29,23.39,13.89,11.8,-12.06,0,70
2,vehros,RBT,14.74,33.86,34.69,27.76,15.47,19.11,0.83,0,64
3,sedan,VEH,21.91,38.14,25.89,28.65,14.49,16.23,-12.26,0,67
4,camera,SEN,18.34,45.77,26.03,30.05,18.83,27.43,-19.74,0,77
5,scm_hill,VEH,19.91,28.63,43.09,30.54,15.26,8.71,14.46,0,64
6,veh_app,SEN,19.86,36.49,35.37,30.57,18.14,16.63,-1.11,0,87
7,m113,VEH,17.83,35.97,39.03,30.94,15.64,18.14,3.06,0,69
8,kraz,VEH,18.83,54.8,21.66,31.76,21.03,35.97,-33.14,0,80
9,scm,VEH,22.46,43.66,32.69,32.93,17.94,21.2,-10.97,0,77
10,feda,VEH,16.46,43.43,39.49,33.12,18.78,26.97,-3.94,0,90
11,sensros,RBT,17.51,32.2,50.23,33.31,23.66,14.69,18.03,0,85
12,pendulum,MBS,19.74,39.71,41.03,33.5,17.22,19.97,1.31,0,77
13,buckling,FEA,20.97,53.2,28.4,34.19,22.97,32.23,-24.8,0,90
14,hmmwv,VEH,21.91,31.54,50.89,34.78,17.66,9.63,19.34,0,74
15,uazbus,VEH,15.31,57.57,33.46,35.45,22.49,42.26,-24.11,0,78
16,handler,RBT,20.06,59.54,27.63,35.74,21.09,39.49,-31.91,0,91
17,man,VEH,20.14,53.06,34.57,35.92,19.43,32.91,-18.49,0,89
18,turtlebot,RBT,20.8,61.57,29.17,37.18,21.43,40.77,-32.4,2,85
19,gear,MBS,21.43,57.34,39.0,39.26,24.27,35.91,-18.34,0,88
20,viper,RBT,22.6,66.37,30.17,39.71,22.34,43.77,-36.2,0,87
