Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,2.39,,claude-3-5-sonnet
2,gpt-4o-mini-f1,88.42,1.96,1.67,claude-3-5-sonnet
3,claude-4-sonnet-20250514,74.13,1.44,0.78,claude-3-5-sonnet
4,gpt-4o-mini-f3,69.79,4.17,-2.38,claude-3-5-sonnet
5,llama3.3-70b-sft1,68.62,0.56,1.11,claude-3-5-sonnet
6,claude-3-7-sonnet-20250219,62.91,0.57,0.53,claude-3-5-sonnet
7,qwen3-235b-a22b,60.50,0.42,0.45,claude-3-5-sonnet
8,pe_gpt-4o-mini,59.29,0.29,0.46,claude-3-5-sonnet
9,gpt-4o-mini,59.08,0.37,0.36,claude-3-5-sonnet
10,llama4_maverick,59.02,0.28,0.44,claude-3-5-sonnet
11,Gemini-1.5-pro,58.70,,0.35,claude-3-5-sonnet
12,pe_llama-3.1-405b-instruct,58.42,0.24,0.43,claude-3-5-sonnet
13,llama-3.3-70b-instruct,57.88,0.27,0.34,claude-3-5-sonnet
14,o3,57.80,1.05,-0.44,claude-3-5-sonnet
15,llama3.1-8b-lora1,57.78,-0.02,0.62,claude-3-5-sonnet
16,gpt-4.1,57.49,0.13,0.44,claude-3-5-sonnet
17,gpt-4.1-mini,57.33,0.33,0.22,claude-3-5-sonnet
18,llama4_scout,57.14,0.23,0.31,claude-3-5-sonnet
19,pe_deepseek-r1-32b,57.03,0.15,0.38,claude-3-5-sonnet
20,pe_llama-3.3-70b-instruct,56.64,0.13,0.36,claude-3-5-sonnet
21,llama4-109b-lora1,56.49,0.01,0.46,claude-3-5-sonnet
22,llama3.1-8b-f1,56.13,-0.07,0.50,claude-3-5-sonnet
23,llama-3.1-405b-instruct,55.31,-0.03,0.38,claude-3-5-sonnet
24,deepseek-r1,54.57,-0.19,0.47,claude-3-5-sonnet
25,pe_llama-3.1-8b-instruct,54.33,-0.03,0.28,claude-3-5-sonnet
26,pe_llama-3.1-70b-instruct,53.66,0.10,,claude-3-5-sonnet
27,gpt-4.1-nano,53.45,0.04,0.13,claude-3-5-sonnet
28,mistral-large-latest,53.07,-0.23,0.36,claude-3-5-sonnet
29,llama3.1-8b-f2,52.78,0.05,,claude-3-5-sonnet
30,codestral-22b-instruct-v0.1,52.60,-0.18,0.27,claude-3-5-sonnet
31,deepseek-r1-32b,52.57,-0.02,0.11,claude-3-5-sonnet
32,mixtral-8x22b-instruct-v0.1,52.01,-0.05,0.08,claude-3-5-sonnet
33,Gemini-2.5-pro,52.00,0.36,-0.33,claude-3-5-sonnet
34,o4-mini,51.77,0.41,-0.41,claude-3-5-sonnet
35,Gemini,51.63,-0.00,,claude-3-5-sonnet
36,gemma-2-27b-it,50.94,-0.27,0.19,claude-3-5-sonnet
37,llama-3.1-70b-instruct,50.77,0.05,-0.15,claude-3-5-sonnet
38,pe_llama4_maverick,49.96,-0.09,,claude-3-5-sonnet
39,nemotron-4-340b-instruct,48.62,-0.56,0.26,claude-3-5-sonnet
40,gpt-4o,48.45,-0.77,0.45,claude-3-5-sonnet
41,llama-3.1-8b-instruct,48.32,-0.21,-0.12,claude-3-5-sonnet
42,claude-3-5-sonnet,47.25,-0.79,0.35,claude-3-5-sonnet
43,pe_deepseek-r1-8b,44.91,-0.34,,claude-3-5-sonnet
44,mistral-nemo-12b-instruct,44.90,-0.41,-0.27,claude-3-5-sonnet
45,mixtral-8x7b-instruct-v0.1,44.52,-0.20,-0.52,claude-3-5-sonnet
46,gemma-2-9b-it,44.07,-0.80,0.05,claude-3-5-sonnet
47,deepseek-r1-8b,42.55,-0.75,-0.15,claude-3-5-sonnet
48,llama3.3-70b-lora1,39.70,-1.86,0.67,claude-3-5-sonnet
49,gemma-2-2b-it,37.00,-1.18,-0.27,claude-3-5-sonnet
50,mamba-codestral-7b-v0.1,31.86,-1.07,-0.89,claude-3-5-sonnet
51,gemma-3-1b-it,31.80,-1.67,-0.29,claude-3-5-sonnet
52,phi-3-mini-128k-instruct,27.81,-1.66,-0.70,claude-3-5-sonnet
53,phi-3-medium-128k-instruct,3.50,-2.50,-2.27,claude-3-5-sonnet
54,pe_llama4_scout,0.00,-0.03,-5.08,claude-3-5-sonnet
