Rank,model,ConsensusScore,System,Round,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f3,100.00,,,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
2,gpt-4o-mini-f2,69.50,,,35.13,51.92,55.72,,,,,,,,,
3,gpt-4o-mini-f1,62.25,,,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
4,claude-4-sonnet-20250514,53.28,,,55.21,38.68,49.18,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
5,o3,46.57,,,66.90,37.21,46.47,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
6,claude-3-7-sonnet-20250219,38.48,,,53.68,36.61,43.20,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
7,llama3.3-70b-sft1,38.22,,,38.68,37.29,43.10,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
8,qwen3-235b-a22b,35.79,,,54.63,31.50,42.12,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
9,o4-mini,35.70,,,54.03,34.66,42.08,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71
10,gpt-4o-mini,35.01,,,43.22,34.46,41.80,0.61,0.52,0.53,0.84,0.55,0.72,0.62,0.66,0.72
11,Gemini-2.5-pro,34.84,,,61.81,31.03,41.73,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67
12,gpt-4.1-mini,34.35,,,54.30,31.92,41.53,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
13,pe_gpt-4o-mini,33.57,,,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
14,llama4_maverick,33.51,,,43.57,33.07,41.20,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
15,llama-3.3-70b-instruct,33.22,,,41.86,33.73,41.08,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
16,pe_llama-3.1-405b-instruct,32.71,,,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
17,llama4_scout,32.59,,,37.85,33.77,40.82,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
