Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,1.34,,claude-4-sonnet-20250514
2,gpt-4o-mini-f1,99.98,1.00,1.67,claude-4-sonnet-20250514
3,llama3.3-70b-sft1,94.62,,1.11,claude-4-sonnet-20250514
4,claude-4-sonnet-20250514,86.57,,0.78,claude-4-sonnet-20250514
5,llama3.3-70b-lora1,84.09,,0.67,claude-4-sonnet-20250514
6,llama3.1-8b-lora1,82.87,,0.62,claude-4-sonnet-20250514
7,claude-3-7-sonnet-20250219,80.69,,0.53,claude-4-sonnet-20250514
8,deepseek-r1,79.20,,0.47,claude-4-sonnet-20250514
9,llama4-109b-lora1,78.97,,0.46,claude-4-sonnet-20250514
10,qwen3-235b-a22b,78.71,,0.45,claude-4-sonnet-20250514
11,gpt-4o,78.67,,0.45,claude-4-sonnet-20250514
12,gpt-4.1,78.51,,0.44,claude-4-sonnet-20250514
13,llama4_maverick,78.40,,0.44,claude-4-sonnet-20250514
14,llama-3.1-405b-instruct,77.10,,0.38,claude-4-sonnet-20250514
15,mistral-large-latest,76.60,,0.36,claude-4-sonnet-20250514
16,gpt-4o-mini,76.44,,0.36,claude-4-sonnet-20250514
17,claude-3-5-sonnet,76.37,,0.35,claude-4-sonnet-20250514
18,Gemini-1.5-pro,76.17,,0.35,claude-4-sonnet-20250514
19,llama-3.3-70b-instruct,76.11,,0.34,claude-4-sonnet-20250514
20,llama4_scout,75.23,,0.31,claude-4-sonnet-20250514
21,codestral-22b-instruct-v0.1,74.30,,0.27,claude-4-sonnet-20250514
22,nemotron-4-340b-instruct,74.09,,0.26,claude-4-sonnet-20250514
23,gpt-4.1-mini,73.22,,0.22,claude-4-sonnet-20250514
24,gemma-2-27b-it,72.48,,0.19,claude-4-sonnet-20250514
25,gpt-4o-mini-f3,72.07,2.73,-2.38,claude-4-sonnet-20250514
26,gpt-4.1-nano,71.01,,0.13,claude-4-sonnet-20250514
27,deepseek-r1-32b,70.40,,0.11,claude-4-sonnet-20250514
28,mixtral-8x22b-instruct-v0.1,69.79,,0.08,claude-4-sonnet-20250514
29,pe_gpt-4o-mini,69.69,-0.31,0.46,claude-4-sonnet-20250514
30,gemma-2-9b-it,69.05,,0.05,claude-4-sonnet-20250514
31,pe_llama-3.1-405b-instruct,68.78,-0.35,0.43,claude-4-sonnet-20250514
32,pe_deepseek-r1-32b,67.38,-0.42,0.38,claude-4-sonnet-20250514
33,pe_llama-3.3-70b-instruct,66.95,-0.43,0.36,claude-4-sonnet-20250514
34,llama3.1-8b-f1,66.86,-0.59,0.50,claude-4-sonnet-20250514
35,llama-3.1-8b-instruct,64.96,,-0.12,claude-4-sonnet-20250514
36,pe_llama-3.1-8b-instruct,64.61,-0.55,0.28,claude-4-sonnet-20250514
37,llama-3.1-70b-instruct,64.37,,-0.15,claude-4-sonnet-20250514
38,deepseek-r1-8b,64.19,,-0.15,claude-4-sonnet-20250514
39,mistral-nemo-12b-instruct,61.46,,-0.27,claude-4-sonnet-20250514
40,gemma-2-2b-it,61.27,,-0.27,claude-4-sonnet-20250514
41,gemma-3-1b-it,60.77,,-0.29,claude-4-sonnet-20250514
42,Gemini-2.5-pro,59.84,,-0.33,claude-4-sonnet-20250514
43,o4-mini,58.07,,-0.41,claude-4-sonnet-20250514
44,o3,57.15,,-0.44,claude-4-sonnet-20250514
45,pe_llama-3.1-70b-instruct,56.82,-0.46,,claude-4-sonnet-20250514
46,mixtral-8x7b-instruct-v0.1,55.46,,-0.52,claude-4-sonnet-20250514
47,pe_llama4_maverick,53.37,-0.60,,claude-4-sonnet-20250514
48,phi-3-mini-128k-instruct,50.95,,-0.70,claude-4-sonnet-20250514
49,pe_deepseek-r1-8b,48.66,-0.80,,claude-4-sonnet-20250514
50,mamba-codestral-7b-v0.1,46.42,,-0.89,claude-4-sonnet-20250514
51,phi-3-medium-128k-instruct,13.33,,-2.27,claude-4-sonnet-20250514
52,pe_llama4_scout,0.00,-0.56,-5.08,claude-4-sonnet-20250514
