Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,llama3.3-70b-sft1,57.27,55.19,45.73,44.1,0.685258991280497,0.6081697264360765,0.6383750102284929,0.8983175592379569,0.5863697476508346,0.8162611520701218,0.7428062415782349,0.7526803177690536,0.8155812837041825
2,qwen3-235b-a22b,54.26,60.64,42.72,38.89,0.6113973684440163,0.5065248001947285,0.5330422360558438,0.848348073181758,0.5478704427751075,0.7542712858303412,0.644061644191636,0.6729896172347949,0.7530966837906463
3,deepseek-r1,54.23,61.75,40.47,38.81,0.6071783980884522,0.4951592885887826,0.5146380932229366,0.8548431127364351,0.5444652546683996,0.7715747626163707,0.6528845404237478,0.6813428832318719,0.7701448937636695
4,llama4_maverick,50.94,50.4,39.99,36.62,0.6004526696288949,0.5087638519081967,0.5586215013066619,0.8547764819783426,0.4698449217537506,0.7655171400525337,0.6576111548530402,0.6787905679505651,0.7644808376959783
5,llama-3.1-405b-instruct,50.17,47.25,40.26,38.49,0.6184914203348889,0.5311589363161362,0.5487818493964963,0.8276242191354846,0.5565967549228111,0.7202078646417416,0.6248298344486087,0.6569464161283433,0.7196407075899147
6,llama3.3-70b-lora1,49.29,42.49,38.74,35.63,0.6389383321709166,0.5467902001235183,0.6000787109581149,0.8808229013896318,0.5182575946437735,0.771191191522721,0.6841983420095751,0.6887260885700872,0.7704679589357841
7,llama4-109b-lora1,48.68,41.11,39.3,37.18,0.6170213343310834,0.5282274218010489,0.553625535626437,0.8452389237690616,0.5311895345591588,0.7487631652960974,0.6473502773918934,0.6633685306520356,0.7476361782221226
8,llama4_scout,47.88,42.96,37.64,36.18,0.6073322599712466,0.5132978427040752,0.5332831311156073,0.841007810423827,0.5319363340728497,0.7220810305372686,0.6101477858119321,0.6439992013620067,0.7206490163667507
9,llama-3.1-70b-instruct,47.79,43.59,40.78,35.93,0.5400931773032598,0.5141288142427609,0.5323350243663042,0.6735697340233946,0.332495999325677,0.7101561225246962,0.6085414129010018,0.6446472300515553,0.70966695260571
10,llama-3.3-70b-instruct,47.72,41.76,38.19,34.91,0.6036941320758596,0.5222532825416071,0.5407739598998964,0.8407170714219347,0.501228292871373,0.7355016510764264,0.6243366221625466,0.6585363862147301,0.7347241563307874
11,llama3.1-8b-lora1,46.61,38.61,35.29,31.91,0.6359063867436855,0.543621253390015,0.5809594758633637,0.8665188238533796,0.542722072299356,0.7593980521355814,0.6770235783589201,0.6833848651988305,0.7585292078995279
12,nemotron-4-340b-instruct,46.2,39.2,35.46,35.11,0.5981546949052203,0.4914230760920429,0.5253002637617183,0.8413324740836008,0.524759044114892,0.7194470907408774,0.6129627383982085,0.644862574893362,0.7187092664570411
13,deepseek-r1-32b,45.43,38.5,36.57,34.12,0.5862882567899929,0.4859633471207576,0.5073083703822943,0.8308899011496328,0.511187486938659,0.6964546913701622,0.5840919838538644,0.6224789164222264,0.695684468779062
14,llama-3.1-8b-instruct,43.39,36.35,34.68,32.88,0.5712432436946423,0.4903792629699589,0.5245581713276417,0.7619899423697758,0.4590259902680556,0.6567439706444193,0.5720134469137034,0.5988958655062837,0.6559214241350297
15,deepseek-r1-8b,40.14,32.75,29.94,27.56,0.5676448435985095,0.4662909026637212,0.487715234790046,0.7932852659843034,0.4938762062500855,0.6514305903454823,0.5596423713017075,0.5881036151726448,0.6504089198129112
16,phi-3-mini-128k-instruct,33.96,24.96,25.2,21.69,0.5019090764278474,0.3858101821102739,0.4484139112832927,0.7607755541883222,0.4028327365608733,0.5830117728600739,0.5006970815885278,0.534233385215258,0.5822496315700391
17,llama3.1-8b-f2,28.76,49.16,41.7,38.54,,,,,,,,,
18,gpt-4o-mini-f1,26.95,0.0,0.0,0.0,0.7605333121129737,0.7125895157874674,0.7260642591774266,0.9182005478696088,0.675475004048764,0.8561360230485344,0.7934124221862732,0.8088176502321316,0.8553545247021013
19,claude-4-sonnet-20250514,23.62,0.0,0.0,0.0,0.6555117509732438,0.5372030911721345,0.5878890606551463,0.891189882888786,0.5959610476082811,0.7821338816948435,0.6832742435970321,0.6885585211708957,0.7812072236291971
20,claude-3-7-sonnet-20250219,22.89,0.0,0.0,0.0,0.6275523184043033,0.499702447280606,0.5319518324289593,0.8737735648654599,0.5851735859049332,0.7629742714860582,0.6424242226942184,0.6697803236987945,0.7616563117662608
21,phi-3-medium-128k-instruct,22.82,17.78,15.06,14.35,0.373269155515498,0.2382276664715563,0.2606245914500174,0.5458772177102802,0.2564279545109464,0.3913070296234892,0.3085378980808864,0.3454097047012908,0.3904893895894445
22,gpt-4.1,22.75,0.0,0.0,0.0,0.6022435073087008,0.4863989020641783,0.5226353666379226,0.8616299442361985,0.5285058947278763,0.7722509916760862,0.6450563788983574,0.6733775022460445,0.770976482040698
22,gpt-4o,22.75,0.0,0.0,0.0,0.6066446889674446,0.4924923165694848,0.5137301775702788,0.8554509152645797,0.5551014248968077,0.7588700672916552,0.6481542160884691,0.6816162540893966,0.7581654407701904
24,pe_gpt-4o-mini,22.67,0.0,0.0,0.0,0.6084355201284432,0.5239116410074757,0.5418810316073902,0.8445508292399712,0.513594657090308,0.7588259359130194,0.6598974898136373,0.6733530731314636,0.7577253373578964
25,pe_llama-3.1-405b-instruct,22.54,0.0,0.0,0.0,0.6095898290194208,0.5207049108780077,0.541998433466742,0.8337450876427153,0.5223030409529633,0.7477637919742185,0.6515841613840168,0.6712020450360175,0.7469153988629599
26,llama3.1-8b-f1,22.5,0.0,0.0,0.0,0.6288343275672864,0.5306603197679055,0.56688056676423,0.8639632110482899,0.544029291120093,0.7390043540098127,0.6559105361131963,0.6569315838012193,0.7381936111043683
27,claude-3-5-sonnet,22.47,0.0,0.0,0.0,0.5907198219168641,0.476163937671311,0.4950363416927466,0.8494480296893825,0.5324270570453892,0.7579552596074536,0.6395105341363987,0.6739268016387221,0.7568697129147742
28,pe_deepseek-r1-32b,22.37,0.0,0.0,0.0,0.6010369550062369,0.507487144837546,0.5346539882461113,0.8506000485048879,0.5016027168677749,0.752884519070432,0.6398038856756624,0.6597032597549596,0.752133214002906
29,pe_llama-3.3-70b-instruct,22.36,0.0,0.0,0.0,0.5969573616825676,0.5124178477361122,0.5352905011342813,0.8382975543551229,0.4920196219361266,0.7454622323955168,0.6414333484130875,0.6700694327340441,0.7445693776765904
30,mistral-large-latest,22.34,0.0,0.0,0.0,0.6025769806123135,0.5017691127685848,0.5235452353022582,0.8445090163924778,0.5306806364173058,0.7411031494650603,0.6315225260252685,0.6671015272121467,0.7398047832810118
31,gpt-4o-mini,22.17,0.0,0.0,0.0,0.6118437461941924,0.5191859816837813,0.5346023474343302,0.8385909180913598,0.5451918159986708,0.7242330305955772,0.6203565872619906,0.6588987008132011,0.7230364966726343
32,Gemini-1.5-pro,22.09,0.0,0.0,0.0,0.6089425061398673,0.511240231515557,0.5364691222743463,0.838423064506369,0.5398336846945696,0.7277661430471073,0.6236929130217462,0.6511470619245165,0.7267661953757086
33,gpt-4.1-mini,21.87,0.0,0.0,0.0,0.5839781847318744,0.4567428174130756,0.4964774653413224,0.8513462014320858,0.5215423331723862,0.7367947705290787,0.6088193971219225,0.6472086786998219,0.7356079084577452
34,pe_llama-3.1-8b-instruct,21.85,0.0,0.0,0.0,0.6003875677971335,0.5166301454019859,0.5337138143549404,0.8278738054408504,0.5135285844221298,0.7182698306523774,0.6260591141404815,0.6482925088693088,0.7176540663499694
35,codestral-22b-instruct-v0.1,21.7,0.0,0.0,0.0,0.6082647499868784,0.518733211484617,0.5389632194088516,0.8364463579131461,0.5291122895722715,0.6996634069259925,0.6093679885541674,0.6454171165273169,0.6990399938162918
36,gemma-2-27b-it,21.54,0.0,0.0,0.0,0.5902997041162868,0.5004198276073775,0.5194601436436435,0.8337583405829819,0.4977565830625173,0.7106341851887186,0.6080211857235641,0.6379678978247021,0.70974459280435
37,gpt-4.1-nano,21.36,0.0,0.0,0.0,0.5831768371670863,0.4720694077482632,0.5057155363993701,0.8361130086143066,0.509005474337778,0.7095318506970487,0.5934355244930577,0.6295145833747335,0.7083746839645838
38,gemma-2-9b-it,21.01,0.0,0.0,0.0,0.5755642833202638,0.4896844335246496,0.5112334512818334,0.8198847298507039,0.4716505970552406,0.6889665551200426,0.5911909591450829,0.626809160527834,0.6884195319897396
39,mixtral-8x22b-instruct-v0.1,20.9,0.0,0.0,0.0,0.5886799049793805,0.5196331122032593,0.5426033736165469,0.795341095018332,0.4873381175107563,0.6677654561740852,0.6008576771664427,0.6245650570674924,0.6673518312235549
40,o4-mini,20.04,0.0,0.0,0.0,0.4856093826197754,0.3236753420260028,0.3445519848730082,0.8152429573792079,0.4491633246322556,0.7136052256481609,0.5515376874097001,0.6048158381024588,0.7114151585909939
41,gemma-3-1b-it,19.85,0.0,0.0,0.0,0.5399360696186205,0.4642241386862797,0.4896167660276654,0.7790070765840685,0.3876806109019582,0.6438625318636245,0.5637403411450491,0.6028638113383482,0.6431893631201785
42,mistral-nemo-12b-instruct,19.83,0.0,0.0,0.0,0.5516197107194676,0.4438015185133266,0.4696130332873237,0.7888314647057244,0.4552132185283584,0.6489288376646914,0.5525439621754302,0.5842189553540647,0.648390129652638
