Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_scout,gator,first,5,59,51
llama4_scout,gator,second,15,67,72
llama4_scout,gator,third,55,25,17
llama4_scout,gear,first,26,4,75
llama4_scout,gear,second,42,96,86
llama4_scout,gear,third,55,91,89
llama4_scout,feda,first,28,44,13
llama4_scout,feda,second,80,78,41
llama4_scout,feda,third,68,47,18
llama4_scout,man,first,58,51,11
llama4_scout,man,second,19,78,74
llama4_scout,man,third,78,28,48
llama4_scout,art,first,25,54,5
llama4_scout,art,second,68,38,72
llama4_scout,art,third,70,96,72
llama4_scout,vehros,first,0,0,0
llama4_scout,vehros,second,0,0,0
llama4_scout,vehros,third,0,0,0
llama4_scout,pendulum,first,53,17,19
llama4_scout,pendulum,second,68,65,68
llama4_scout,pendulum,third,64,60,19
llama4_scout,rigid_highway,first,51,15,14
llama4_scout,rigid_highway,second,38,86,24
llama4_scout,rigid_highway,third,72,94,0
llama4_scout,curiosity,first,30,27,35
llama4_scout,curiosity,second,40,73,73
llama4_scout,curiosity,third,6,62,60
llama4_scout,gps_imu,first,59,55,9
llama4_scout,gps_imu,second,53,65,53
llama4_scout,gps_imu,third,70,38,65
llama4_scout,mass_spring_damper,first,58,73,53
llama4_scout,mass_spring_damper,second,88,22,75
llama4_scout,mass_spring_damper,third,92,15,25
llama4_scout,uazbus,first,0,0,0
llama4_scout,uazbus,second,0,0,0
llama4_scout,uazbus,third,0,0,0
llama4_scout,scm,first,0,0,0
llama4_scout,scm,second,0,0,0
llama4_scout,scm,third,0,0,0
llama4_scout,veh_app,first,0,0,0
llama4_scout,veh_app,second,0,0,0
llama4_scout,veh_app,third,0,0,0
llama4_scout,sedan,first,0,0,0
llama4_scout,sedan,second,0,0,0
llama4_scout,sedan,third,0,0,0
llama4_scout,citybus,first,29,23,19
llama4_scout,citybus,second,64,68,42
llama4_scout,citybus,third,78,53,92
llama4_scout,beam,first,99,29,29
llama4_scout,beam,second,31,93,77
llama4_scout,beam,third,82,88,68
llama4_scout,sensros,first,0,0,0
llama4_scout,sensros,second,0,0,0
llama4_scout,sensros,third,0,0,0
llama4_scout,camera,first,33,0,0
llama4_scout,camera,second,35,34,60
llama4_scout,camera,third,58,74,29
llama4_scout,particles,first,0,40,6
llama4_scout,particles,second,0,71,62
llama4_scout,particles,third,67,46,58
llama4_scout,kraz,first,11,0,22
llama4_scout,kraz,second,3,68,24
llama4_scout,kraz,third,71,20,54
llama4_scout,m113,first,38,17,6
llama4_scout,m113,second,63,60,29
llama4_scout,m113,third,64,68,58
llama4_scout,tablecloth,first,0,0,0
llama4_scout,tablecloth,second,0,0,0
llama4_scout,tablecloth,third,0,0,0
llama4_scout,rotor,first,0,0,0
llama4_scout,rotor,second,0,0,0
llama4_scout,rotor,third,0,0,0
llama4_scout,scm_hill,first,0,0,0
llama4_scout,scm_hill,second,0,0,0
llama4_scout,scm_hill,third,0,0,0
llama4_scout,viper,first,0,0,0
llama4_scout,viper,second,0,0,0
llama4_scout,viper,third,0,0,0
llama4_scout,buckling,first,12,63,29
llama4_scout,buckling,second,18,39,27
llama4_scout,buckling,third,67,53,61
llama4_scout,slider_crank,first,0,0,0
llama4_scout,slider_crank,second,0,0,0
llama4_scout,slider_crank,third,0,0,0
llama4_scout,turtlebot,first,0,0,0
llama4_scout,turtlebot,second,0,0,0
llama4_scout,turtlebot,third,0,0,0
llama4_scout,rigid_multipatches,first,27,2,9
llama4_scout,rigid_multipatches,second,30,27,49
llama4_scout,rigid_multipatches,third,0,0,0
llama4_scout,cable,first,5,60,19
llama4_scout,cable,second,55,95,89
llama4_scout,cable,third,29,59,66
llama4_scout,hmmwv,first,17,40,37
llama4_scout,hmmwv,second,38,61,45
llama4_scout,hmmwv,third,49,30,29
llama4_scout,handler,first,15,59,47
llama4_scout,handler,second,63,40,70
llama4_scout,handler,third,6,78,54
llama4_scout,lidar,first,32,18,22
llama4_scout,lidar,second,66,75,12
llama4_scout,lidar,third,30,35,59
mistral-nemo-12b-instruct,gator,first,14,59,0
mistral-nemo-12b-instruct,gator,second,47,35,33
mistral-nemo-12b-instruct,gator,third,76,38,65
mistral-nemo-12b-instruct,gear,first,2,30,50
mistral-nemo-12b-instruct,gear,second,27,97,72
mistral-nemo-12b-instruct,gear,third,60,36,63
mistral-nemo-12b-instruct,feda,first,0,22,0
mistral-nemo-12b-instruct,feda,second,70,63,43
mistral-nemo-12b-instruct,feda,third,71,60,63
mistral-nemo-12b-instruct,man,first,22,70,11
mistral-nemo-12b-instruct,man,second,46,37,29
mistral-nemo-12b-instruct,man,third,63,71,61
mistral-nemo-12b-instruct,art,first,18,0,0
mistral-nemo-12b-instruct,art,second,0,0,25
mistral-nemo-12b-instruct,art,third,30,100,85
mistral-nemo-12b-instruct,vehros,first,0,0,0
mistral-nemo-12b-instruct,vehros,second,0,0,0
mistral-nemo-12b-instruct,vehros,third,0,0,0
mistral-nemo-12b-instruct,pendulum,first,57,12,57
mistral-nemo-12b-instruct,pendulum,second,42,0,58
mistral-nemo-12b-instruct,pendulum,third,25,63,0
mistral-nemo-12b-instruct,rigid_highway,first,0,22,3
mistral-nemo-12b-instruct,rigid_highway,second,45,61,82
mistral-nemo-12b-instruct,rigid_highway,third,17,37,27
mistral-nemo-12b-instruct,curiosity,first,0,20,0
mistral-nemo-12b-instruct,curiosity,second,32,73,55
mistral-nemo-12b-instruct,curiosity,third,67,65,66
mistral-nemo-12b-instruct,gps_imu,first,19,12,54
mistral-nemo-12b-instruct,gps_imu,second,85,40,54
mistral-nemo-12b-instruct,gps_imu,third,90,38,78
mistral-nemo-12b-instruct,mass_spring_damper,first,18,62,32
mistral-nemo-12b-instruct,mass_spring_damper,second,85,80,55
mistral-nemo-12b-instruct,mass_spring_damper,third,10,42,44
mistral-nemo-12b-instruct,uazbus,first,0,0,0
mistral-nemo-12b-instruct,uazbus,second,0,0,0
mistral-nemo-12b-instruct,uazbus,third,0,0,0
mistral-nemo-12b-instruct,scm,first,6,13,0
mistral-nemo-12b-instruct,scm,second,10,25,27
mistral-nemo-12b-instruct,scm,third,78,49,59
mistral-nemo-12b-instruct,veh_app,first,0,0,0
mistral-nemo-12b-instruct,veh_app,second,0,0,0
mistral-nemo-12b-instruct,veh_app,third,0,0,0
mistral-nemo-12b-instruct,sedan,first,6,26,12
mistral-nemo-12b-instruct,sedan,second,58,50,62
mistral-nemo-12b-instruct,sedan,third,66,30,49
mistral-nemo-12b-instruct,citybus,first,27,52,9
mistral-nemo-12b-instruct,citybus,second,15,20,42
mistral-nemo-12b-instruct,citybus,third,54,32,27
mistral-nemo-12b-instruct,beam,first,33,25,58
mistral-nemo-12b-instruct,beam,second,30,81,56
mistral-nemo-12b-instruct,beam,third,65,97,6
mistral-nemo-12b-instruct,sensros,first,12,61,5
mistral-nemo-12b-instruct,sensros,second,36,54,57
mistral-nemo-12b-instruct,sensros,third,72,74,56
mistral-nemo-12b-instruct,camera,first,18,11,2
mistral-nemo-12b-instruct,camera,second,68,38,57
mistral-nemo-12b-instruct,camera,third,4,19,27
mistral-nemo-12b-instruct,particles,first,0,10,20
mistral-nemo-12b-instruct,particles,second,44,69,62
mistral-nemo-12b-instruct,particles,third,74,95,73
mistral-nemo-12b-instruct,kraz,first,57,27,33
mistral-nemo-12b-instruct,kraz,second,75,93,55
mistral-nemo-12b-instruct,kraz,third,74,57,17
mistral-nemo-12b-instruct,m113,first,6,12,19
mistral-nemo-12b-instruct,m113,second,63,23,70
mistral-nemo-12b-instruct,m113,third,34,53,8
mistral-nemo-12b-instruct,tablecloth,first,0,0,0
mistral-nemo-12b-instruct,tablecloth,second,0,0,0
mistral-nemo-12b-instruct,tablecloth,third,0,0,0
mistral-nemo-12b-instruct,rotor,first,18,52,39
mistral-nemo-12b-instruct,rotor,second,68,100,97
mistral-nemo-12b-instruct,rotor,third,21,5,48
mistral-nemo-12b-instruct,scm_hill,first,13,17,59
mistral-nemo-12b-instruct,scm_hill,second,0,15,15
mistral-nemo-12b-instruct,scm_hill,third,80,67,87
mistral-nemo-12b-instruct,viper,first,0,0,0
mistral-nemo-12b-instruct,viper,second,0,0,0
mistral-nemo-12b-instruct,viper,third,0,0,0
mistral-nemo-12b-instruct,buckling,first,58,41,6
mistral-nemo-12b-instruct,buckling,second,36,100,65
mistral-nemo-12b-instruct,buckling,third,43,54,62
mistral-nemo-12b-instruct,slider_crank,first,0,0,0
mistral-nemo-12b-instruct,slider_crank,second,0,0,0
mistral-nemo-12b-instruct,slider_crank,third,0,0,0
mistral-nemo-12b-instruct,turtlebot,first,0,0,0
mistral-nemo-12b-instruct,turtlebot,second,0,0,0
mistral-nemo-12b-instruct,turtlebot,third,0,0,0
mistral-nemo-12b-instruct,rigid_multipatches,first,24,30,14
mistral-nemo-12b-instruct,rigid_multipatches,second,63,92,55
mistral-nemo-12b-instruct,rigid_multipatches,third,39,17,43
mistral-nemo-12b-instruct,cable,first,45,47,34
mistral-nemo-12b-instruct,cable,second,89,100,55
mistral-nemo-12b-instruct,cable,third,30,17,51
mistral-nemo-12b-instruct,hmmwv,first,5,0,0
mistral-nemo-12b-instruct,hmmwv,second,33,65,22
mistral-nemo-12b-instruct,hmmwv,third,76,98,89
mistral-nemo-12b-instruct,handler,first,53,53,52
mistral-nemo-12b-instruct,handler,second,18,37,20
mistral-nemo-12b-instruct,handler,third,57,55,59
mistral-nemo-12b-instruct,lidar,first,13,15,29
mistral-nemo-12b-instruct,lidar,second,43,63,79
mistral-nemo-12b-instruct,lidar,third,35,0,0
mixtral-8x22b-instruct-v0.1,gator,first,0,0,0
mixtral-8x22b-instruct-v0.1,gator,second,0,0,0
mixtral-8x22b-instruct-v0.1,gator,third,0,0,0
mixtral-8x22b-instruct-v0.1,gear,first,0,0,0
mixtral-8x22b-instruct-v0.1,gear,second,0,0,0
mixtral-8x22b-instruct-v0.1,gear,third,0,0,0
mixtral-8x22b-instruct-v0.1,feda,first,0,0,0
mixtral-8x22b-instruct-v0.1,feda,second,0,0,0
mixtral-8x22b-instruct-v0.1,feda,third,0,0,0
mixtral-8x22b-instruct-v0.1,man,first,0,0,0
mixtral-8x22b-instruct-v0.1,man,second,0,0,0
mixtral-8x22b-instruct-v0.1,man,third,0,0,0
mixtral-8x22b-instruct-v0.1,art,first,0,0,0
mixtral-8x22b-instruct-v0.1,art,second,0,0,0
mixtral-8x22b-instruct-v0.1,art,third,0,0,0
mixtral-8x22b-instruct-v0.1,vehros,first,0,0,0
mixtral-8x22b-instruct-v0.1,vehros,second,0,0,0
mixtral-8x22b-instruct-v0.1,vehros,third,0,0,0
mixtral-8x22b-instruct-v0.1,pendulum,first,0,0,0
mixtral-8x22b-instruct-v0.1,pendulum,second,0,0,0
mixtral-8x22b-instruct-v0.1,pendulum,third,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_highway,first,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_highway,second,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_highway,third,0,0,0
mixtral-8x22b-instruct-v0.1,curiosity,first,0,0,0
mixtral-8x22b-instruct-v0.1,curiosity,second,0,0,0
mixtral-8x22b-instruct-v0.1,curiosity,third,0,0,0
mixtral-8x22b-instruct-v0.1,gps_imu,first,0,0,0
mixtral-8x22b-instruct-v0.1,gps_imu,second,0,0,0
mixtral-8x22b-instruct-v0.1,gps_imu,third,0,0,0
mixtral-8x22b-instruct-v0.1,mass_spring_damper,first,0,0,0
mixtral-8x22b-instruct-v0.1,mass_spring_damper,second,0,0,0
mixtral-8x22b-instruct-v0.1,mass_spring_damper,third,0,0,0
mixtral-8x22b-instruct-v0.1,uazbus,first,0,0,0
mixtral-8x22b-instruct-v0.1,uazbus,second,0,0,0
mixtral-8x22b-instruct-v0.1,uazbus,third,0,0,0
mixtral-8x22b-instruct-v0.1,scm,first,0,0,0
mixtral-8x22b-instruct-v0.1,scm,second,0,0,0
mixtral-8x22b-instruct-v0.1,scm,third,0,0,0
mixtral-8x22b-instruct-v0.1,veh_app,first,0,0,0
mixtral-8x22b-instruct-v0.1,veh_app,second,0,0,0
mixtral-8x22b-instruct-v0.1,veh_app,third,0,0,0
mixtral-8x22b-instruct-v0.1,sedan,first,0,0,0
mixtral-8x22b-instruct-v0.1,sedan,second,0,0,0
mixtral-8x22b-instruct-v0.1,sedan,third,0,0,0
mixtral-8x22b-instruct-v0.1,citybus,first,0,0,0
mixtral-8x22b-instruct-v0.1,citybus,second,0,0,0
mixtral-8x22b-instruct-v0.1,citybus,third,0,0,0
mixtral-8x22b-instruct-v0.1,beam,first,0,0,0
mixtral-8x22b-instruct-v0.1,beam,second,0,0,0
mixtral-8x22b-instruct-v0.1,beam,third,0,0,0
mixtral-8x22b-instruct-v0.1,sensros,first,0,0,0
mixtral-8x22b-instruct-v0.1,sensros,second,0,0,0
mixtral-8x22b-instruct-v0.1,sensros,third,0,0,0
mixtral-8x22b-instruct-v0.1,camera,first,0,0,0
mixtral-8x22b-instruct-v0.1,camera,second,0,0,0
mixtral-8x22b-instruct-v0.1,camera,third,0,0,0
mixtral-8x22b-instruct-v0.1,particles,first,0,0,0
mixtral-8x22b-instruct-v0.1,particles,second,0,0,0
mixtral-8x22b-instruct-v0.1,particles,third,0,0,0
mixtral-8x22b-instruct-v0.1,kraz,first,0,0,0
mixtral-8x22b-instruct-v0.1,kraz,second,0,0,0
mixtral-8x22b-instruct-v0.1,kraz,third,0,0,0
mixtral-8x22b-instruct-v0.1,m113,first,0,0,0
mixtral-8x22b-instruct-v0.1,m113,second,0,0,0
mixtral-8x22b-instruct-v0.1,m113,third,0,0,0
mixtral-8x22b-instruct-v0.1,tablecloth,first,0,0,0
mixtral-8x22b-instruct-v0.1,tablecloth,second,0,0,0
mixtral-8x22b-instruct-v0.1,tablecloth,third,0,0,0
mixtral-8x22b-instruct-v0.1,rotor,first,0,0,0
mixtral-8x22b-instruct-v0.1,rotor,second,0,0,0
mixtral-8x22b-instruct-v0.1,rotor,third,0,0,0
mixtral-8x22b-instruct-v0.1,scm_hill,first,0,0,0
mixtral-8x22b-instruct-v0.1,scm_hill,second,0,0,0
mixtral-8x22b-instruct-v0.1,scm_hill,third,0,0,0
mixtral-8x22b-instruct-v0.1,viper,first,0,0,0
mixtral-8x22b-instruct-v0.1,viper,second,0,0,0
mixtral-8x22b-instruct-v0.1,viper,third,0,0,0
mixtral-8x22b-instruct-v0.1,buckling,first,0,0,0
mixtral-8x22b-instruct-v0.1,buckling,second,0,0,0
mixtral-8x22b-instruct-v0.1,buckling,third,0,0,0
mixtral-8x22b-instruct-v0.1,slider_crank,first,0,0,0
mixtral-8x22b-instruct-v0.1,slider_crank,second,0,0,0
mixtral-8x22b-instruct-v0.1,slider_crank,third,0,0,0
mixtral-8x22b-instruct-v0.1,turtlebot,first,0,0,0
mixtral-8x22b-instruct-v0.1,turtlebot,second,0,0,0
mixtral-8x22b-instruct-v0.1,turtlebot,third,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_multipatches,first,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_multipatches,second,0,0,0
mixtral-8x22b-instruct-v0.1,rigid_multipatches,third,0,0,0
mixtral-8x22b-instruct-v0.1,cable,first,0,0,0
mixtral-8x22b-instruct-v0.1,cable,second,0,0,0
mixtral-8x22b-instruct-v0.1,cable,third,0,0,0
mixtral-8x22b-instruct-v0.1,hmmwv,first,0,0,0
mixtral-8x22b-instruct-v0.1,hmmwv,second,0,0,0
mixtral-8x22b-instruct-v0.1,hmmwv,third,0,0,0
mixtral-8x22b-instruct-v0.1,handler,first,0,0,0
mixtral-8x22b-instruct-v0.1,handler,second,0,0,0
mixtral-8x22b-instruct-v0.1,handler,third,0,0,0
mixtral-8x22b-instruct-v0.1,lidar,first,0,0,0
mixtral-8x22b-instruct-v0.1,lidar,second,0,0,0
mixtral-8x22b-instruct-v0.1,lidar,third,0,0,0
llama3.3-70b-sft1,gator,first,0,0,0
llama3.3-70b-sft1,gator,second,0,0,0
llama3.3-70b-sft1,gator,third,0,0,0
llama3.3-70b-sft1,gear,first,0,0,0
llama3.3-70b-sft1,gear,second,0,0,0
llama3.3-70b-sft1,gear,third,0,0,0
llama3.3-70b-sft1,feda,first,0,0,0
llama3.3-70b-sft1,feda,second,0,0,0
llama3.3-70b-sft1,feda,third,0,0,0
llama3.3-70b-sft1,man,first,0,0,0
llama3.3-70b-sft1,man,second,0,0,0
llama3.3-70b-sft1,man,third,0,0,0
llama3.3-70b-sft1,art,first,0,0,0
llama3.3-70b-sft1,art,second,0,0,0
llama3.3-70b-sft1,art,third,0,0,0
llama3.3-70b-sft1,vehros,first,0,0,0
llama3.3-70b-sft1,vehros,second,0,0,0
llama3.3-70b-sft1,vehros,third,0,0,0
llama3.3-70b-sft1,pendulum,first,0,0,0
llama3.3-70b-sft1,pendulum,second,0,0,0
llama3.3-70b-sft1,pendulum,third,0,0,0
llama3.3-70b-sft1,rigid_highway,first,0,0,0
llama3.3-70b-sft1,rigid_highway,second,0,0,0
llama3.3-70b-sft1,rigid_highway,third,0,0,0
