Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_scout,gator,first,0,0,0
llama4_scout,gator,second,0,0,0
llama4_scout,gator,third,0,0,0
llama4_scout,gear,first,0,0,0
llama4_scout,gear,second,0,0,0
llama4_scout,gear,third,0,0,0
llama4_scout,feda,first,0,0,0
llama4_scout,feda,second,0,0,0
llama4_scout,feda,third,0,0,0
llama4_scout,man,first,0,0,0
llama4_scout,man,second,0,0,0
llama4_scout,man,third,0,0,0
llama4_scout,art,first,0,0,0
llama4_scout,art,second,0,0,0
llama4_scout,art,third,0,0,0
llama4_scout,vehros,first,0,0,0
llama4_scout,vehros,second,0,0,0
llama4_scout,vehros,third,0,0,0
llama4_scout,pendulum,first,0,0,0
llama4_scout,pendulum,second,0,0,0
llama4_scout,pendulum,third,0,0,0
llama4_scout,rigid_highway,first,0,0,0
llama4_scout,rigid_highway,second,0,0,0
llama4_scout,rigid_highway,third,0,0,0
llama4_scout,curiosity,first,0,0,0
llama4_scout,curiosity,second,0,0,0
llama4_scout,curiosity,third,0,0,0
llama4_scout,gps_imu,first,0,0,0
llama4_scout,gps_imu,second,0,0,0
llama4_scout,gps_imu,third,0,0,0
llama4_scout,mass_spring_damper,first,0,0,0
llama4_scout,mass_spring_damper,second,0,0,0
llama4_scout,mass_spring_damper,third,0,0,0
llama4_scout,uazbus,first,0,0,0
llama4_scout,uazbus,second,0,0,0
llama4_scout,uazbus,third,0,0,0
llama4_scout,scm,first,0,0,0
llama4_scout,scm,second,0,0,0
llama4_scout,scm,third,0,0,0
llama4_scout,veh_app,first,0,0,0
llama4_scout,veh_app,second,0,0,0
llama4_scout,veh_app,third,0,0,0
llama4_scout,sedan,first,0,0,0
llama4_scout,sedan,second,0,0,0
llama4_scout,sedan,third,0,0,0
llama4_scout,citybus,first,0,0,0
llama4_scout,citybus,second,0,0,0
llama4_scout,citybus,third,0,0,0
llama4_scout,beam,first,0,0,0
llama4_scout,beam,second,0,0,0
llama4_scout,beam,third,0,0,0
llama4_scout,sensros,first,0,0,0
llama4_scout,sensros,second,0,0,0
llama4_scout,sensros,third,0,0,0
llama4_scout,camera,first,0,0,0
llama4_scout,camera,second,0,0,0
llama4_scout,camera,third,0,0,0
llama4_scout,particles,first,0,0,0
llama4_scout,particles,second,0,0,0
llama4_scout,particles,third,0,0,0
llama4_scout,kraz,first,0,0,0
llama4_scout,kraz,second,0,0,0
llama4_scout,kraz,third,0,0,0
llama4_scout,m113,first,0,0,0
llama4_scout,m113,second,0,0,0
llama4_scout,m113,third,0,0,0
llama4_scout,tablecloth,first,0,0,0
llama4_scout,tablecloth,second,0,0,0
llama4_scout,tablecloth,third,0,0,0
llama4_scout,rotor,first,0,0,0
llama4_scout,rotor,second,0,0,0
llama4_scout,rotor,third,0,0,0
llama4_scout,scm_hill,first,0,0,0
llama4_scout,scm_hill,second,0,0,0
llama4_scout,scm_hill,third,0,0,0
llama4_scout,viper,first,0,0,0
llama4_scout,viper,second,0,0,0
llama4_scout,viper,third,0,0,0
llama4_scout,buckling,first,0,0,0
llama4_scout,buckling,second,0,0,0
llama4_scout,buckling,third,0,0,0
llama4_scout,slider_crank,first,0,0,0
llama4_scout,slider_crank,second,0,0,0
llama4_scout,slider_crank,third,0,0,0
llama4_scout,turtlebot,first,0,0,0
llama4_scout,turtlebot,second,0,0,0
llama4_scout,turtlebot,third,0,0,0
llama4_scout,rigid_multipatches,first,0,0,0
llama4_scout,rigid_multipatches,second,0,0,0
llama4_scout,rigid_multipatches,third,0,0,0
llama4_scout,cable,first,0,0,0
llama4_scout,cable,second,0,0,0
llama4_scout,cable,third,0,0,0
llama4_scout,hmmwv,first,0,0,0
llama4_scout,hmmwv,second,0,0,0
llama4_scout,hmmwv,third,0,0,0
llama4_scout,handler,first,0,0,0
llama4_scout,handler,second,0,0,0
llama4_scout,handler,third,0,0,0
llama4_scout,lidar,first,0,0,0
llama4_scout,lidar,second,0,0,0
llama4_scout,lidar,third,0,0,0
mistral-nemo-12b-instruct,gator,first,0,0,0
mistral-nemo-12b-instruct,gator,second,0,0,0
mistral-nemo-12b-instruct,gator,third,0,0,0
mistral-nemo-12b-instruct,gear,first,0,0,0
mistral-nemo-12b-instruct,gear,second,0,0,0
mistral-nemo-12b-instruct,gear,third,0,0,0
mistral-nemo-12b-instruct,feda,first,0,0,0
mistral-nemo-12b-instruct,feda,second,0,0,0
mistral-nemo-12b-instruct,feda,third,0,0,0
mistral-nemo-12b-instruct,man,first,0,0,0
mistral-nemo-12b-instruct,man,second,0,0,0
mistral-nemo-12b-instruct,man,third,0,0,0
mistral-nemo-12b-instruct,art,first,0,0,0
mistral-nemo-12b-instruct,art,second,0,0,0
mistral-nemo-12b-instruct,art,third,0,0,0
mistral-nemo-12b-instruct,vehros,first,0,0,0
mistral-nemo-12b-instruct,vehros,second,0,0,0
mistral-nemo-12b-instruct,vehros,third,0,0,0
mistral-nemo-12b-instruct,pendulum,first,0,0,0
mistral-nemo-12b-instruct,pendulum,second,0,0,0
mistral-nemo-12b-instruct,pendulum,third,0,0,0
mistral-nemo-12b-instruct,rigid_highway,first,0,0,0
mistral-nemo-12b-instruct,rigid_highway,second,0,0,0
mistral-nemo-12b-instruct,rigid_highway,third,0,0,0
mistral-nemo-12b-instruct,curiosity,first,0,0,0
mistral-nemo-12b-instruct,curiosity,second,0,0,0
mistral-nemo-12b-instruct,curiosity,third,0,0,0
mistral-nemo-12b-instruct,gps_imu,first,0,0,0
mistral-nemo-12b-instruct,gps_imu,second,0,0,0
mistral-nemo-12b-instruct,gps_imu,third,0,0,0
mistral-nemo-12b-instruct,mass_spring_damper,first,0,0,0
mistral-nemo-12b-instruct,mass_spring_damper,second,0,0,0
