Rank,Test Model,RankMetric,Score Document,Score Reference,Score Reference Document
1,gpt-4o-mini-f3,68.03,38.03,66.94,68.03
2,gpt-4o-mini-f2,55.72,35.13,51.92,55.72
3,gpt-4o-mini-f1,52.79,37.34,49.54,52.79
4,pe_gpt-4o-mini,41.22,52.30,34.92,41.22
5,pe_llama-3.1-405b-instruct,40.87,41.83,34.97,40.87
6,pe_deepseek-r1-32b,40.24,46.31,35.19,40.24
7,pe_llama-3.3-70b-instruct,40.13,48.55,35.38,40.13
8,pe_llama-3.1-70b-instruct,39.90,43.69,34.87,39.90
9,pe_llama-3.1-8b-instruct,39.06,37.23,33.19,39.06
10,pe_llama4_scout,39.01,48.25,34.07,39.01
11,llama3.1-8b-f1,38.78,34.56,33.09,38.78
12,pe_llama4_maverick,38.64,43.54,31.74,38.64
13,pe_deepseek-r1-8b,36.91,34.66,30.62,36.91
14,gemma-2-27b-it,10.88,15.63,28.99,10.88
15,gemma-2-9b-it,6.53,12.37,28.10,6.53
16,llama-3.1-405b-instruct,4.45,5.51,11.72,4.45
17,gemma-2-2b-it,4.14,6.78,19.11,4.14
18,mistral-nemo-12b-instruct,0.00,0.00,0.00,0.00
19,mixtral-8x7b-instruct-v0.1,0.00,0.00,0.00,0.00
20,mixtral-8x22b-instruct-v0.1,0.00,0.00,0.00,0.00
21,mistral-large-latest,0.00,0.00,0.00,0.00
22,mamba-codestral-7b-v0.1,0.00,0.00,0.00,0.00
23,Gemini-1.5-pro,0.00,0.00,0.00,0.00
24,nemotron-4-340b-instruct,0.00,0.00,0.00,0.00
25,o3,0.00,0.00,0.00,0.00
26,o4-mini,0.00,0.00,0.00,0.00
27,llama4_maverick,0.00,0.00,0.00,0.00
28,phi-3-medium-128k-instruct,0.00,0.00,0.00,0.00
29,phi-3-mini-128k-instruct,0.00,0.00,0.00,0.00
30,llama4_scout,0.00,0.00,0.00,0.00
31,llama3.1-8b-f2,0.00,0.00,0.00,0.00
32,llama4-109b-lora1,0.00,0.00,0.00,0.00
33,llama3.3-70b-sft1,0.00,0.00,0.00,0.00
34,claude-3-5-sonnet,0.00,0.00,0.00,0.00
35,claude-3-7-sonnet-20250219,0.00,0.00,0.00,0.00
36,claude-4-sonnet-20250514,0.00,0.00,0.00,0.00
37,codestral-22b-instruct-v0.1,0.00,0.00,0.00,0.00
38,deepseek-r1,0.00,0.00,0.00,0.00
39,deepseek-r1-32b,0.00,0.00,0.00,0.00
40,deepseek-r1-8b,0.00,0.00,0.00,0.00
41,gemma-3-1b-it,0.00,0.00,0.00,0.00
42,gpt-4.1,0.00,0.00,0.00,0.00
43,gpt-4.1-mini,0.00,0.00,0.00,0.00
44,gpt-4.1-nano,0.00,0.00,0.00,0.00
45,gpt-4o,0.00,0.00,0.00,0.00
46,gpt-4o-mini,0.00,0.00,0.00,0.00
47,llama-3.1-70b-instruct,0.00,0.00,0.00,0.00
48,llama-3.1-8b-instruct,0.00,0.00,0.00,0.00
49,llama-3.3-70b-instruct,0.00,0.00,0.00,0.00
50,Gemini-2.5-pro,0.00,0.00,0.00,0.00
51,llama3.1-8b-lora1,0.00,0.00,0.00,0.00
52,llama3.3-70b-lora1,0.00,0.00,0.00,0.00
53,qwen3-235b-a22b,0.00,0.00,0.00,0.00
