Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,2.41,,gpt-4.1-nano
2,gpt-4o-mini-f1,88.18,1.98,1.67,gpt-4.1-nano
3,claude-4-sonnet-20250514,73.88,1.44,0.78,gpt-4.1-nano
4,gpt-4o-mini-f3,70.26,4.24,-2.38,gpt-4.1-nano
5,llama3.3-70b-sft1,68.19,0.54,1.11,gpt-4.1-nano
6,llama3.3-70b-lora1,65.18,,0.67,gpt-4.1-nano
7,claude-3-7-sonnet-20250219,62.53,0.55,0.53,gpt-4.1-nano
8,qwen3-235b-a22b,60.09,0.39,0.45,gpt-4.1-nano
9,pe_gpt-4o-mini,58.86,0.26,0.46,gpt-4.1-nano
10,gpt-4o-mini,58.68,0.34,0.36,gpt-4.1-nano
11,llama4_maverick,58.60,0.25,0.44,gpt-4.1-nano
12,Gemini-1.5-pro,58.57,,0.35,gpt-4.1-nano
13,pe_llama-3.1-405b-instruct,57.99,0.21,0.43,gpt-4.1-nano
14,o3,57.58,1.04,-0.44,gpt-4.1-nano
15,llama-3.3-70b-instruct,57.46,0.24,0.34,gpt-4.1-nano
16,llama3.1-8b-lora1,57.29,-0.06,0.62,gpt-4.1-nano
17,gpt-4.1,57.04,0.09,0.44,gpt-4.1-nano
18,gpt-4.1-mini,56.94,0.30,0.22,gpt-4.1-nano
19,llama4_scout,56.72,0.20,0.31,gpt-4.1-nano
20,pe_deepseek-r1-32b,56.59,0.11,0.38,gpt-4.1-nano
21,pe_llama-3.3-70b-instruct,56.19,0.10,0.36,gpt-4.1-nano
22,llama4-109b-lora1,56.02,-0.03,0.46,gpt-4.1-nano
23,llama3.1-8b-f1,55.65,-0.10,0.50,gpt-4.1-nano
24,llama-3.1-405b-instruct,54.84,-0.07,0.38,gpt-4.1-nano
25,deepseek-r1,54.07,-0.23,0.47,gpt-4.1-nano
26,pe_llama-3.1-8b-instruct,53.87,-0.06,0.28,gpt-4.1-nano
27,gpt-4.1-nano,53.01,0.00,0.13,gpt-4.1-nano
28,pe_llama-3.1-70b-instruct,52.90,0.06,,gpt-4.1-nano
29,mistral-large-latest,52.57,-0.27,0.36,gpt-4.1-nano
30,deepseek-r1-32b,52.13,-0.06,0.11,gpt-4.1-nano
31,codestral-22b-instruct-v0.1,52.11,-0.22,0.27,gpt-4.1-nano
32,llama3.1-8b-f2,51.99,0.02,,gpt-4.1-nano
33,Gemini-2.5-pro,51.66,0.33,-0.33,gpt-4.1-nano
34,mixtral-8x22b-instruct-v0.1,51.56,-0.09,0.08,gpt-4.1-nano
35,o4-mini,51.44,0.39,-0.41,gpt-4.1-nano
36,Gemini,50.83,-0.04,,gpt-4.1-nano
37,gemma-2-27b-it,50.45,-0.31,0.19,gpt-4.1-nano
38,llama-3.1-70b-instruct,50.36,0.02,-0.15,gpt-4.1-nano
39,pe_llama4_maverick,49.13,-0.13,,gpt-4.1-nano
40,nemotron-4-340b-instruct,48.07,-0.62,0.26,gpt-4.1-nano
41,llama-3.1-8b-instruct,47.86,-0.26,-0.12,gpt-4.1-nano
42,gpt-4o,47.85,-0.83,0.45,gpt-4.1-nano
43,claude-3-5-sonnet,46.65,-0.85,0.35,gpt-4.1-nano
44,mistral-nemo-12b-instruct,44.43,-0.45,-0.27,gpt-4.1-nano
45,mixtral-8x7b-instruct-v0.1,44.10,-0.24,-0.52,gpt-4.1-nano
46,pe_deepseek-r1-8b,44.00,-0.38,,gpt-4.1-nano
47,gemma-2-9b-it,43.50,-0.86,0.05,gpt-4.1-nano
48,deepseek-r1-8b,42.00,-0.81,-0.15,gpt-4.1-nano
49,gemma-2-2b-it,36.40,-1.25,-0.27,gpt-4.1-nano
50,mamba-codestral-7b-v0.1,31.33,-1.13,-0.89,gpt-4.1-nano
51,gemma-3-1b-it,31.12,-1.75,-0.29,gpt-4.1-nano
52,phi-3-mini-128k-instruct,27.16,-1.74,-0.70,gpt-4.1-nano
53,phi-3-medium-128k-instruct,2.84,-2.60,-2.27,gpt-4.1-nano
54,pe_llama4_scout,0.00,-0.07,-5.08,gpt-4.1-nano
