Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f2,100.00,35.13,51.92,55.72,,,,,,,,,
2,gpt-4o-mini-f1,89.18,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
3,claude-4-sonnet-20250514,74.85,55.21,38.68,49.18,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
4,llama3.3-70b-sft1,69.59,38.68,37.29,43.10,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
5,gpt-4o-mini-f3,69.32,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
6,claude-3-7-sonnet-20250219,63.78,53.68,36.61,43.20,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
7,qwen3-235b-a22b,61.38,54.63,31.50,42.12,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
8,pe_gpt-4o-mini,60.21,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
9,gpt-4o-mini,59.96,43.22,34.46,41.80,0.61,0.52,0.53,0.84,0.54,0.72,0.62,0.66,0.72
10,llama4_maverick,59.93,43.57,33.07,41.20,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
11,Gemini-1.5-pro,59.54,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
12,pe_llama-3.1-405b-instruct,59.34,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
13,llama3.1-8b-lora1,58.80,34.92,32.77,39.07,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
14,llama-3.3-70b-instruct,58.78,41.86,33.73,41.08,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
15,gpt-4.1,58.44,55.49,34.37,40.12,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
16,o3,58.39,66.90,37.21,46.47,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
17,gpt-4.1-mini,58.20,54.30,31.92,41.53,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
