Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,2.43,,gpt-4.1
2,gpt-4o-mini-f1,87.95,2.00,1.67,gpt-4.1
3,claude-4-sonnet-20250514,73.68,1.46,0.78,gpt-4.1
4,gpt-4o-mini-f3,70.20,4.27,-2.38,gpt-4.1
5,llama3.3-70b-sft1,67.96,0.55,1.11,gpt-4.1
6,claude-3-7-sonnet-20250219,62.33,0.57,0.53,gpt-4.1
7,qwen3-235b-a22b,59.90,0.41,0.45,gpt-4.1
8,pe_gpt-4o-mini,58.66,0.27,0.46,gpt-4.1
9,gpt-4o-mini,58.48,0.36,0.36,gpt-4.1
10,llama4_maverick,58.40,0.27,0.44,gpt-4.1
11,Gemini-1.5-pro,58.23,,0.35,gpt-4.1
12,pe_llama-3.1-405b-instruct,57.79,0.22,0.43,gpt-4.1
13,o3,57.42,1.05,-0.44,gpt-4.1
14,llama-3.3-70b-instruct,57.27,0.25,0.34,gpt-4.1
15,llama3.1-8b-lora1,57.08,-0.05,0.62,gpt-4.1
16,gpt-4.1,56.84,0.11,0.44,gpt-4.1
17,gpt-4.1-mini,56.75,0.32,0.22,gpt-4.1
18,llama4_scout,56.52,0.21,0.31,gpt-4.1
19,pe_deepseek-r1-32b,56.39,0.13,0.38,gpt-4.1
20,pe_llama-3.3-70b-instruct,56.00,0.11,0.36,gpt-4.1
21,llama4-109b-lora1,55.82,-0.01,0.46,gpt-4.1
22,llama3.1-8b-f1,55.44,-0.09,0.50,gpt-4.1
23,llama-3.1-405b-instruct,54.64,-0.05,0.38,gpt-4.1
24,deepseek-r1,53.86,-0.22,0.47,gpt-4.1
25,pe_llama-3.1-8b-instruct,53.67,-0.05,0.28,gpt-4.1
26,pe_llama-3.1-70b-instruct,52.85,0.08,,gpt-4.1
27,gpt-4.1-nano,52.82,0.02,0.13,gpt-4.1
28,mistral-large-latest,52.37,-0.26,0.36,gpt-4.1
29,llama3.1-8b-f2,51.94,0.03,,gpt-4.1
30,deepseek-r1-32b,51.93,-0.04,0.11,gpt-4.1
31,codestral-22b-instruct-v0.1,51.91,-0.21,0.27,gpt-4.1
32,Gemini-2.5-pro,51.49,0.35,-0.33,gpt-4.1
33,mixtral-8x22b-instruct-v0.1,51.37,-0.08,0.08,gpt-4.1
34,o4-mini,51.27,0.40,-0.41,gpt-4.1
35,llama3.3-70b-lora1,51.03,-0.70,0.67,gpt-4.1
36,Gemini,50.78,-0.03,,gpt-4.1
37,gemma-2-27b-it,50.25,-0.30,0.19,gpt-4.1
38,llama-3.1-70b-instruct,50.18,0.03,-0.15,gpt-4.1
39,pe_llama4_maverick,49.08,-0.11,,gpt-4.1
40,nemotron-4-340b-instruct,47.87,-0.60,0.26,gpt-4.1
41,llama-3.1-8b-instruct,47.68,-0.24,-0.12,gpt-4.1
42,gpt-4o,47.64,-0.82,0.45,gpt-4.1
43,claude-3-5-sonnet,46.45,-0.84,0.35,gpt-4.1
44,mistral-nemo-12b-instruct,44.24,-0.44,-0.27,gpt-4.1
45,pe_deepseek-r1-8b,43.94,-0.37,,gpt-4.1
46,mixtral-8x7b-instruct-v0.1,43.93,-0.23,-0.52,gpt-4.1
47,gemma-2-9b-it,43.30,-0.85,0.05,gpt-4.1
48,deepseek-r1-8b,41.82,-0.80,-0.15,gpt-4.1
49,gemma-2-2b-it,36.21,-1.24,-0.27,gpt-4.1
50,mamba-codestral-7b-v0.1,31.16,-1.13,-0.89,gpt-4.1
51,gemma-3-1b-it,30.92,-1.75,-0.29,gpt-4.1
52,phi-3-mini-128k-instruct,26.98,-1.73,-0.70,gpt-4.1
53,phi-3-medium-128k-instruct,2.71,-2.60,-2.27,gpt-4.1
54,pe_llama4_scout,0.00,-0.06,-5.08,gpt-4.1
