Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1.0,mixtral-8x22b-instruct-v0.1,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,uazbus,round_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,gps_imu,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gemma-3-1b-it,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,citybus,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,rigid_multipatches,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,rigid_highway,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,rigid_highway,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,art,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mamba-codestral-7b-v0.1,100.0,,,,feda,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mistral-nemo-12b-instruct,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mixtral-8x22b-instruct-v0.1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,gpt-4o-mini-f1,100.0,,,,uazbus,round_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mixtral-8x7b-instruct-v0.1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mixtral-8x7b-instruct-v0.1,100.0,,,,gear,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,mixtral-8x7b-instruct-v0.1,100.0,,,,feda,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,codestral-22b-instruct-v0.1,100.0,,,,art,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
