Rank,Test Model,RankMetric,Score Document,Score Reference,Score Reference Document
1,gpt-4o-mini-f3,68.03,38.03,66.94,68.03
2,gpt-4o-mini-f2,55.72,35.13,51.92,55.72
3,gpt-4o-mini-f1,52.79,37.34,49.54,52.79
4,pe_gpt-4o-mini,41.22,52.30,34.92,41.22
5,pe_llama-3.1-405b-instruct,40.87,41.83,34.97,40.87
6,pe_deepseek-r1-32b,40.24,46.31,35.19,40.24
7,pe_llama-3.3-70b-instruct,40.13,48.55,35.38,40.13
8,pe_llama-3.1-70b-instruct,39.90,43.69,34.87,39.90
9,pe_llama-3.1-8b-instruct,39.06,37.23,33.19,39.06
10,pe_llama4_scout,39.01,48.25,34.07,39.01
11,llama3.1-8b-f1,38.78,34.56,33.09,38.78
12,pe_llama4_maverick,38.64,43.54,31.74,38.64
13,pe_deepseek-r1-8b,36.91,34.66,30.62,36.91
