Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f2,100.00,35.13,51.92,55.72,,,,,,,,,
2,gpt-4o-mini-f1,99.98,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
3,llama3.3-70b-sft1,94.62,,,,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
4,claude-4-sonnet-20250514,86.57,,,,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
5,llama3.3-70b-lora1,84.09,,,,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
6,llama3.1-8b-lora1,82.87,,,,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
7,claude-3-7-sonnet-20250219,80.69,,,,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
8,deepseek-r1,79.20,,,,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
9,llama4-109b-lora1,78.97,,,,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
10,qwen3-235b-a22b,78.71,,,,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
11,gpt-4o,78.67,,,,0.61,0.49,0.51,0.86,0.55,0.76,0.65,0.68,0.76
12,gpt-4.1,78.51,,,,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
13,llama4_maverick,78.40,,,,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
14,llama-3.1-405b-instruct,77.10,,,,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
15,mistral-large-latest,76.60,,,,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
16,gpt-4o-mini,76.44,,,,0.61,0.52,0.53,0.84,0.54,0.72,0.62,0.66,0.72
17,claude-3-5-sonnet,76.37,,,,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
18,Gemini-1.5-pro,76.17,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
19,llama-3.3-70b-instruct,76.11,,,,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
20,llama4_scout,75.23,,,,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
21,codestral-22b-instruct-v0.1,74.30,,,,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
22,nemotron-4-340b-instruct,74.09,,,,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
23,gpt-4.1-mini,73.22,,,,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
24,gemma-2-27b-it,72.48,,,,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
25,gpt-4o-mini-f3,72.07,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
26,gpt-4.1-nano,71.01,,,,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71
27,deepseek-r1-32b,70.40,,,,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
28,mixtral-8x22b-instruct-v0.1,69.79,,,,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67
29,pe_gpt-4o-mini,69.69,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
30,gemma-2-9b-it,69.05,,,,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
31,pe_llama-3.1-405b-instruct,68.78,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
32,pe_deepseek-r1-32b,67.38,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
33,pe_llama-3.3-70b-instruct,66.95,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
34,llama3.1-8b-f1,66.86,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
35,llama-3.1-8b-instruct,64.96,,,,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
36,pe_llama-3.1-8b-instruct,64.61,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
37,llama-3.1-70b-instruct,64.37,,,,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
38,deepseek-r1-8b,64.19,,,,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
39,mistral-nemo-12b-instruct,61.46,,,,0.55,0.44,0.47,0.79,0.45,0.65,0.55,0.58,0.65
40,gemma-2-2b-it,61.27,,,,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
41,gemma-3-1b-it,60.77,,,,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64
42,Gemini-2.5-pro,59.84,,,,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67
43,o4-mini,58.07,,,,0.49,0.32,0.34,0.82,0.45,0.71,0.55,0.60,0.71
44,o3,57.15,,,,0.48,0.33,0.36,0.82,0.42,0.71,0.55,0.59,0.71
45,pe_llama-3.1-70b-instruct,56.82,43.69,34.87,39.90,,,,,,,,,
46,mixtral-8x7b-instruct-v0.1,55.46,,,,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
47,pe_llama4_maverick,53.37,43.54,31.74,38.64,,,,,,,,,
48,phi-3-mini-128k-instruct,50.95,,,,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
49,pe_deepseek-r1-8b,48.66,34.66,30.62,36.91,,,,,,,,,
50,mamba-codestral-7b-v0.1,46.42,,,,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
51,phi-3-medium-128k-instruct,13.33,,,,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
52,pe_llama4_scout,0.00,48.25,34.07,39.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
