Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,1.34,,llama4_scout
2,gpt-4o-mini-f1,99.98,1.00,1.67,llama4_scout
3,llama3.3-70b-sft1,94.62,,1.11,llama4_scout
4,claude-4-sonnet-20250514,86.57,,0.78,llama4_scout
5,llama3.3-70b-lora1,84.09,,0.67,llama4_scout
6,llama3.1-8b-lora1,82.87,,0.62,llama4_scout
7,claude-3-7-sonnet-20250219,80.69,,0.53,llama4_scout
8,deepseek-r1,79.20,,0.47,llama4_scout
9,llama4-109b-lora1,78.97,,0.46,llama4_scout
10,qwen3-235b-a22b,78.71,,0.45,llama4_scout
11,gpt-4o,78.67,,0.45,llama4_scout
12,gpt-4.1,78.51,,0.44,llama4_scout
13,llama4_maverick,78.40,,0.44,llama4_scout
14,llama-3.1-405b-instruct,77.10,,0.38,llama4_scout
15,mistral-large-latest,76.60,,0.36,llama4_scout
16,gpt-4o-mini,76.44,,0.36,llama4_scout
17,claude-3-5-sonnet,76.37,,0.35,llama4_scout
18,Gemini-1.5-pro,76.17,,0.35,llama4_scout
19,llama-3.3-70b-instruct,76.11,,0.34,llama4_scout
20,llama4_scout,75.23,,0.31,llama4_scout
21,codestral-22b-instruct-v0.1,74.30,,0.27,llama4_scout
22,nemotron-4-340b-instruct,74.09,,0.26,llama4_scout
23,gpt-4.1-mini,73.22,,0.22,llama4_scout
24,gemma-2-27b-it,72.48,,0.19,llama4_scout
25,gpt-4o-mini-f3,72.07,2.73,-2.38,llama4_scout
26,gpt-4.1-nano,71.01,,0.13,llama4_scout
27,deepseek-r1-32b,70.40,,0.11,llama4_scout
28,mixtral-8x22b-instruct-v0.1,69.79,,0.08,llama4_scout
29,pe_gpt-4o-mini,69.69,-0.31,0.46,llama4_scout
30,gemma-2-9b-it,69.05,,0.05,llama4_scout
31,pe_llama-3.1-405b-instruct,68.78,-0.35,0.43,llama4_scout
32,pe_deepseek-r1-32b,67.38,-0.42,0.38,llama4_scout
33,pe_llama-3.3-70b-instruct,66.95,-0.43,0.36,llama4_scout
34,llama3.1-8b-f1,66.86,-0.59,0.50,llama4_scout
35,llama-3.1-8b-instruct,64.96,,-0.12,llama4_scout
36,pe_llama-3.1-8b-instruct,64.61,-0.55,0.28,llama4_scout
37,llama-3.1-70b-instruct,64.37,,-0.15,llama4_scout
38,deepseek-r1-8b,64.19,,-0.15,llama4_scout
39,mistral-nemo-12b-instruct,61.46,,-0.27,llama4_scout
40,gemma-2-2b-it,61.27,,-0.27,llama4_scout
41,gemma-3-1b-it,60.77,,-0.29,llama4_scout
42,Gemini-2.5-pro,59.84,,-0.33,llama4_scout
43,o4-mini,58.07,,-0.41,llama4_scout
44,o3,57.15,,-0.44,llama4_scout
45,pe_llama-3.1-70b-instruct,56.82,-0.46,,llama4_scout
46,mixtral-8x7b-instruct-v0.1,55.46,,-0.52,llama4_scout
47,pe_llama4_maverick,53.37,-0.60,,llama4_scout
48,phi-3-mini-128k-instruct,50.95,,-0.70,llama4_scout
49,pe_deepseek-r1-8b,48.66,-0.80,,llama4_scout
50,mamba-codestral-7b-v0.1,46.42,,-0.89,llama4_scout
51,phi-3-medium-128k-instruct,13.33,,-2.27,llama4_scout
52,pe_llama4_scout,0.00,-0.56,-5.08,llama4_scout
