Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_scout,gator,first,12,0,10
llama4_scout,gator,second,12,27,54
llama4_scout,gator,third,17,80,69
llama4_scout,gear,first,12,10,15
llama4_scout,gear,second,52,85,78
llama4_scout,gear,third,47,57,44
llama4_scout,feda,first,32,15,27
llama4_scout,feda,second,52,39,52
llama4_scout,feda,third,17,49,25
llama4_scout,man,first,0,7,32
llama4_scout,man,second,37,34,44
llama4_scout,man,third,27,12,34
llama4_scout,art,first,39,25,20
llama4_scout,art,second,52,90,82
llama4_scout,art,third,20,72,75
llama4_scout,vehros,first,15,0,25
llama4_scout,vehros,second,39,44,55
llama4_scout,vehros,third,74,32,47
llama4_scout,pendulum,first,27,15,30
llama4_scout,pendulum,second,52,12,47
llama4_scout,pendulum,third,74,20,33
llama4_scout,rigid_highway,first,54,22,15
llama4_scout,rigid_highway,second,54,57,69
llama4_scout,rigid_highway,third,12,78,77
llama4_scout,curiosity,first,27,0,27
llama4_scout,curiosity,second,45,41,44
llama4_scout,curiosity,third,69,37,37
llama4_scout,gps_imu,first,12,17,20
llama4_scout,gps_imu,second,32,52,29
llama4_scout,gps_imu,third,27,79,90
llama4_scout,mass_spring_damper,first,57,25,30
llama4_scout,mass_spring_damper,second,32,60,57
llama4_scout,mass_spring_damper,third,88,48,63
llama4_scout,uazbus,first,34,7,10
llama4_scout,uazbus,second,37,49,57
llama4_scout,uazbus,third,17,12,50
llama4_scout,scm,first,17,20,10
llama4_scout,scm,second,12,12,34
llama4_scout,scm,third,12,37,44
llama4_scout,veh_app,first,30,17,27
llama4_scout,veh_app,second,7,12,49
llama4_scout,veh_app,third,22,72,62
llama4_scout,sedan,first,45,7,0
llama4_scout,sedan,second,17,29,67
llama4_scout,sedan,third,12,25,20
llama4_scout,citybus,first,0,25,25
llama4_scout,citybus,second,88,49,62
llama4_scout,citybus,third,47,75,65
llama4_scout,beam,first,19,15,15
llama4_scout,beam,second,54,29,37
llama4_scout,beam,third,69,72,73
llama4_scout,sensros,first,7,35,15
llama4_scout,sensros,second,45,52,44
llama4_scout,sensros,third,20,72,60
llama4_scout,camera,first,20,0,27
llama4_scout,camera,second,12,54,62
llama4_scout,camera,third,52,27,32
llama4_scout,particles,first,12,17,32
llama4_scout,particles,second,25,57,67
llama4_scout,particles,third,69,30,32
llama4_scout,kraz,first,29,0,10
llama4_scout,kraz,second,57,64,59
llama4_scout,kraz,third,12,2,30
llama4_scout,m113,first,0,17,7
llama4_scout,m113,second,37,37,32
llama4_scout,m113,third,88,32,39
llama4_scout,tablecloth,first,54,30,42
llama4_scout,tablecloth,second,78,47,59
llama4_scout,tablecloth,third,12,70,61
llama4_scout,rotor,first,27,15,15
llama4_scout,rotor,second,12,54,63
llama4_scout,rotor,third,67,39,47
llama4_scout,scm_hill,first,90,0,27
llama4_scout,scm_hill,second,67,27,32
llama4_scout,scm_hill,third,14,12,40
llama4_scout,viper,first,7,0,27
llama4_scout,viper,second,47,74,79
llama4_scout,viper,third,59,12,34
llama4_scout,buckling,first,12,15,27
llama4_scout,buckling,second,77,69,69
llama4_scout,buckling,third,27,24,27
llama4_scout,slider_crank,first,32,20,30
llama4_scout,slider_crank,second,75,47,39
llama4_scout,slider_crank,third,74,54,54
llama4_scout,turtlebot,first,12,25,22
llama4_scout,turtlebot,second,39,50,72
llama4_scout,turtlebot,third,62,12,36
llama4_scout,rigid_multipatches,first,15,20,25
llama4_scout,rigid_multipatches,second,82,19,27
llama4_scout,rigid_multipatches,third,87,85,77
llama4_scout,cable,first,22,15,22
llama4_scout,cable,second,72,75,82
llama4_scout,cable,third,82,42,27
llama4_scout,hmmwv,first,17,20,30
llama4_scout,hmmwv,second,14,25,30
llama4_scout,hmmwv,third,27,67,67
llama4_scout,handler,first,30,15,32
llama4_scout,handler,second,37,60,70
llama4_scout,handler,third,74,5,25
llama4_scout,lidar,first,12,0,7
llama4_scout,lidar,second,57,0,30
llama4_scout,lidar,third,47,0,0
mistral-nemo-12b-instruct,gator,first,17,15,15
mistral-nemo-12b-instruct,gator,second,12,25,35
mistral-nemo-12b-instruct,gator,third,15,81,80
mistral-nemo-12b-instruct,gear,first,93,17,34
mistral-nemo-12b-instruct,gear,second,69,78,80
mistral-nemo-12b-instruct,gear,third,42,37,64
mistral-nemo-12b-instruct,feda,first,22,0,7
mistral-nemo-12b-instruct,feda,second,12,2,24
mistral-nemo-12b-instruct,feda,third,17,12,12
mistral-nemo-12b-instruct,man,first,32,10,22
mistral-nemo-12b-instruct,man,second,17,17,35
mistral-nemo-12b-instruct,man,third,12,29,40
