Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,2.42,,o3
2,gpt-4o-mini-f1,88.05,1.99,1.67,o3
3,claude-4-sonnet-20250514,73.75,1.44,0.78,o3
4,gpt-4o-mini-f3,70.38,4.26,-2.38,o3
5,llama3.3-70b-sft1,68.00,0.53,1.11,o3
6,claude-3-7-sonnet-20250219,62.37,0.55,0.53,o3
7,llama3.3-70b-lora1,61.80,0.35,0.67,o3
8,qwen3-235b-a22b,59.93,0.39,0.45,o3
9,pe_gpt-4o-mini,58.69,0.25,0.46,o3
10,gpt-4o-mini,58.51,0.34,0.36,o3
11,Gemini-1.5-pro,58.45,,0.35,o3
12,llama4_maverick,58.42,0.25,0.44,o3
13,pe_llama-3.1-405b-instruct,57.81,0.20,0.43,o3
14,o3,57.48,1.04,-0.44,o3
15,llama-3.3-70b-instruct,57.29,0.23,0.34,o3
16,llama3.1-8b-lora1,57.09,-0.07,0.62,o3
17,gpt-4.1,56.86,0.09,0.44,o3
18,gpt-4.1-mini,56.78,0.30,0.22,o3
19,llama4_scout,56.54,0.19,0.31,o3
20,pe_deepseek-r1-32b,56.41,0.11,0.38,o3
21,pe_llama-3.3-70b-instruct,56.02,0.09,0.36,o3
22,llama4-109b-lora1,55.83,-0.03,0.46,o3
23,llama3.1-8b-f1,55.46,-0.11,0.50,o3
24,llama-3.1-405b-instruct,54.65,-0.07,0.38,o3
25,deepseek-r1,53.87,-0.24,0.47,o3
26,pe_llama-3.1-8b-instruct,53.69,-0.07,0.28,o3
27,gpt-4.1-nano,52.83,-0.00,0.13,o3
28,pe_llama-3.1-70b-instruct,52.66,0.06,,o3
29,mistral-large-latest,52.37,-0.28,0.36,o3
30,deepseek-r1-32b,51.95,-0.07,0.11,o3
31,codestral-22b-instruct-v0.1,51.92,-0.23,0.27,o3
32,llama3.1-8b-f2,51.76,0.01,,o3
33,Gemini-2.5-pro,51.51,0.33,-0.33,o3
34,mixtral-8x22b-instruct-v0.1,51.38,-0.10,0.08,o3
35,o4-mini,51.30,0.38,-0.41,o3
36,Gemini,50.59,-0.05,,o3
37,gemma-2-27b-it,50.26,-0.32,0.19,o3
38,llama-3.1-70b-instruct,50.20,0.01,-0.15,o3
39,pe_llama4_maverick,48.88,-0.13,,o3
40,nemotron-4-340b-instruct,47.86,-0.63,0.26,o3
41,llama-3.1-8b-instruct,47.69,-0.27,-0.12,o3
42,gpt-4o,47.62,-0.84,0.45,o3
43,claude-3-5-sonnet,46.43,-0.87,0.35,o3
44,mistral-nemo-12b-instruct,44.24,-0.46,-0.27,o3
45,mixtral-8x7b-instruct-v0.1,43.93,-0.25,-0.52,o3
46,pe_deepseek-r1-8b,43.72,-0.39,,o3
47,gemma-2-9b-it,43.29,-0.88,0.05,o3
48,deepseek-r1-8b,41.80,-0.82,-0.15,o3
49,gemma-2-2b-it,36.17,-1.26,-0.27,o3
50,mamba-codestral-7b-v0.1,31.13,-1.15,-0.89,o3
51,gemma-3-1b-it,30.87,-1.77,-0.29,o3
52,phi-3-mini-128k-instruct,26.93,-1.76,-0.70,o3
53,phi-3-medium-128k-instruct,2.62,-2.63,-2.27,o3
54,pe_llama4_scout,0.00,-0.08,-5.08,o3
