Rank,model,RankMetric,codebleu,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f1,0.79,0.76,0.86,0.79,0.81,0.86
2,llama3.3-70b-sft1,0.73,0.69,0.82,0.74,0.75,0.82
3,claude-4-sonnet-20250514,0.69,0.66,0.78,0.68,0.69,0.78
4,llama3.3-70b-lora1,0.68,0.64,0.77,0.68,0.69,0.77
5,llama3.1-8b-lora1,0.67,0.64,0.76,0.68,0.68,0.76
6,claude-3-7-sonnet-20250219,0.66,0.63,0.76,0.64,0.67,0.76
7,llama3.1-8b-f1,0.66,0.63,0.74,0.66,0.66,0.74
8,deepseek-r1,0.65,0.61,0.77,0.65,0.68,0.77
9,llama4-109b-lora1,0.65,0.62,0.75,0.65,0.66,0.75
10,pe_gpt-4o-mini,0.65,0.61,0.76,0.66,0.67,0.76
11,qwen3-235b-a22b,0.65,0.61,0.75,0.64,0.67,0.75
12,gpt-4o,0.65,0.61,0.76,0.65,0.68,0.76
13,gpt-4.1,0.65,0.60,0.77,0.65,0.67,0.77
14,llama4_maverick,0.65,0.60,0.77,0.66,0.68,0.76
15,pe_llama-3.1-405b-instruct,0.65,0.61,0.75,0.65,0.67,0.75
16,llama-3.1-405b-instruct,0.64,0.62,0.72,0.62,0.66,0.72
17,pe_deepseek-r1-32b,0.64,0.60,0.75,0.64,0.66,0.75
18,mistral-large-latest,0.64,0.60,0.74,0.63,0.67,0.74
19,pe_llama-3.3-70b-instruct,0.64,0.60,0.75,0.64,0.67,0.74
20,gpt-4o-mini,0.64,0.61,0.72,0.62,0.66,0.72
21,claude-3-5-sonnet,0.64,0.59,0.76,0.64,0.67,0.76
22,Gemini-1.5-pro,0.64,0.61,0.73,0.62,0.65,0.73
23,llama-3.3-70b-instruct,0.64,0.60,0.74,0.62,0.66,0.73
24,llama4_scout,0.64,0.61,0.72,0.61,0.64,0.72
25,pe_llama-3.1-8b-instruct,0.63,0.60,0.72,0.63,0.65,0.72
26,codestral-22b-instruct-v0.1,0.63,0.61,0.70,0.61,0.65,0.70
27,nemotron-4-340b-instruct,0.63,0.60,0.72,0.61,0.64,0.72
28,gpt-4.1-mini,0.63,0.58,0.74,0.61,0.65,0.74
29,gemma-2-27b-it,0.62,0.59,0.71,0.61,0.64,0.71
30,gpt-4.1-nano,0.62,0.58,0.71,0.59,0.63,0.71
31,deepseek-r1-32b,0.61,0.59,0.70,0.58,0.62,0.70
32,mixtral-8x22b-instruct-v0.1,0.61,0.59,0.67,0.60,0.62,0.67
33,gemma-2-9b-it,0.61,0.58,0.69,0.59,0.63,0.69
34,llama-3.1-8b-instruct,0.59,0.57,0.66,0.57,0.60,0.66
35,llama-3.1-70b-instruct,0.59,0.54,0.71,0.61,0.64,0.71
36,deepseek-r1-8b,0.58,0.57,0.65,0.56,0.59,0.65
37,mistral-nemo-12b-instruct,0.57,0.55,0.65,0.55,0.58,0.65
38,gemma-2-2b-it,0.57,0.54,0.64,0.56,0.60,0.64
39,gemma-3-1b-it,0.57,0.54,0.64,0.56,0.60,0.64
40,Gemini-2.5-pro,0.56,0.53,0.67,0.54,0.57,0.67
41,o4-mini,0.56,0.49,0.71,0.55,0.60,0.71
42,o3,0.55,0.48,0.71,0.55,0.59,0.71
43,mixtral-8x7b-instruct-v0.1,0.54,0.51,0.63,0.54,0.57,0.62
44,phi-3-mini-128k-instruct,0.52,0.50,0.58,0.50,0.53,0.58
45,mamba-codestral-7b-v0.1,0.50,0.47,0.57,0.49,0.52,0.57
46,phi-3-medium-128k-instruct,0.35,0.37,0.39,0.31,0.35,0.39
47,gpt-4o-mini-f3,0.33,0.38,0.34,0.33,0.34,0.34
48,pe_llama4_scout,0.03,0.25,0.00,0.00,0.00,0.00
