Rank,model,ConsensusScore,Score Document,Score Reference,Score Reference Document,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f1,100.00,37.34,49.54,52.79,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86
2,llama3.3-70b-sft1,98.14,47.62,58.57,46.09,0.69,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82
3,deepseek-r1,91.72,49.74,59.89,47.47,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77
4,qwen3-235b-a22b,91.70,53.47,57.25,49.33,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
5,llama4_maverick,88.71,48.51,58.67,43.80,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
6,llama3.1-8b-lora1,86.02,47.25,53.74,40.65,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76
7,llama-3.3-70b-instruct,84.87,47.14,57.62,42.16,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73
8,llama4-109b-lora1,83.95,44.74,54.22,42.77,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75
9,llama3.3-70b-lora1,83.50,40.76,51.60,41.31,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77
10,llama-3.1-405b-instruct,83.25,47.41,51.90,43.78,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
11,llama4_scout,80.81,46.44,51.02,42.86,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
12,llama-3.1-70b-instruct,80.70,47.68,56.36,44.01,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
13,pe_gpt-4o-mini,78.75,52.30,34.92,41.22,0.61,0.52,0.54,0.84,0.51,0.76,0.66,0.67,0.76
14,nemotron-4-340b-instruct,78.59,47.11,49.34,39.63,0.60,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
15,deepseek-r1-32b,76.86,44.45,52.70,39.82,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70
16,pe_llama-3.3-70b-instruct,76.05,48.55,35.38,40.13,0.60,0.51,0.54,0.84,0.49,0.75,0.64,0.67,0.74
17,pe_deepseek-r1-32b,74.64,46.31,35.19,40.24,0.60,0.51,0.53,0.85,0.50,0.75,0.64,0.66,0.75
18,pe_llama-3.1-405b-instruct,73.77,41.83,34.97,40.87,0.61,0.52,0.54,0.83,0.52,0.75,0.65,0.67,0.75
19,llama-3.1-8b-instruct,70.56,40.12,49.02,40.94,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66
20,llama3.1-8b-f1,69.01,34.56,33.09,38.78,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74
21,pe_llama-3.1-8b-instruct,67.76,37.23,33.19,39.06,0.60,0.52,0.53,0.83,0.51,0.72,0.63,0.65,0.72
22,gemma-2-27b-it,66.83,43.17,31.75,35.36,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71
23,deepseek-r1-8b,66.24,37.51,50.38,33.99,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
24,llama3.1-8b-f2,59.54,42.68,55.95,44.89,,,,,,,,,
25,gemma-2-9b-it,59.51,31.27,30.39,35.31,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
26,gpt-4o-mini-f2,58.90,35.13,51.92,55.72,,,,,,,,,
27,gpt-4o-mini-f3,56.14,38.03,66.94,68.03,0.38,0.31,0.32,0.34,0.30,0.34,0.33,0.34,0.34
28,mistral-nemo-12b-instruct,55.62,31.21,36.09,32.48,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
29,phi-3-mini-128k-instruct,51.58,29.21,42.59,35.44,0.50,0.39,0.45,0.76,0.40,0.58,0.50,0.53,0.58
30,pe_llama-3.1-70b-instruct,38.33,43.69,34.87,39.90,,,,,,,,,
31,gemma-2-2b-it,37.31,19.76,16.74,20.01,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64
32,pe_llama4_maverick,34.49,43.54,31.74,38.64,,,,,,,,,
33,claude-4-sonnet-20250514,28.21,0.00,0.00,0.00,0.66,0.54,0.59,0.89,0.60,0.78,0.68,0.69,0.78
34,claude-3-7-sonnet-20250219,25.25,0.00,0.00,0.00,0.63,0.50,0.53,0.87,0.59,0.76,0.64,0.67,0.76
35,gpt-4o,24.82,0.00,0.00,0.00,0.61,0.49,0.51,0.86,0.56,0.76,0.65,0.68,0.76
36,pe_deepseek-r1-8b,24.56,34.66,30.62,36.91,,,,,,,,,
37,gpt-4.1,24.40,0.00,0.00,0.00,0.60,0.49,0.52,0.86,0.53,0.77,0.65,0.67,0.77
38,claude-3-5-sonnet,23.56,0.00,0.00,0.00,0.59,0.48,0.50,0.85,0.53,0.76,0.64,0.67,0.76
39,mistral-large-latest,23.13,0.00,0.00,0.00,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74
40,gpt-4o-mini,22.29,0.00,0.00,0.00,0.61,0.52,0.53,0.84,0.55,0.72,0.62,0.66,0.72
41,Gemini-1.5-pro,22.29,0.00,0.00,0.00,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73
42,gpt-4.1-mini,21.44,0.00,0.00,0.00,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74
43,codestral-22b-instruct-v0.1,21.02,0.00,0.00,0.00,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70
44,phi-3-medium-128k-instruct,19.92,23.86,31.20,27.35,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
