Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model
1,gpt-4o-mini-f2,100.00,2.41,,phi-3-mini-128k-instruct
2,gpt-4o-mini-f1,88.18,1.98,1.67,phi-3-mini-128k-instruct
3,claude-4-sonnet-20250514,73.88,1.44,0.78,phi-3-mini-128k-instruct
4,gpt-4o-mini-f3,70.26,4.24,-2.38,phi-3-mini-128k-instruct
5,llama3.3-70b-sft1,68.19,0.54,1.11,phi-3-mini-128k-instruct
6,llama3.3-70b-lora1,65.18,,0.67,phi-3-mini-128k-instruct
7,claude-3-7-sonnet-20250219,62.53,0.55,0.53,phi-3-mini-128k-instruct
8,qwen3-235b-a22b,60.09,0.39,0.45,phi-3-mini-128k-instruct
9,pe_gpt-4o-mini,58.86,0.26,0.46,phi-3-mini-128k-instruct
10,gpt-4o-mini,58.68,0.34,0.36,phi-3-mini-128k-instruct
11,llama4_maverick,58.60,0.25,0.44,phi-3-mini-128k-instruct
12,Gemini-1.5-pro,58.57,,0.35,phi-3-mini-128k-instruct
13,pe_llama-3.1-405b-instruct,57.99,0.21,0.43,phi-3-mini-128k-instruct
14,o3,57.58,1.04,-0.44,phi-3-mini-128k-instruct
15,llama-3.3-70b-instruct,57.46,0.24,0.34,phi-3-mini-128k-instruct
16,llama3.1-8b-lora1,57.29,-0.06,0.62,phi-3-mini-128k-instruct
17,gpt-4.1,57.04,0.09,0.44,phi-3-mini-128k-instruct
18,gpt-4.1-mini,56.94,0.30,0.22,phi-3-mini-128k-instruct
19,llama4_scout,56.72,0.20,0.31,phi-3-mini-128k-instruct
20,pe_deepseek-r1-32b,56.59,0.11,0.38,phi-3-mini-128k-instruct
21,pe_llama-3.3-70b-instruct,56.19,0.10,0.36,phi-3-mini-128k-instruct
22,llama4-109b-lora1,56.02,-0.03,0.46,phi-3-mini-128k-instruct
23,llama3.1-8b-f1,55.65,-0.10,0.50,phi-3-mini-128k-instruct
24,llama-3.1-405b-instruct,54.84,-0.07,0.38,phi-3-mini-128k-instruct
25,deepseek-r1,54.07,-0.23,0.47,phi-3-mini-128k-instruct
26,pe_llama-3.1-8b-instruct,53.87,-0.06,0.28,phi-3-mini-128k-instruct
27,gpt-4.1-nano,53.01,0.00,0.13,phi-3-mini-128k-instruct
28,pe_llama-3.1-70b-instruct,52.90,0.06,,phi-3-mini-128k-instruct
29,mistral-large-latest,52.57,-0.27,0.36,phi-3-mini-128k-instruct
30,deepseek-r1-32b,52.13,-0.06,0.11,phi-3-mini-128k-instruct
31,codestral-22b-instruct-v0.1,52.11,-0.22,0.27,phi-3-mini-128k-instruct
32,llama3.1-8b-f2,51.99,0.02,,phi-3-mini-128k-instruct
33,Gemini-2.5-pro,51.66,0.33,-0.33,phi-3-mini-128k-instruct
34,mixtral-8x22b-instruct-v0.1,51.56,-0.09,0.08,phi-3-mini-128k-instruct
35,o4-mini,51.44,0.39,-0.41,phi-3-mini-128k-instruct
36,Gemini,50.83,-0.04,,phi-3-mini-128k-instruct
37,gemma-2-27b-it,50.45,-0.31,0.19,phi-3-mini-128k-instruct
38,llama-3.1-70b-instruct,50.36,0.02,-0.15,phi-3-mini-128k-instruct
39,pe_llama4_maverick,49.13,-0.13,,phi-3-mini-128k-instruct
40,nemotron-4-340b-instruct,48.07,-0.62,0.26,phi-3-mini-128k-instruct
41,llama-3.1-8b-instruct,47.86,-0.26,-0.12,phi-3-mini-128k-instruct
42,gpt-4o,47.85,-0.83,0.45,phi-3-mini-128k-instruct
43,claude-3-5-sonnet,46.65,-0.85,0.35,phi-3-mini-128k-instruct
44,mistral-nemo-12b-instruct,44.43,-0.45,-0.27,phi-3-mini-128k-instruct
45,mixtral-8x7b-instruct-v0.1,44.10,-0.24,-0.52,phi-3-mini-128k-instruct
46,pe_deepseek-r1-8b,44.00,-0.38,,phi-3-mini-128k-instruct
47,gemma-2-9b-it,43.50,-0.86,0.05,phi-3-mini-128k-instruct
48,deepseek-r1-8b,42.00,-0.81,-0.15,phi-3-mini-128k-instruct
49,gemma-2-2b-it,36.40,-1.25,-0.27,phi-3-mini-128k-instruct
50,mamba-codestral-7b-v0.1,31.33,-1.13,-0.89,phi-3-mini-128k-instruct
51,gemma-3-1b-it,31.12,-1.75,-0.29,phi-3-mini-128k-instruct
52,phi-3-mini-128k-instruct,27.16,-1.74,-0.70,phi-3-mini-128k-instruct
53,phi-3-medium-128k-instruct,2.84,-2.60,-2.27,phi-3-mini-128k-instruct
54,pe_llama4_scout,0.00,-0.07,-5.08,phi-3-mini-128k-instruct
