File Path,Format Type,Score,Original Text
llama3.3-70b-lora1/scm/third_score_reference.txt,standard,34,[[34]]
llama3.3-70b-lora1/scm/third_score_reference_document.txt,standard,53,[[53]]
llama3.3-70b-lora1/scm/first_score_document.txt,standard,56,[[56]]
llama3.3-70b-lora1/scm/first_score_reference.txt,standard,58,[[58]]
llama3.3-70b-lora1/scm/second_score_reference.txt,standard,100,[[100]]
llama3.3-70b-lora1/scm/first_score_reference_document.txt,standard,32,[[32]]
llama3.3-70b-lora1/scm/second_score_reference_document.txt,standard,47,[[47]]
llama3.3-70b-lora1/scm/second_score_document.txt,standard,79,[[79]]
llama3.3-70b-lora1/scm/third_score_document.txt,standard,41,[[41]]
llama3.3-70b-lora1/citybus/third_score_reference.txt,standard,63,[[63]]
llama3.3-70b-lora1/citybus/third_score_reference_document.txt,standard,63,[[63]]
llama3.3-70b-lora1/citybus/first_score_document.txt,standard,38,[[38]]
llama3.3-70b-lora1/citybus/first_score_reference.txt,standard,17,[[17]]
llama3.3-70b-lora1/citybus/second_score_reference.txt,standard,80,[[80]]
llama3.3-70b-lora1/citybus/first_score_reference_document.txt,standard,38,[[38]]
llama3.3-70b-lora1/citybus/second_score_reference_document.txt,standard,62,[[62]]
llama3.3-70b-lora1/citybus/second_score_document.txt,standard,7,[[7]]
llama3.3-70b-lora1/citybus/third_score_document.txt,standard,69,[[69]]
llama3.3-70b-lora1/gps_imu/third_score_reference.txt,standard,100,[[100]]
llama3.3-70b-lora1/gps_imu/third_score_reference_document.txt,standard,70,[[70]]
llama3.3-70b-lora1/gps_imu/first_score_document.txt,standard,33,[[33]]
llama3.3-70b-lora1/gps_imu/first_score_reference.txt,standard,12,[[12]]
llama3.3-70b-lora1/gps_imu/second_score_reference.txt,standard,27,[[27]]
llama3.3-70b-lora1/gps_imu/first_score_reference_document.txt,standard,24,[[24]]
llama3.3-70b-lora1/gps_imu/second_score_reference_document.txt,standard,58,[[58]]
llama3.3-70b-lora1/gps_imu/second_score_document.txt,standard,34,[[34]]
llama3.3-70b-lora1/gps_imu/third_score_document.txt,standard,80,[[80]]
llama3.3-70b-lora1/rotor/third_score_reference.txt,standard,84,[[84]]
llama3.3-70b-lora1/rotor/third_score_reference_document.txt,standard,70,[[70]]
llama3.3-70b-lora1/rotor/first_score_document.txt,standard,95,[[95]]
llama3.3-70b-lora1/rotor/first_score_reference.txt,standard,33,[[33]]
llama3.3-70b-lora1/rotor/second_score_reference.txt,standard,98,[[98]]
llama3.3-70b-lora1/rotor/first_score_reference_document.txt,standard,52,[[52]]
llama3.3-70b-lora1/rotor/second_score_reference_document.txt,standard,69,[[69]]
llama3.3-70b-lora1/rotor/second_score_document.txt,standard,68,[[68]]
llama3.3-70b-lora1/rotor/third_score_document.txt,standard,63,[[63]]
llama3.3-70b-lora1/rigid_multipatches/third_score_reference.txt,standard,67,[[67]]
llama3.3-70b-lora1/rigid_multipatches/third_score_reference_document.txt,standard,75,[[75]]
llama3.3-70b-lora1/rigid_multipatches/first_score_document.txt,standard,15,[[15]]
llama3.3-70b-lora1/rigid_multipatches/first_score_reference.txt,standard,64,[[64]]
llama3.3-70b-lora1/rigid_multipatches/second_score_reference.txt,standard,82,[[82]]
llama3.3-70b-lora1/rigid_multipatches/first_score_reference_document.txt,standard,42,[[42]]
llama3.3-70b-lora1/rigid_multipatches/second_score_reference_document.txt,standard,58,[[58]]
llama3.3-70b-lora1/rigid_multipatches/second_score_document.txt,standard,30,[[30]]
llama3.3-70b-lora1/rigid_multipatches/third_score_document.txt,standard,44,[[44]]
llama3.3-70b-lora1/cable/third_score_reference.txt,standard,82,[[82]]
llama3.3-70b-lora1/cable/third_score_reference_document.txt,standard,76,[[76]]
llama3.3-70b-lora1/cable/first_score_document.txt,standard,13,[[13]]
llama3.3-70b-lora1/cable/first_score_reference.txt,standard,53,[[53]]
llama3.3-70b-lora1/cable/second_score_reference.txt,standard,92,[[92]]
llama3.3-70b-lora1/cable/first_score_reference_document.txt,standard,45,[[45]]
llama3.3-70b-lora1/cable/second_score_reference_document.txt,standard,95,[[95]]
