model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
deepseek-r1,curiosity,round_1,0.28509466268116473,0.04753961463353321,0.08427341472062644,0.7321428571428571,0.2764227642276423,0.4266666666666666,0.17391304347826086,0.2866666666666667,0.4266666666666666
deepseek-r1,curiosity,round_2,0.8125622403229132,0.7945805736047403,0.8308377643806795,0.9512195121951219,0.6736111111111112,0.9189189189189189,0.872093023255814,0.9150579150579152,0.9189189189189189
deepseek-r1,curiosity,round_3,0.716552692632229,0.6319718378716991,0.6593741652572893,0.9067796610169492,0.6680851063829787,0.861744966442953,0.7994616419919247,0.8295302013422818,0.861744966442953
deepseek-r1,mass_spring_damper,round_1,0.3466225588931781,0.11590005918608182,0.1459208642173184,0.7407407407407407,0.38392857142857145,0.505643340857788,0.24943310657596374,0.4198645598194132,0.5011286681715575
deepseek-r1,mass_spring_damper,round_2,0.7781260146502752,0.7750381204007283,0.8097313895120666,0.9219653179190751,0.6057692307692307,0.9634641407307172,0.9253731343283581,0.817320703653586,0.9634641407307172
deepseek-r1,mass_spring_damper,round_3,0.9271733861592129,0.8589110027188018,0.8605595675420369,0.9974874371859297,0.9917355371900827,0.9789719626168224,0.9578454332552693,0.9672897196261682,0.9789719626168224
deepseek-r1,rigid_highway,round_1,0.29147463244463667,0.0659859015148522,0.07898061909639117,0.7688311688311689,0.25210084033613445,0.529839883551674,0.254014598540146,0.3493449781659389,0.529839883551674
deepseek-r1,rigid_highway,round_2,0.8902537074400654,0.8784365494139447,0.9352934827018067,0.9712230215827338,0.7760617760617761,0.9385593220338981,0.9256900212314224,0.9364406779661018,0.9385593220338981
deepseek-r1,rigid_highway,round_3,0.9554589266259593,0.9373523052110896,0.9390735652271738,0.97,0.9754098360655737,0.9866342648845686,0.9792935444579781,0.976913730255164,0.9866342648845686
deepseek-r1,citybus,round_1,0.32332471728913315,0.10836823442303621,0.12083179049538033,0.73224043715847,0.33185840707964603,0.5945945945945946,0.3658536585365853,0.354054054054054,0.5945945945945946
deepseek-r1,citybus,round_2,0.8840160913187032,0.8723877705956401,0.8749854878062479,0.9724517906336089,0.8162393162393162,0.9848866498740554,0.9671717171717172,0.9773299748110831,0.9798488664987406
deepseek-r1,citybus,round_3,0.8787683254286975,0.9052362776121505,0.9066840669963968,0.9863387978142076,0.7168141592920354,0.9860228716645489,0.9783439490445859,0.9682337992376111,0.9860228716645489
deepseek-r1,pendulum,round_1,0.31806234023761226,0.061866797233692206,0.10971658011019947,0.6475409836065574,0.453125,0.3972835314091681,0.1669505962521295,0.31918505942275044,0.3938879456706281
deepseek-r1,pendulum,round_2,0.6827430672167798,0.5356939287751283,0.5450178436163549,0.896414342629482,0.7538461538461538,0.9076620825147347,0.8047337278106509,0.8801571709233792,0.9076620825147347
deepseek-r1,pendulum,round_3,0.5975982569199911,0.41050557050230607,0.42261481632159004,0.8653295128939829,0.6919431279620853,0.8563758389261745,0.6890982503364739,0.7624161073825504,0.8563758389261745
deepseek-r1,uazbus,round_1,0.3143504521179544,0.10983189384417222,0.1415661344697683,0.71900826446281,0.28699551569506726,0.6507177033492823,0.464,0.4274322169059011,0.6507177033492823
deepseek-r1,uazbus,round_2,0.746981849940906,0.6658874402110594,0.6644507872313627,0.9331797235023042,0.7244094488188977,0.8580931263858094,0.7644444444444444,0.7738359201773836,0.8558758314855877
deepseek-r1,uazbus,round_3,0.8180346616817235,0.7772564962069006,0.7865637283163274,0.9653465346534653,0.7429718875502008,0.9392812887236679,0.9118012422360249,0.8500619578686494,0.9368029739776953
deepseek-r1,art,round_1,0.31641385611823525,0.10129462293593786,0.11627978312803053,0.7914438502673797,0.25663716814159293,0.6484848484848486,0.44376899696048633,0.4848484848484849,0.6454545454545454
deepseek-r1,art,round_2,0.9507848697821619,0.9753054217034283,0.9756973861839151,0.9893048128342246,0.8628318584070797,0.9974293059125964,0.9922680412371134,0.9974293059125964,0.9974293059125964
deepseek-r1,art,round_3,0.9195988997273519,0.9527610206163061,0.9531439247509123,0.9893048128342246,0.7831858407079646,0.9974293059125964,0.9845360824742269,0.9820051413881747,0.9974293059125964
deepseek-r1,gear,round_1,0.31584647760172246,0.0850104533505057,0.09278126200208947,0.6674757281553398,0.4181184668989547,0.44502617801047123,0.21784776902887143,0.34554973821989526,0.44502617801047123
deepseek-r1,gear,round_2,0.9061216980256709,0.8430944083614814,0.9194712714648918,0.9490291262135923,0.9128919860627178,0.9700996677740864,0.9433962264150942,0.9435215946843853,0.9700996677740864
deepseek-r1,gear,round_3,0.7937377399713823,0.685368514344937,0.7462988634510401,0.9432835820895522,0.8,0.9013698630136986,0.8532235939643348,0.8616438356164384,0.9013698630136986
deepseek-r1,gps_imu,round_1,0.2992838374198364,0.09085101165610994,0.10187610349933941,0.7467811158798283,0.2576271186440678,0.631578947368421,0.39018404907975457,0.39412484700122397,0.631578947368421
deepseek-r1,gps_imu,round_2,0.7692135195406289,0.7292103802518631,0.7310851822423441,0.9340659340659341,0.6824925816023739,0.9109461966604824,0.8308550185873607,0.8497217068645639,0.9109461966604824
deepseek-r1,gps_imu,round_3,0.7436769383372518,0.7841633246050288,0.8594029468804749,0.9620938628158845,0.36904761904761907,0.9351305812973884,0.8843881856540085,0.8980623420387531,0.9351305812973884
deepseek-r1,gator,round_1,0.268005611170656,0.07384180617404336,0.09076979958530791,0.6831955922865014,0.2242152466367713,0.559748427672956,0.3501577287066246,0.3679245283018868,0.5566037735849055
deepseek-r1,gator,round_2,0.6645444047901804,0.6449673239841656,0.6595508205409654,0.9362139917695473,0.4174454828660436,0.8514285714285714,0.7690839694656488,0.7885714285714286,0.8495238095238096
deepseek-r1,gator,round_3,0.959048626277516,0.9687033733226722,0.9689006612442099,0.9972451790633609,0.9013452914798207,0.9973614775725593,0.9894179894179894,0.978891820580475,0.9973614775725593
deepseek-r1,feda,round_1,0.38086552956080966,0.2073658310920959,0.2150820683220034,0.8319559228650137,0.26905829596412556,0.7005494505494506,0.5234159779614326,0.4697802197802198,0.7005494505494506
deepseek-r1,feda,round_2,0.8970782687281783,0.869100517609237,0.8976473399121723,0.952,0.8695652173913043,0.967989756722151,0.9319640564826701,0.9551856594110115,0.9654289372599233
deepseek-r1,feda,round_3,0.6852623612233802,0.6347966854688286,0.640916393787542,0.9069767441860465,0.5583596214511041,0.8687872763419483,0.7948207171314741,0.8011928429423458,0.8687872763419483
deepseek-r1,sedan,round_1,0.5045396058684253,0.1264473525987019,0.13214822934494433,0.7595628415300546,0.0,0.549618320610687,0.31887755102040816,0.3587786259541985,0.549618320610687
deepseek-r1,sedan,round_2,0.5910486574776959,0.510796074996692,0.544377281861346,0.9299363057324841,0.3790849673202614,0.800413650465357,0.6590673575129533,0.7735263702171665,0.800413650465357
deepseek-r1,sedan,round_3,0.5611215024765264,0.5120984467614996,0.533201201269364,0.8853932584269663,0.3137931034482759,0.8008130081300814,0.6924643584521385,0.7317073170731707,0.8008130081300814
deepseek-r1,vehros,round_1,0.5380652432911369,0.08479128420204832,0.21161383310664347,0.8558558558558559,0.0,0.4310344827586207,0.23631123919308358,0.26149425287356326,0.42816091954022995
deepseek-r1,vehros,round_2,0.6331278052116708,0.5879976694895914,0.6050031418398185,0.9139784946236559,0.425531914893617,0.8857545839210155,0.8118811881188119,0.7362482369534556,0.8857545839210155
deepseek-r1,vehros,round_3,0.7460224558050129,0.720459380339531,0.7389954534567986,0.9275653923541247,0.5970695970695971,0.9255213505461768,0.8557213930348259,0.8480635551142006,0.9235352532274081
deepseek-r1,veh_app,round_1,0.30585862239331235,0.08449014964211599,0.1043934227900833,0.7401960784313726,0.29435483870967744,0.5847457627118644,0.3937677053824363,0.3672316384180791,0.5847457627118644
deepseek-r1,veh_app,round_2,0.8483752134520325,0.7954102945883813,0.8430621484531493,0.9483985765124555,0.8066298342541437,0.902120717781403,0.8529411764705883,0.8760195758564436,0.902120717781403
deepseek-r1,veh_app,round_3,0.8720474790636354,0.8626207053490951,0.8655506348328568,0.9646697388632872,0.7953488372093023,0.9650655021834061,0.934402332361516,0.9475982532751092,0.9636098981077147
deepseek-r1,sensros,round_1,0.2900882540438837,0.036551853756999465,0.039669338957443595,0.741869918699187,0.34226190476190477,0.45580404685835996,0.1985058697972252,0.33013844515441954,0.44728434504792336
deepseek-r1,sensros,round_2,0.7727598299234735,0.7986662156620695,0.8047841360602941,0.9750889679715302,0.5125,0.9376518218623482,0.9083536090835362,0.9246963562753037,0.9376518218623482
deepseek-r1,sensros,round_3,0.9784134348493283,0.9564188531549211,0.9793078399790469,0.9804270462633452,0.9975,0.9938271604938271,0.9891808346213292,0.9907407407407408,0.9938271604938271
deepseek-r1,camera,round_1,0.2563499886321185,0.038207169667603236,0.048769374318501126,0.6410256410256411,0.29739776951672864,0.45006657789613846,0.20026702269692923,0.2982689747003995,0.4447403462050599
deepseek-r1,camera,round_2,0.916056746049082,0.9733937326418881,0.9740647259623852,0.9772727272727273,0.7394957983193278,0.9977011494252873,0.9907834101382489,0.9931034482758622,0.9977011494252873
deepseek-r1,camera,round_3,0.7868939621479712,0.8351676266880342,0.8487895448610493,0.95,0.5136186770428015,0.9678135405105439,0.9276974416017798,0.8745837957824639,0.9678135405105439
deepseek-r1,particles,round_1,0.3192013146327773,0.04545260952282505,0.0879587935433409,0.7603092783505154,0.38308457711442784,0.33676975945017185,0.1285878300803674,0.19014891179839633,0.3344788087056128
deepseek-r1,particles,round_2,0.8574610502274789,0.8129337014650923,0.8155285740939505,0.9454148471615721,0.8559670781893004,0.953771289537713,0.9243902439024391,0.8978102189781021,0.953771289537713
deepseek-r1,particles,round_3,0.8920062364437824,0.8858822493631467,0.8833555686285723,0.9907063197026023,0.8080808080808081,0.9792284866468843,0.9613478691774033,0.9277942631058358,0.9792284866468843
deepseek-r1,viper,round_1,0.3016070635546817,0.09742782675549234,0.10235299236979417,0.6260504201680672,0.3805970149253731,0.6048565121412803,0.30598669623059865,0.4326710816777042,0.6004415011037528
deepseek-r1,viper,round_2,0.9490825438006834,0.9181140623626104,0.9190766996610122,0.9845201238390093,0.9746192893401016,0.9943019943019943,0.9714285714285714,0.9686609686609686,0.9943019943019943
deepseek-r1,viper,round_3,0.7405992694061281,0.7491782980614358,0.7605769769212741,0.9227272727272727,0.5299145299145299,0.8861788617886179,0.8081632653061225,0.8577235772357723,0.8861788617886179
deepseek-r1,m113,round_1,0.27554130883246775,0.06598782059202252,0.08466015335113522,0.6892950391644909,0.26222222222222225,0.5745007680491551,0.3636363636363636,0.32872503840245776,0.5714285714285714
deepseek-r1,m113,round_2,0.8282269796493982,0.8119482931148474,0.8202708248797895,0.9460916442048517,0.7345971563981043,0.936868686868687,0.8936708860759494,0.9116161616161617,0.936868686868687
deepseek-r1,m113,round_3,0.8716112760485284,0.8774817601163987,0.9120990366017363,0.971764705882353,0.7250996015936255,0.9638009049773756,0.9251700680272109,0.8891402714932126,0.9592760180995474
deepseek-r1,kraz,round_1,0.2797722187971893,0.08023650399442689,0.09415879869806729,0.6666666666666666,0.27802690582959644,0.5987654320987655,0.3777089783281733,0.3209876543209876,0.5895061728395062
deepseek-r1,kraz,round_2,0.7392358211716918,0.654937706431067,0.6496757959490771,0.908235294117647,0.7440944881889764,0.8306264501160092,0.8023255813953488,0.8004640371229699,0.8306264501160092
deepseek-r1,kraz,round_3,0.5263686275513445,0.41575193380175823,0.430586943841945,0.8939670932358318,0.3651685393258427,0.8449955713020372,0.6725820763087844,0.724534986713906,0.8432240921169177
deepseek-r1,turtlebot,round_1,0.2852200708148752,0.07231951396624302,0.07661604398149517,0.6043478260869565,0.3875968992248062,0.6096033402922755,0.33542976939203356,0.4509394572025052,0.5929018789144049
deepseek-r1,turtlebot,round_2,0.7179789028444505,0.7039104439644499,0.7718113957870546,0.8961937716262975,0.5,0.9225806451612903,0.8737864077669903,0.8612903225806451,0.9225806451612903
deepseek-r1,turtlebot,round_3,0.5209355529840471,0.463636502368785,0.4734904716372658,0.8192771084337349,0.3273381294964029,0.794462193823216,0.6360725720384205,0.630457933972311,0.7902023429179978
deepseek-r1,tablecloth,round_1,0.2846727912045612,0.07308230754614833,0.0946404855423033,0.7055837563451777,0.2653846153846154,0.4265129682997118,0.2138728323699422,0.34582132564841495,0.42363112391930835
deepseek-r1,tablecloth,round_2,0.6509535686203769,0.6868926201759729,0.7210307951810176,0.8539553752535497,0.3419354838709677,0.9024630541871921,0.8292201382033564,0.7862068965517242,0.9024630541871921
deepseek-r1,tablecloth,round_3,0.912733120041026,0.8942748116561262,0.9053876213754694,0.9247524752475248,0.9265175718849841,0.978131212723658,0.9601593625498008,0.9721669980119284,0.978131212723658
deepseek-r1,slider_crank,round_1,0.34617326094582124,0.07153714699785493,0.10499418816605556,0.7028985507246377,0.5052631578947369,0.4009603841536615,0.19013237063778582,0.29531812725090034,0.4009603841536615
deepseek-r1,slider_crank,round_2,0.8240179289051139,0.7277252606032046,0.79875072816346,0.8623376623376623,0.907258064516129,0.8989298454221165,0.831942789034565,0.8537455410225923,0.896551724137931
