model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
pe_deepseek-r1-8b,art,round_1,0.2632682745511037,0.01067923577820587,0.014614770097402759,0.6737967914438503,0.35398230088495575,0.3372717508055854,0.11410118406889128,0.18474758324382387,0.3372717508055854
pe_deepseek-r1-8b,art,round_2,0.9743726324524064,0.9481632591279003,0.949327270681725,1.0,1.0,1.0,1.0,1.0,1.0
pe_deepseek-r1-8b,art,round_3,0.8793606266468768,0.9120587590567107,0.9266416151187004,0.9973262032085561,0.6814159292035398,0.9701492537313433,0.9625935162094763,0.9552238805970149,0.9701492537313433
pe_deepseek-r1-8b,beam,round_1,0.24997105733966093,0.04649488054588957,0.09731279626035676,0.7138964577656676,0.14218009478672985,0.422360248447205,0.29521829521829523,0.36438923395445133,0.422360248447205
pe_deepseek-r1-8b,beam,round_2,0.739528051281721,0.633023213658184,0.6415682162214753,0.9367396593673966,0.7467811158798283,0.8419689119170984,0.7922077922077921,0.8186528497409326,0.8419689119170984
pe_deepseek-r1-8b,beam,round_3,0.8802969962427147,0.8569721247614364,0.8936817062697523,0.985981308411215,0.7845528455284553,0.961630695443645,0.9423076923076923,0.9400479616306954,0.961630695443645
pe_deepseek-r1-8b,buckling,round_1,0.2058313933943635,0.025089798269939765,0.03954389654684593,0.5428109854604201,0.21588089330024815,0.4151696606786427,0.204,0.2215568862275449,0.4111776447105789
pe_deepseek-r1-8b,buckling,round_2,0.7449804544192833,0.5113804714604351,0.9738789394692429,0.9983844911147012,0.49627791563275436,0.6835978835978836,0.6822033898305083,0.6835978835978836,0.6835978835978836
pe_deepseek-r1-8b,buckling,round_3,0.5888409150461215,0.3971283603501235,0.4035545332092528,0.9789983844911146,0.575682382133995,0.8346213292117465,0.6486068111455109,0.8098918083462133,0.8346213292117465
pe_deepseek-r1-8b,cable,round_1,0.32648593597355713,0.03562394189444079,0.07926122310570043,0.7025089605734767,0.48854961832061067,0.3451463790446841,0.15765069551777436,0.24345146379044688,0.3451463790446841
pe_deepseek-r1-8b,cable,round_2,0.8439588707366947,0.873626893850901,0.8783318240124379,0.9547038327526133,0.6691729323308271,0.974559686888454,0.9626719056974459,0.974559686888454,0.974559686888454
pe_deepseek-r1-8b,cable,round_3,0.49116098527293395,0.36041087594259336,0.37674502207556804,0.8035398230088495,0.42394822006472493,0.6124031007751938,0.48349514563106794,0.5310077519379846,0.6124031007751938
pe_deepseek-r1-8b,camera,round_1,0.2167337481099254,0.007459891202051393,0.008485941698304782,0.4755244755244755,0.3754646840148699,0.31111111111111106,0.04677060133630289,0.15555555555555553,0.3022222222222222
pe_deepseek-r1-8b,camera,round_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pe_deepseek-r1-8b,camera,round_3,0.8528961927241823,0.9194265768994206,0.9357185052813553,0.965,0.5914396887159533,0.9581497797356829,0.9381898454746137,0.9581497797356829,0.9581497797356829
pe_deepseek-r1-8b,citybus,round_1,0.27042670621123294,0.012451525073188007,0.019325419216591148,0.6693989071038251,0.3805309734513274,0.3137254901960785,0.11394891944990178,0.19019607843137254,0.31176470588235294
pe_deepseek-r1-8b,citybus,round_2,0.8514249146332709,0.8330171601884461,0.8386993098159943,0.9476584022038568,0.7863247863247863,0.974293059125964,0.9484536082474228,0.9588688946015425,0.974293059125964
pe_deepseek-r1-8b,citybus,round_3,0.9685103413068996,0.9363590071907558,0.9376823580368427,1.0,1.0,0.9961489088575095,0.9935649935649936,0.9961489088575095,0.9961489088575095
pe_deepseek-r1-8b,curiosity,round_1,0.303121852948042,0.02945100629111676,0.12235115579141133,0.6785714285714286,0.3821138211382114,0.23208722741433024,0.11700468018720749,0.16822429906542058,0.22274143302180685
pe_deepseek-r1-8b,curiosity,round_2,0.7335406724312499,0.7275726991087975,0.7560479851961477,0.9227642276422764,0.5277777777777778,0.8685968819599109,0.8456375838926173,0.8641425389755011,0.8685968819599109
pe_deepseek-r1-8b,curiosity,round_3,0.6406472649400603,0.5518338676732851,0.5775661068603662,0.867231638418079,0.5659574468085107,0.8093278463648834,0.7235213204951858,0.6941015089163237,0.8093278463648834
pe_deepseek-r1-8b,feda,round_1,0.29330380734295697,0.020490209759581705,0.02487909192938415,0.6749311294765841,0.452914798206278,0.4004884004884005,0.1444308445532436,0.23443223443223446,0.3980463980463981
pe_deepseek-r1-8b,feda,round_2,0.7315933973196235,0.7129593683530481,0.7265156702008079,0.9173333333333333,0.5695652173913044,0.8700410396716827,0.8120713305898491,0.8153214774281805,0.8700410396716827
