model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
pe_deepseek-r1-8b,art,round_1,,,,,,0.3372717508055854,0.11410118406889128,0.18474758324382387,0.3372717508055854
pe_deepseek-r1-8b,art,round_2,,,,,,1.0,1.0,1.0,1.0
pe_deepseek-r1-8b,art,round_3,,,,,,0.9701492537313433,0.9625935162094763,0.9552238805970149,0.9701492537313433
pe_deepseek-r1-8b,beam,round_1,,,,,,0.422360248447205,0.29521829521829523,0.36438923395445133,0.422360248447205
pe_deepseek-r1-8b,beam,round_2,,,,,,0.8419689119170984,0.7922077922077921,0.8186528497409326,0.8419689119170984
pe_deepseek-r1-8b,beam,round_3,,,,,,0.961630695443645,0.9423076923076923,0.9400479616306954,0.961630695443645
pe_deepseek-r1-8b,buckling,round_1,,,,,,0.4151696606786427,0.204,0.2215568862275449,0.4111776447105789
pe_deepseek-r1-8b,buckling,round_2,,,,,,0.6835978835978836,0.6822033898305083,0.6835978835978836,0.6835978835978836
pe_deepseek-r1-8b,buckling,round_3,,,,,,0.8346213292117465,0.6486068111455109,0.8098918083462133,0.8346213292117465
pe_deepseek-r1-8b,cable,round_1,,,,,,0.3451463790446841,0.15765069551777436,0.24345146379044688,0.3451463790446841
pe_deepseek-r1-8b,cable,round_2,,,,,,0.974559686888454,0.9626719056974459,0.974559686888454,0.974559686888454
pe_deepseek-r1-8b,cable,round_3,,,,,,0.6124031007751938,0.48349514563106794,0.5310077519379846,0.6124031007751938
pe_deepseek-r1-8b,camera,round_1,,,,,,0.31111111111111106,0.04677060133630289,0.15555555555555553,0.3022222222222222
pe_deepseek-r1-8b,camera,round_2,,,,,,1.0,1.0,1.0,1.0
pe_deepseek-r1-8b,camera,round_3,,,,,,0.9581497797356829,0.9381898454746137,0.9581497797356829,0.9581497797356829
pe_deepseek-r1-8b,citybus,round_1,,,,,,0.3137254901960785,0.11394891944990178,0.19019607843137254,0.31176470588235294
pe_deepseek-r1-8b,citybus,round_2,,,,,,0.974293059125964,0.9484536082474228,0.9588688946015425,0.974293059125964
pe_deepseek-r1-8b,citybus,round_3,,,,,,0.9961489088575095,0.9935649935649936,0.9961489088575095,0.9961489088575095
pe_deepseek-r1-8b,curiosity,round_1,,,,,,0.23208722741433024,0.11700468018720749,0.16822429906542058,0.22274143302180685
pe_deepseek-r1-8b,curiosity,round_2,,,,,,0.8685968819599109,0.8456375838926173,0.8641425389755011,0.8685968819599109
pe_deepseek-r1-8b,curiosity,round_3,,,,,,0.8093278463648834,0.7235213204951858,0.6941015089163237,0.8093278463648834
pe_deepseek-r1-8b,feda,round_1,,,,,,0.4004884004884005,0.1444308445532436,0.23443223443223446,0.3980463980463981
pe_deepseek-r1-8b,feda,round_2,,,,,,0.8700410396716827,0.8120713305898491,0.8153214774281805,0.8700410396716827
pe_deepseek-r1-8b,feda,round_3,,,,,,0.851963746223565,0.7830474268415741,0.7633434038267876,0.851963746223565
pe_deepseek-r1-8b,gator,round_1,,,,,,0.36771300448430494,0.1199400299850075,0.21225710014947682,0.3617339312406577
pe_deepseek-r1-8b,gator,round_2,,,,,,0.754863813229572,0.6920077972709552,0.7101167315175098,0.754863813229572
pe_deepseek-r1-8b,gator,round_3,,,,,,0.9920844327176781,0.9841269841269841,0.9920844327176781,0.9920844327176781
pe_deepseek-r1-8b,gear,round_1,,,,,,0.45210727969348663,0.23559539052496797,0.26053639846743293,0.45210727969348663
pe_deepseek-r1-8b,gear,round_2,,,,,,0.9863325740318907,0.9726027397260274,0.979498861047836,0.9863325740318907
pe_deepseek-r1-8b,gear,round_3,,,,,,0.8772189349112426,0.8207407407407408,0.8195266272189349,0.8772189349112426
pe_deepseek-r1-8b,gps_imu,round_1,,,,,,0.42580645161290326,0.1314655172413793,0.21290322580645163,0.41935483870967744
pe_deepseek-r1-8b,gps_imu,round_2,,,,,,0.9226618705035972,0.8792792792792793,0.856115107913669,0.9226618705035972
pe_deepseek-r1-8b,gps_imu,round_3,,,,,,0.9545454545454546,0.9246935201401051,0.93006993006993,0.9545454545454546
pe_deepseek-r1-8b,handler,round_1,,,,,,0.4198019801980198,0.1510934393638171,0.26138613861386134,0.4158415841584158
pe_deepseek-r1-8b,handler,round_2,,,,,,0.9836660617059891,0.9581056466302368,0.9655172413793104,0.9836660617059891
pe_deepseek-r1-8b,handler,round_3,,,,,,0.771850170261067,0.6507394766780432,0.6220204313280364,0.771850170261067
pe_deepseek-r1-8b,hmmwv,round_1,,,,,,0.3354037267080745,0.15264797507788164,0.19254658385093168,0.3322981366459627
pe_deepseek-r1-8b,hmmwv,round_2,,,,,,0.6832061068702291,0.5793499043977055,0.6202290076335878,0.6832061068702291
pe_deepseek-r1-8b,hmmwv,round_3,,,,,,0.8528138528138528,0.7765726681127982,0.70995670995671,0.8528138528138528
pe_deepseek-r1-8b,kraz,round_1,,,,,,0.36182019977802443,0.12235817575083426,0.21309655937846836,0.3507214206437292
pe_deepseek-r1-8b,kraz,round_2,,,,,,0.9606126914660832,0.9078947368421053,0.8205689277899343,0.9606126914660832
pe_deepseek-r1-8b,kraz,round_3,,,,,,0.7868852459016393,0.6131386861313869,0.6539162112932604,0.7868852459016393
pe_deepseek-r1-8b,lidar,round_1,,,,,,0.3753581661891117,0.1206896551724138,0.22063037249283668,0.3753581661891117
pe_deepseek-r1-8b,lidar,round_2,,,,,,0.869811320754717,0.8166351606805293,0.8584905660377359,0.869811320754717
pe_deepseek-r1-8b,lidar,round_3,,,,,,0.5628517823639775,0.42669172932330823,0.34896810506566606,0.5628517823639775
pe_deepseek-r1-8b,m113,round_1,,,,,,0.37037037037037035,0.13893376413570274,0.22544283413848634,0.37037037037037035
pe_deepseek-r1-8b,m113,round_2,,,,,,0.8786407766990291,0.8248175182481753,0.854368932038835,0.8786407766990291
pe_deepseek-r1-8b,m113,round_3,,,,,,0.9293598233995585,0.8827433628318585,0.8653421633554084,0.9271523178807948
pe_deepseek-r1-8b,man,round_1,,,,,,0.39886039886039887,0.15714285714285714,0.2393162393162393,0.39886039886039887
pe_deepseek-r1-8b,man,round_2,,,,,,0.9276073619631902,0.9028290282902828,0.9153374233128834,0.9276073619631902
pe_deepseek-r1-8b,man,round_3,,,,,,0.7944389275074479,0.7661691542288557,0.7686196623634557,0.7944389275074479
pe_deepseek-r1-8b,mass_spring_damper,round_1,,,,,,0.5671641791044776,0.295,0.34328358208955223,0.5671641791044776
pe_deepseek-r1-8b,mass_spring_damper,round_2,,,,,,0.8685857321652065,0.8055207026348808,0.8060075093867334,0.8685857321652065
pe_deepseek-r1-8b,mass_spring_damper,round_3,,,,,,0.7813333333333332,0.6844919786096256,0.7093333333333334,0.7813333333333332
pe_deepseek-r1-8b,particles,round_1,,,,,,0.28065739570164344,0.08871989860583016,0.12642225031605564,0.27812895069532234
pe_deepseek-r1-8b,particles,round_2,,,,,,0.8522588522588522,0.7906976744186047,0.8131868131868132,0.8522588522588522
pe_deepseek-r1-8b,particles,round_3,,,,,,0.8688172043010752,0.8275862068965518,0.843010752688172,0.8688172043010752
pe_deepseek-r1-8b,pendulum,round_1,,,,,,0.4930966469428008,0.2376237623762376,0.252465483234714,0.4891518737672583
pe_deepseek-r1-8b,pendulum,round_2,,,,,,0.8915187376725838,0.8237623762376238,0.863905325443787,0.8915187376725838
pe_deepseek-r1-8b,pendulum,round_3,,,,,,0.953168044077135,0.9088397790055248,0.9228650137741047,0.953168044077135
pe_deepseek-r1-8b,rigid_highway,round_1,,,,,,0.4061068702290076,0.13476263399693722,0.21068702290076335,0.4061068702290076
pe_deepseek-r1-8b,rigid_highway,round_2,,,,,,0.9382151029748285,0.9059633027522935,0.9061784897025172,0.9382151029748285
pe_deepseek-r1-8b,rigid_highway,round_3,,,,,,0.9829268292682927,0.9755501222493888,0.9804878048780488,0.9829268292682927
pe_deepseek-r1-8b,rigid_multipatches,round_1,,,,,,0.4023255813953488,0.19580419580419578,0.23953488372093024,0.4023255813953488
pe_deepseek-r1-8b,rigid_multipatches,round_2,,,,,,0.881578947368421,0.8283828382838283,0.8519736842105263,0.881578947368421
pe_deepseek-r1-8b,rigid_multipatches,round_3,,,,,,0.9822222222222223,0.9732739420935411,0.9822222222222223,0.9822222222222223
pe_deepseek-r1-8b,rotor,round_1,,,,,,0.35681610247026535,0.14848762603116408,0.21043000914913082,0.35498627630375107
pe_deepseek-r1-8b,rotor,round_2,,,,,,0.9954233409610984,0.9931192660550459,0.9954233409610984,0.9931350114416476
