model,system,round,missing_file,file_path
llama4-maverick,gator,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gator/first_cleaned_response.py
llama4-maverick,gator,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gator/second_cleaned_response.py
llama4-maverick,gator,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gator/third_cleaned_response.py
llama4-maverick,gear,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gear/first_cleaned_response.py
llama4-maverick,gear,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gear/second_cleaned_response.py
llama4-maverick,gear,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gear/third_cleaned_response.py
llama4-maverick,feda,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/feda/first_cleaned_response.py
llama4-maverick,feda,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/feda/second_cleaned_response.py
llama4-maverick,feda,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/feda/third_cleaned_response.py
llama4-maverick,man,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/man/first_cleaned_response.py
llama4-maverick,man,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/man/second_cleaned_response.py
llama4-maverick,man,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/man/third_cleaned_response.py
llama4-maverick,art,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/art/first_cleaned_response.py
llama4-maverick,art,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/art/second_cleaned_response.py
llama4-maverick,art,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/art/third_cleaned_response.py
llama4-maverick,vehros,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/vehros/first_cleaned_response.py
llama4-maverick,vehros,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/vehros/second_cleaned_response.py
llama4-maverick,vehros,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/vehros/third_cleaned_response.py
llama4-maverick,pendulum,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/pendulum/first_cleaned_response.py
llama4-maverick,pendulum,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/pendulum/second_cleaned_response.py
llama4-maverick,pendulum,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/pendulum/third_cleaned_response.py
llama4-maverick,rigid_highway,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_highway/first_cleaned_response.py
llama4-maverick,rigid_highway,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_highway/second_cleaned_response.py
llama4-maverick,rigid_highway,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/rigid_highway/third_cleaned_response.py
llama4-maverick,curiosity,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/curiosity/first_cleaned_response.py
llama4-maverick,curiosity,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/curiosity/second_cleaned_response.py
llama4-maverick,curiosity,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/curiosity/third_cleaned_response.py
llama4-maverick,mass_spring_damper,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/mass_spring_damper/first_cleaned_response.py
llama4-maverick,mass_spring_damper,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/mass_spring_damper/second_cleaned_response.py
llama4-maverick,mass_spring_damper,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/mass_spring_damper/third_cleaned_response.py
llama4-maverick,gps_imu,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gps_imu/first_cleaned_response.py
llama4-maverick,gps_imu,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gps_imu/second_cleaned_response.py
llama4-maverick,gps_imu,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/gps_imu/third_cleaned_response.py
llama4-maverick,uazbus,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/uazbus/first_cleaned_response.py
llama4-maverick,uazbus,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/uazbus/second_cleaned_response.py
llama4-maverick,uazbus,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/uazbus/third_cleaned_response.py
llama4-maverick,scm,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm/first_cleaned_response.py
llama4-maverick,scm,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm/second_cleaned_response.py
llama4-maverick,scm,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/scm/third_cleaned_response.py
llama4-maverick,veh_app,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/veh_app/first_cleaned_response.py
llama4-maverick,veh_app,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/veh_app/second_cleaned_response.py
llama4-maverick,veh_app,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/veh_app/third_cleaned_response.py
llama4-maverick,citybus,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/citybus/first_cleaned_response.py
llama4-maverick,citybus,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/citybus/second_cleaned_response.py
llama4-maverick,citybus,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/citybus/third_cleaned_response.py
llama4-maverick,sedan,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sedan/first_cleaned_response.py
llama4-maverick,sedan,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sedan/second_cleaned_response.py
llama4-maverick,sedan,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sedan/third_cleaned_response.py
llama4-maverick,beam,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/beam/first_cleaned_response.py
llama4-maverick,beam,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/beam/second_cleaned_response.py
llama4-maverick,beam,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/beam/third_cleaned_response.py
llama4-maverick,sensros,round_1,first_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sensros/first_cleaned_response.py
llama4-maverick,sensros,round_2,second_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sensros/second_cleaned_response.py
llama4-maverick,sensros,round_3,third_cleaned_response.py,/home/hongyu/Documents/andy_simbench/SimBench/output_llms/llama4-maverick/sensros/third_cleaned_response.py
