model,system,missing_count,missing_rounds
llama4-maverick,art,3,"round_1, round_2, round_3"
llama4-maverick,beam,3,"round_1, round_2, round_3"
llama4-maverick,buckling,3,"round_1, round_2, round_3"
llama4-maverick,cable,3,"round_1, round_2, round_3"
llama4-maverick,camera,3,"round_1, round_2, round_3"
llama4-maverick,citybus,3,"round_1, round_2, round_3"
llama4-maverick,curiosity,3,"round_1, round_2, round_3"
llama4-maverick,feda,3,"round_1, round_2, round_3"
llama4-maverick,gator,3,"round_1, round_2, round_3"
llama4-maverick,gear,3,"round_1, round_2, round_3"
llama4-maverick,gps_imu,3,"round_1, round_2, round_3"
llama4-maverick,handler,3,"round_1, round_2, round_3"
llama4-maverick,hmmwv,3,"round_1, round_2, round_3"
llama4-maverick,kraz,3,"round_1, round_2, round_3"
llama4-maverick,lidar,3,"round_1, round_2, round_3"
llama4-maverick,m113,3,"round_1, round_2, round_3"
llama4-maverick,man,3,"round_1, round_2, round_3"
llama4-maverick,mass_spring_damper,3,"round_1, round_2, round_3"
llama4-maverick,particles,3,"round_1, round_2, round_3"
llama4-maverick,pendulum,3,"round_1, round_2, round_3"
llama4-maverick,rigid_highway,3,"round_1, round_2, round_3"
llama4-maverick,rigid_multipatches,3,"round_1, round_2, round_3"
llama4-maverick,rotor,3,"round_1, round_2, round_3"
llama4-maverick,scm,3,"round_1, round_2, round_3"
llama4-maverick,scm_hill,3,"round_1, round_2, round_3"
llama4-maverick,sedan,3,"round_1, round_2, round_3"
llama4-maverick,sensros,3,"round_1, round_2, round_3"
llama4-maverick,slider_crank,3,"round_1, round_2, round_3"
llama4-maverick,tablecloth,3,"round_1, round_2, round_3"
llama4-maverick,turtlebot,3,"round_1, round_2, round_3"
llama4-maverick,uazbus,3,"round_1, round_2, round_3"
llama4-maverick,veh_app,3,"round_1, round_2, round_3"
llama4-maverick,vehros,3,"round_1, round_2, round_3"
llama4-maverick,viper,3,"round_1, round_2, round_3"
llama4-scout,art,3,"round_1, round_2, round_3"
llama4-scout,beam,3,"round_1, round_2, round_3"
llama4-scout,buckling,3,"round_1, round_2, round_3"
llama4-scout,cable,3,"round_1, round_2, round_3"
llama4-scout,camera,3,"round_1, round_2, round_3"
llama4-scout,citybus,3,"round_1, round_2, round_3"
llama4-scout,curiosity,3,"round_1, round_2, round_3"
llama4-scout,feda,3,"round_1, round_2, round_3"
llama4-scout,gator,3,"round_1, round_2, round_3"
llama4-scout,gear,3,"round_1, round_2, round_3"
llama4-scout,gps_imu,3,"round_1, round_2, round_3"
llama4-scout,handler,3,"round_1, round_2, round_3"
llama4-scout,hmmwv,3,"round_1, round_2, round_3"
llama4-scout,kraz,3,"round_1, round_2, round_3"
llama4-scout,lidar,3,"round_1, round_2, round_3"
llama4-scout,m113,3,"round_1, round_2, round_3"
llama4-scout,man,3,"round_1, round_2, round_3"
llama4-scout,mass_spring_damper,3,"round_1, round_2, round_3"
llama4-scout,particles,3,"round_1, round_2, round_3"
llama4-scout,pendulum,3,"round_1, round_2, round_3"
llama4-scout,rigid_highway,3,"round_1, round_2, round_3"
llama4-scout,rigid_multipatches,3,"round_1, round_2, round_3"
llama4-scout,rotor,3,"round_1, round_2, round_3"
llama4-scout,scm,3,"round_1, round_2, round_3"
llama4-scout,scm_hill,3,"round_1, round_2, round_3"
llama4-scout,sedan,3,"round_1, round_2, round_3"
llama4-scout,sensros,3,"round_1, round_2, round_3"
llama4-scout,slider_crank,3,"round_1, round_2, round_3"
llama4-scout,tablecloth,3,"round_1, round_2, round_3"
llama4-scout,turtlebot,3,"round_1, round_2, round_3"
llama4-scout,uazbus,3,"round_1, round_2, round_3"
llama4-scout,veh_app,3,"round_1, round_2, round_3"
llama4-scout,vehros,3,"round_1, round_2, round_3"
llama4-scout,viper,3,"round_1, round_2, round_3"
mixtral-8x7b-instruct-v0.1,cable,1,round_2
phi-3-medium-128k-instruct,rotor,1,round_3
phi-3-medium-128k-instruct,viper,1,round_2
