model,system,round,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
qwen3-32b-baseline,art,first,0.237064158411456,0.040600289514934516,0.06304416297524137,0.6764705882352942,0.168141592920354
qwen3-32b-baseline,art,second,1.0,1.0,1.0,1.0,1.0
qwen3-32b-baseline,art,third,0.9671412151927429,0.9776547270112962,0.9776547270112962,0.9973262032085561,0.915929203539823
qwen3-32b-baseline,beam,first,0.3242528358516542,0.040935871567891816,0.045026490085816315,0.7465940054495913,0.46445497630331756
qwen3-32b-baseline,beam,second,0.7226144607803425,0.6660287923424095,0.6712508921999684,0.9051094890510949,0.648068669527897
qwen3-32b-baseline,beam,third,0.9050776905458557,0.8032233350334548,0.8264332215424914,0.9906542056074766,1.0
qwen3-32b-baseline,buckling,first,0.23798577004668986,0.03066038916944022,0.0468033218274389,0.715670436187399,0.1588089330024814
qwen3-32b-baseline,buckling,second,0.9832885128783665,0.9662169187689421,0.9669371327445238,1.0,1.0
qwen3-32b-baseline,buckling,third,0.6094216070606993,0.39578172002550294,0.40557059051364147,0.9886914378029079,0.6476426799007444
qwen3-32b-baseline,cable,first,0.3295102409257259,0.07854667359334654,0.08301942075608629,0.7060931899641577,0.45038167938931295
qwen3-32b-baseline,cable,second,0.9626979741708437,0.923728110110296,0.9270637865730789,1.0,1.0
qwen3-32b-baseline,cable,third,0.4750317925384692,0.35082628875936445,0.3884107705602483,0.7628318584070797,0.39805825242718446
qwen3-32b-baseline,camera,first,0.25241436522503924,0.03556671378290948,0.04605719454837891,0.5897435897435898,0.3382899628252788
qwen3-32b-baseline,camera,second,0.8422748429650129,0.9674084634878554,0.9680901953597182,0.9924242424242424,0.4411764705882353
qwen3-32b-baseline,camera,third,0.8219129211320011,0.9278135985063571,0.9462583194846824,0.97,0.44357976653696496
qwen3-32b-baseline,citybus,first,0.22894082318995052,0.01681649920468332,0.031593439911325405,0.6284153005464481,0.23893805309734514
qwen3-32b-baseline,citybus,second,0.7423941116768926,0.8446528766551565,0.8483433727561042,0.9782608695652174,0.29831932773109243
qwen3-32b-baseline,citybus,third,0.9685103413068996,0.9363590071907558,0.9376823580368427,1.0,1.0
qwen3-32b-baseline,curiosity,first,0.34446034257425373,0.08651621027271152,0.0921018731485774,0.7276785714285714,0.4715447154471545
qwen3-32b-baseline,curiosity,second,0.8137510852597294,0.7848697450179696,0.826164406319051,0.9634146341463414,0.6805555555555556
qwen3-32b-baseline,curiosity,third,0.6911076830262566,0.5838615651233048,0.629769792056851,0.8954802259887006,0.6553191489361702
qwen3-32b-baseline,feda,first,0.25023793612380485,0.009684775813012317,0.012107250835167652,0.6831955922865014,0.29596412556053814
qwen3-32b-baseline,feda,second,0.8550886048500965,0.7690171112527573,0.8647201241620235,0.9447368421052632,0.8418803418803419
qwen3-32b-baseline,feda,third,0.7433234105702557,0.6752077383070387,0.6865653725649635,0.9112050739957717,0.7003154574132492
qwen3-32b-baseline,gator,first,0.24362203946411268,0.02624151020048415,0.039106324736597586,0.6804407713498623,0.22869955156950672
qwen3-32b-baseline,gator,second,0.7780671756425839,0.739172993764466,0.745119861723065,0.9176954732510288,0.7102803738317757
qwen3-32b-baseline,gator,third,0.9714017081644892,0.9875459029433391,0.9877470283693264,1.0,0.9103139013452914
qwen3-32b-baseline,gear,first,0.2575982207843247,0.02422155551627588,0.027297135272996792,0.616504854368932,0.3623693379790941
qwen3-32b-baseline,gear,second,0.9914302784520397,0.9779485965801173,0.9877725172280413,1.0,1.0
