model,system,round,token_seq,char_seq,token_jaccard,rouge1,rouge2,rougeL,syntax_ok
qwen3-32b-baseline,art,first,0.3132780082987552,0.3456334563345633,0.23809523809523808,0.38394415357766143,0.14711033274956217,0.24432809773123906,1
qwen3-32b-baseline,art,second,1.0,1.0,1.0,1.0,1.0,1.0,1
qwen3-32b-baseline,art,third,0.9806138933764136,0.9855381336580911,1.0,1.0,0.9922879177377892,0.9846153846153847,1
qwen3-32b-baseline,beam,first,0.34046193327630453,0.4274564738843306,0.21761658031088082,0.4,0.1262135922330097,0.2645161290322581,1
qwen3-32b-baseline,beam,second,0.8948824343015215,0.8803496081977095,0.8888888888888888,0.9429657794676806,0.8716645489199492,0.8948035487959441,1
qwen3-32b-baseline,beam,third,0.9908616187989556,0.9704535996670828,0.9635036496350365,0.9891172914147521,0.9696969696969697,0.9842805320435309,1
qwen3-32b-baseline,buckling,first,0.10936591041303083,0.19777123094658638,0.16967509025270758,0.2987551867219917,0.10395010395010394,0.19294605809128632,1
qwen3-32b-baseline,buckling,second,1.0,0.993142320338187,1.0,1.0,1.0,1.0,1
qwen3-32b-baseline,buckling,third,0.88,0.9435622728142338,0.6747967479674797,0.8315467075038284,0.6518404907975461,0.8070444104134763,1
qwen3-32b-baseline,cable,first,0.4405506883604506,0.44502481065552363,0.2967741935483871,0.48130841121495327,0.22535211267605634,0.3551401869158879,1
qwen3-32b-baseline,cable,second,1.0,0.9946629768728997,1.0,1.0,1.0,1.0,1
qwen3-32b-baseline,cable,third,0.5930599369085173,0.6322757931551336,0.7542857142857143,0.6972477064220184,0.5977011494252873,0.6307339449541284,1
qwen3-32b-baseline,camera,first,0.2575039494470774,0.30509005481597495,0.25892857142857145,0.37720488466757124,0.14693877551020407,0.24423337856173677,1
qwen3-32b-baseline,camera,second,0.9419795221843004,0.934017971758665,0.9876543209876543,0.9953917050691244,0.9861431870669746,0.9101382488479263,1
qwen3-32b-baseline,camera,third,0.9177377892030848,0.8967642526964561,0.91875,0.966740576496674,0.9466666666666667,0.8802660753880266,1
qwen3-32b-baseline,citybus,first,0.2735562310030395,0.23775100401606425,0.21025641025641026,0.36706689536878223,0.1308089500860585,0.20926243567753003,1
qwen3-32b-baseline,citybus,second,0.9700315457413249,0.9532996478334099,0.9411764705882353,0.97,0.9523809523809523,0.9675,1
qwen3-32b-baseline,citybus,third,0.9983579638752053,0.9970692580595404,0.9866666666666667,0.9974293059125964,0.9948453608247423,0.9974293059125964,1
qwen3-32b-baseline,curiosity,first,0.3841676367869616,0.38966517268652784,0.2732919254658385,0.5364806866952789,0.21120689655172412,0.33905579399141633,1
qwen3-32b-baseline,curiosity,second,0.9438444924406048,0.9346504559270516,0.9174311926605505,0.9372549019607842,0.8700787401574802,0.9137254901960785,1
qwen3-32b-baseline,curiosity,third,0.8442687747035573,0.7780454232622162,0.6589595375722543,0.8306010928961748,0.7589041095890412,0.7923497267759564,1
qwen3-32b-baseline,feda,first,0.31722880583409296,0.3252364175783423,0.22439024390243903,0.34822804314329736,0.1267387944358578,0.2218798151001541,1
qwen3-32b-baseline,feda,second,0.8644793152639088,0.9031594415870683,0.8727272727272727,0.8991494532199271,0.8672350791717417,0.8845686512758202,1
qwen3-32b-baseline,feda,third,0.7404255319148936,0.7822048398924468,0.7688442211055276,0.8645418326693226,0.7984031936127745,0.7649402390438247,0
qwen3-32b-baseline,gator,first,0.3430232558139535,0.40778210116731517,0.24752475247524752,0.42071197411003236,0.1590909090909091,0.26860841423948223,0
qwen3-32b-baseline,gator,second,0.9100286532951289,0.9385944431473267,0.8372093023255814,0.8851224105461393,0.8339622641509434,0.8813559322033897,1
qwen3-32b-baseline,gator,third,0.9983416252072969,0.9989047097480832,0.993006993006993,0.9973614775725593,0.9947089947089947,0.9973614775725593,1
qwen3-32b-baseline,gear,first,0.16789396170839468,0.28630604288499023,0.20118343195266272,0.3451776649746193,0.11195928753180662,0.2715736040609137,1
qwen3-32b-baseline,gear,second,1.0,0.8003683618131587,1.0,1.0,1.0,1.0,1
qwen3-32b-baseline,gear,third,0.9239904988123515,0.8680471724394094,0.8289473684210527,0.9291228070175439,0.8882642304989459,0.9164912280701756,1
qwen3-32b-baseline,gps_imu,first,0.3987823439878234,0.3814820381782654,0.27232142857142855,0.43791722296395186,0.1606425702811245,0.2883845126835782,1
qwen3-32b-baseline,gps_imu,second,0.8563151796060255,0.8681629984746132,0.8480392156862745,0.9037735849056604,0.8431001890359168,0.8339622641509434,1
qwen3-32b-baseline,gps_imu,third,0.9570354457572503,0.9651295930051005,0.9428571428571428,0.9760425909494232,0.9617777777777777,0.9547471162377994,1
qwen3-32b-baseline,handler,first,0.20564971751412428,0.20551496582606646,0.35443037974683544,0.5167652859960552,0.26930693069306927,0.35897435897435903,1
qwen3-32b-baseline,handler,second,0.9859154929577465,0.9932716568544996,0.9913793103448276,0.9909255898366606,0.9872495446265939,0.9909255898366606,1
qwen3-32b-baseline,handler,third,0.7424798239178283,0.775954608188928,0.6703296703296703,0.8290155440414508,0.7298701298701298,0.7435233160621761,1
qwen3-32b-baseline,hmmwv,first,0.2979942693409742,0.38805379746835444,0.1971153846153846,0.40066225165562913,0.1395348837209302,0.2649006622516556,1
qwen3-32b-baseline,hmmwv,second,0.7676240208877284,0.7878869812085981,0.6746411483253588,0.8227571115973742,0.7412280701754387,0.7680525164113785,1
qwen3-32b-baseline,hmmwv,third,0.8033707865168539,0.8144159072079536,0.850828729281768,0.9264367816091955,0.8571428571428571,0.806896551724138,1
qwen3-32b-baseline,kraz,first,0.2678185745140389,0.3032570422535211,0.2011173184357542,0.3754512635379062,0.1449275362318841,0.2635379061371841,1
qwen3-32b-baseline,kraz,second,0.8042488619119879,0.7890014471780029,0.8220858895705522,0.8440797186400937,0.7685076380728554,0.7784290738569755,1
qwen3-32b-baseline,kraz,third,0.6568396226415094,0.673047304730473,0.6798029556650246,0.8133704735376046,0.6790697674418604,0.7168059424326834,1
qwen3-32b-baseline,lidar,first,0.3206751054852321,0.33816425120772947,0.25773195876288657,0.451077943615257,0.19301164725457567,0.3018242122719734,1
qwen3-32b-baseline,lidar,second,0.8958333333333334,0.9075173593639931,0.8757396449704142,0.8909952606635072,0.8528015194681862,0.8701421800947868,1
qwen3-32b-baseline,lidar,third,0.7263843648208469,0.7536307961504812,0.5800865800865801,0.7645051194539249,0.6854700854700854,0.713310580204778,1
qwen3-32b-baseline,m113,first,0.2802030456852792,0.28317853457172343,0.185,0.3648648648648649,0.12203389830508475,0.2364864864864865,1
qwen3-32b-baseline,m113,second,0.8919135308246597,0.8844691430242761,0.8208092485549133,0.9238709677419356,0.8822768434670116,0.8980645161290323,1
qwen3-32b-baseline,m113,third,0.8762306610407876,0.905107490072573,0.9345238095238095,0.9598163030998853,0.9298043728423475,0.8932261768082663,1
qwen3-32b-baseline,man,first,0.2621082621082621,0.3075103489059728,0.26570048309178745,0.4090177133655394,0.11954765751211631,0.2028985507246377,1
qwen3-32b-baseline,man,second,0.9552481692432873,0.9622963537626067,0.910828025477707,0.9484536082474228,0.9328165374677002,0.9432989690721649,1
qwen3-32b-baseline,man,third,0.6677814938684504,0.6926786497150372,0.7261410788381742,0.8630259623992838,0.7515695067264573,0.7072515666965085,1
qwen3-32b-baseline,mass_spring_damper,first,0.3565459610027855,0.5091825711199136,0.30578512396694213,0.38860103626943004,0.140625,0.2849740932642487,1
qwen3-32b-baseline,mass_spring_damper,second,0.8497246262785209,0.8057088487155091,0.8952380952380953,0.9416553595658073,0.889795918367347,0.841248303934871,1
qwen3-32b-baseline,mass_spring_damper,third,0.7729468599033816,0.7607773851590106,0.9139784946236559,0.991812865497076,0.977725674091442,0.7555555555555555,1
qwen3-32b-baseline,particles,first,0.12060301507537688,0.17452267303102625,0.17307692307692307,0.250632911392405,0.0685279187817259,0.1468354430379747,1
qwen3-32b-baseline,particles,second,0.8369987063389392,0.8450776537029906,0.9482758620689655,0.9519230769230769,0.9108433734939759,0.8293269230769231,1
qwen3-32b-baseline,particles,third,0.9298339582217461,0.9436762225969646,0.9392265193370166,0.9526686807653575,0.9243188698284561,0.9144008056394763,1
qwen3-32b-baseline,pendulum,first,0.4075471698113208,0.39469026548672564,0.2602739726027397,0.3839285714285714,0.12556053811659193,0.28125,1
qwen3-32b-baseline,pendulum,second,0.933920704845815,0.9272581934452439,0.8666666666666667,0.9292543021032504,0.836852207293666,0.9024856596558318,1
qwen3-32b-baseline,pendulum,third,0.8990384615384616,0.9156435643564357,0.9038461538461539,0.9435483870967742,0.862533692722372,0.8709677419354839,1
qwen3-32b-baseline,rigid_highway,first,0.27353463587921845,0.32439910081272694,0.18421052631578946,0.4215116279069767,0.12536443148688045,0.24127906976744184,1
qwen3-32b-baseline,rigid_highway,second,0.9345670852610707,0.9282753422936817,0.930635838150289,0.918580375782881,0.9037656903765691,0.918580375782881,1
qwen3-32b-baseline,rigid_highway,third,0.9686304514154552,0.9811916726489591,0.9810126582278481,0.9866342648845686,0.9792935444579781,0.976913730255164,1
qwen3-32b-baseline,rigid_multipatches,first,0.367816091954023,0.35039693402682726,0.24336283185840707,0.4296116504854369,0.1678832116788321,0.31796116504854366,1
qwen3-32b-baseline,rigid_multipatches,second,0.9198919891989199,0.9024349842637072,0.924812030075188,0.9445324881141046,0.8934817170111288,0.919175911251981,1
qwen3-32b-baseline,rigid_multipatches,third,1.0,0.9683764940239044,1.0,1.0,1.0,1.0,1
qwen3-32b-baseline,rotor,first,0.2317922735908803,0.3163641729378781,0.19574468085106383,0.3071593533487298,0.09722222222222222,0.22170900692840648,1
qwen3-32b-baseline,rotor,second,0.992638036809816,0.9782316581564096,0.967948717948718,0.9896907216494845,0.9804822043628014,0.9896907216494845,1
qwen3-32b-baseline,rotor,third,0.8868312757201646,0.9309906369205873,0.8941798941798942,0.9419600380589915,0.8560533841754052,0.8905803996194099,1
qwen3-32b-baseline,scm,first,0.24681684622918706,0.32658856940007097,0.1724137931034483,0.3401574803149606,0.09162717219589259,0.22992125984251968,1
qwen3-32b-baseline,scm,second,0.6959752321981424,0.6775869859918663,0.7487179487179487,0.8535645472061657,0.7548262548262549,0.7032755298651253,1
qwen3-32b-baseline,scm,third,0.7443897099069513,0.809694598413216,0.7229437229437229,0.8179322964318388,0.7369385884509625,0.7465690759377859,1
qwen3-32b-baseline,scm_hill,first,0.25929283771532186,0.2840108401084011,0.20982142857142858,0.36858006042296076,0.11515151515151514,0.2205438066465257,1
qwen3-32b-baseline,scm_hill,second,0.7280701754385965,0.7333892265772375,0.7689075630252101,0.8746618575293057,0.7985546522131888,0.7249774571686203,1
qwen3-32b-baseline,scm_hill,third,0.9311531841652324,0.9444354968593976,0.8986486486486487,0.9394347240915208,0.9041835357624832,0.936742934051144,1
qwen3-32b-baseline,sedan,first,0.3029162746942615,0.3747831116252169,0.225,0.4091653027823241,0.16091954022988506,0.2520458265139116,1
qwen3-32b-baseline,sedan,second,0.7429322813938198,0.749968792909749,0.8271604938271605,0.8045977011494253,0.6680628272251308,0.7711598746081504,1
qwen3-32b-baseline,sedan,third,0.7700258397932817,0.770096262032754,0.6409090909090909,0.7916251246261217,0.6973026973026973,0.7377866400797608,1
qwen3-32b-baseline,sensros,first,0.39436619718309857,0.39050942079553386,0.25118483412322273,0.40276179516685845,0.19377162629757785,0.32220943613348674,1
qwen3-32b-baseline,sensros,second,0.9396825396825397,0.9427014841254931,0.907103825136612,0.9483568075117371,0.9153605015673982,0.9374021909233177,1
qwen3-32b-baseline,sensros,third,0.9959659345584939,0.9932149828050935,1.0,0.9953416149068323,0.9922239502332815,0.9953416149068323,1
qwen3-32b-baseline,slider_crank,first,0.3344262295081967,0.4184943687018376,0.2751677852348993,0.4111888111888112,0.13744740532959326,0.27412587412587414,1
qwen3-32b-baseline,slider_crank,second,0.7484276729559748,0.7473479754967877,0.6010928961748634,0.8338692390139335,0.7669172932330827,0.7802786709539121,1
qwen3-32b-baseline,slider_crank,third,0.9846368715083799,0.9246146027443672,0.9185185185185185,0.9766871165644173,0.9544895448954489,0.9742331288343558,1
qwen3-32b-baseline,tablecloth,first,0.39779005524861877,0.38837081733406476,0.30049261083743845,0.38904109589041097,0.1401098901098901,0.2684931506849315,1
qwen3-32b-baseline,tablecloth,second,0.8276255707762558,0.784377923292797,0.9112426035502958,0.8983218163869693,0.8328387734915924,0.8213228035538006,1
qwen3-32b-baseline,tablecloth,third,0.9966592427616926,0.998560194927456,0.9760479041916168,0.9939759036144579,0.9879275653923542,0.9939759036144579,1
qwen3-32b-baseline,turtlebot,first,0.5237483953786907,0.4963546223388743,0.375886524822695,0.5215419501133787,0.3006833712984055,0.4081632653061224,1
qwen3-32b-baseline,turtlebot,second,0.8963531669865643,0.8997008973080758,0.8931297709923665,0.9173166926677067,0.8607198748043818,0.8829953198127926,1
qwen3-32b-baseline,turtlebot,third,0.6764119601328904,0.700401376146789,0.7061855670103093,0.8215859030837004,0.7086092715231788,0.6563876651982379,1
qwen3-32b-baseline,uazbus,first,0.2456778889899909,0.3203416978109984,0.21568627450980393,0.41297935103244837,0.14792899408284022,0.23598820058997047,0
qwen3-32b-baseline,uazbus,second,0.8401759530791789,0.8513867807368566,0.8263473053892215,0.8631346578366446,0.7588495575221239,0.8233995584988962,1
qwen3-32b-baseline,uazbus,third,0.8910593538692713,0.9178062049698573,0.9556962025316456,0.9685230024213076,0.9490291262135923,0.9079903147699758,1
qwen3-32b-baseline,veh_app,first,0.1987794245858762,0.33937153419593347,0.2850467289719626,0.45757575757575764,0.11854103343465044,0.2181818181818182,1
qwen3-32b-baseline,veh_app,second,0.8927704997573993,0.8911261027503892,0.8391304347826087,0.9194630872483222,0.8672268907563024,0.8791946308724832,1
qwen3-32b-baseline,veh_app,third,0.8460236886632826,0.855392377691684,0.9128630705394191,0.964549483013294,0.9289940828402367,0.8552437223042836,1
qwen3-32b-baseline,vehros,first,0.44345238095238093,0.4439319688671087,0.2536231884057971,0.4873096446700507,0.23979591836734696,0.37563451776649753,1
qwen3-32b-baseline,vehros,second,0.7274206672091131,0.7813229571984436,0.8193548387096774,0.8972503617945007,0.8359941944847605,0.743849493487699,1
qwen3-32b-baseline,vehros,third,0.7434025828186412,0.7690262545696245,0.8095238095238095,0.9216867469879518,0.8490945674044266,0.7710843373493976,1
qwen3-32b-baseline,viper,first,0.4811443433029909,0.4723117491942572,0.33783783783783783,0.5505882352941176,0.30260047281323876,0.44705882352941173,1
qwen3-32b-baseline,viper,second,0.9738562091503268,0.9621056561508307,1.0,1.0,0.9771428571428571,0.9686609686609686,1
qwen3-32b-baseline,viper,third,0.9017199017199017,0.861995753715499,0.773109243697479,0.8898488120950323,0.8459869848156182,0.8812095032397407,1
