Rank,model,Avg_Score_reference_document,Score_document__gpt-4.1-mini,Score_document__gpt-4.1-nano,Score_document__gpt-4o-mini,Score_reference__gpt-4.1-mini,Score_reference__gpt-4.1-nano,Score_reference__gpt-4o-mini,Score_reference_document__gpt-4.1-mini,Score_reference_document__gpt-4.1-nano,Score_reference_document__gpt-4o-mini,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,Avg_Score_document,Avg_Score_reference
1,Gemini-1.5-pro,,,,,,,,,,,0.61,0.51,0.54,0.84,0.54,0.73,0.62,0.65,0.73,,
2,Gemini-2.5-pro,,,,,,,,,,,0.53,0.37,0.44,0.82,0.46,0.67,0.54,0.57,0.67,,
3,claude-3-5-sonnet,,,,,,,,,,,0.59,0.48,0.49,0.85,0.53,0.76,0.64,0.67,0.76,,
4,claude-3-7-sonnet-20250219,,,,,,,,,,,0.63,0.50,0.53,0.87,0.58,0.76,0.64,0.67,0.76,,
5,claude-4-sonnet-20250514,,,,,,,,,,,0.65,0.54,0.59,0.89,0.59,0.78,0.68,0.69,0.78,,
6,codestral-22b-instruct-v0.1,,,,,,,,,,,0.61,0.52,0.54,0.84,0.53,0.70,0.61,0.65,0.70,,
7,deepseek-r1,,,,,,,,,,,0.61,0.50,0.51,0.85,0.54,0.77,0.65,0.68,0.77,,
8,deepseek-r1-32b,,,,,,,,,,,0.59,0.49,0.51,0.83,0.51,0.70,0.58,0.62,0.70,,
9,deepseek-r1-8b,,,,,,,,,,,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65,,
10,gemma-2-27b-it,,,,,,,,,,,0.59,0.50,0.52,0.83,0.50,0.71,0.61,0.64,0.71,,
11,gemma-2-2b-it,,,,,,,,,,,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.60,0.64,,
12,gemma-2-9b-it,,,,,,,,,,,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69,,
13,gemma-3-1b-it,,,,,,,,,,,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.60,0.64,,
14,gemma-3-27b-it,,,,,,,,,,,0.38,0.11,0.22,0.43,0.27,0.31,0.24,0.27,0.31,,
15,gpt-4.1,,,,,,,,,,,0.60,0.49,0.52,0.86,0.53,0.77,0.64,0.67,0.77,,
16,gpt-4.1-mini,,,,,,,,,,,0.58,0.46,0.50,0.85,0.52,0.74,0.61,0.65,0.74,,
17,gpt-4.1-nano,,,,,,,,,,,0.58,0.47,0.51,0.84,0.51,0.71,0.59,0.63,0.71,,
18,gpt-4o,,,,,,,,,,,0.61,0.49,0.51,0.86,0.55,0.76,0.65,0.68,0.76,,
19,gpt-4o-mini,,,,,,,,,,,0.61,0.52,0.54,0.84,0.54,0.72,0.62,0.66,0.72,,
20,gpt-4o-mini-f1,,,,,,,,,,,0.76,0.71,0.73,0.92,0.68,0.86,0.79,0.81,0.86,,
21,gpt-4o-mini-f3,,,,,,,,,,,0.92,0.92,0.93,0.98,0.87,0.96,0.95,0.95,0.96,,
22,llama-3.1-405b-instruct,,,,,,,,,,,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72,,
23,llama-3.1-70b-instruct,,,,,,,,,,,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71,,
24,llama-3.1-8b-instruct,,,,,,,,,,,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.60,0.66,,
25,llama-3.3-70b-instruct,,,,,,,,,,,0.60,0.52,0.54,0.84,0.50,0.74,0.62,0.66,0.73,,
26,llama3.1-8b-f1,,,,,,,,,,,0.63,0.53,0.57,0.86,0.54,0.74,0.66,0.66,0.74,,
27,llama3.1-8b-lora1,,,,,,,,,,,0.64,0.54,0.58,0.87,0.54,0.76,0.68,0.68,0.76,,
28,llama3.3-70b-lora1,,,,,,,,,,,0.64,0.55,0.60,0.88,0.52,0.77,0.68,0.69,0.77,,
29,llama3.3-70b-sft1,,,,,,,,,,,0.68,0.61,0.64,0.90,0.59,0.82,0.74,0.75,0.82,,
30,llama4-109b-lora1,,,,,,,,,,,0.62,0.53,0.55,0.85,0.53,0.75,0.65,0.66,0.75,,
31,llama4_maverick,,,,,,,,,,,0.60,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76,,
32,llama4_scout,,,,,,,,,,,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72,,
33,mamba-codestral-7b-v0.1,,,,,,,,,,,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57,,
34,mistral-large-latest,,,,,,,,,,,0.60,0.50,0.52,0.84,0.53,0.74,0.63,0.67,0.74,,
35,mistral-nemo-12b-instruct,,,,,,,,,,,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65,,
36,mixtral-8x22b-instruct-v0.1,,,,,,,,,,,0.59,0.52,0.54,0.80,0.49,0.67,0.60,0.62,0.67,,
37,mixtral-8x7b-instruct-v0.1,,,,,,,,,,,0.51,0.42,0.46,0.73,0.41,0.63,0.54,0.57,0.62,,
