rank, model                       , consensus_score, score_document, score_reference,  score_ref_doc,       codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score,         rouge1,         rouge2,         rougeL,      rougeLsum
   1, deepseek-r1                 ,           68.67,           0.00,           0.00,           0.00,           0.61,           0.50,           0.51,           0.85,           0.54,           0.77,           0.65,           0.68,           0.77
   2, llama4_maverick             ,           68.33,           0.00,           0.00,           0.00,           0.60,           0.51,           0.56,           0.85,           0.47,           0.77,           0.66,           0.68,           0.76
   3, qwen3-235b-a22b             ,           67.67,           0.00,           0.00,           0.00,           0.61,           0.51,           0.53,           0.85,           0.55,           0.75,           0.64,           0.67,           0.75
   4, mistral-large-latest        ,           67.00,           0.00,           0.00,           0.00,           0.60,           0.50,           0.52,           0.84,           0.53,           0.74,           0.63,           0.67,           0.74
   5, llama-3.3-70b-instruct      ,           66.67,           0.00,           0.00,           0.00,           0.60,           0.52,           0.54,           0.84,           0.50,           0.74,           0.62,           0.66,           0.73
   6, llama-3.1-405b-instruct     ,           66.67,           0.00,           0.00,           0.00,           0.62,           0.53,           0.55,           0.83,           0.56,           0.72,           0.62,           0.66,           0.72
   7, llama4_scout                ,           65.67,           0.00,           0.00,           0.00,           0.61,           0.51,           0.53,           0.84,           0.53,           0.72,           0.61,           0.64,           0.72
   8, nemotron-4-340b-instruct    ,           65.33,           0.00,           0.00,           0.00,           0.60,           0.49,           0.53,           0.84,           0.52,           0.72,           0.61,           0.64,           0.72
   9, codestral-22b-instruct-v0.1 ,           65.33,           0.00,           0.00,           0.00,           0.61,           0.52,           0.54,           0.84,           0.53,           0.70,           0.61,           0.65,           0.70
  10, gemma-2-27b-it              ,           64.67,           0.00,           0.00,           0.00,           0.59,           0.50,           0.52,           0.83,           0.50,           0.71,           0.61,           0.64,           0.71
  11, deepseek-r1-32b             ,           63.67,           0.00,           0.00,           0.00,           0.59,           0.49,           0.51,           0.83,           0.51,           0.70,           0.58,           0.62,           0.70
  12, gemma-2-9b-it               ,           63.33,           0.00,           0.00,           0.00,           0.58,           0.49,           0.51,           0.82,           0.47,           0.69,           0.59,           0.63,           0.69
  13, llama-3.1-70b-instruct      ,           63.00,           0.00,           0.00,           0.00,           0.54,           0.51,           0.53,           0.67,           0.33,           0.71,           0.61,           0.64,           0.71
  14, mixtral-8x22b-instruct-v0.1 ,           62.67,           0.00,           0.00,           0.00,           0.59,           0.52,           0.54,           0.80,           0.49,           0.67,           0.60,           0.62,           0.67
  15, llama-3.1-8b-instruct       ,           61.00,           0.00,           0.00,           0.00,           0.57,           0.49,           0.52,           0.76,           0.46,           0.66,           0.57,           0.60,           0.66
  16, deepseek-r1-8b              ,           60.33,           0.00,           0.00,           0.00,           0.57,           0.47,           0.49,           0.79,           0.49,           0.65,           0.56,           0.59,           0.65
  17, gemma-2-2b-it               ,           59.33,           0.00,           0.00,           0.00,           0.54,           0.46,           0.48,           0.79,           0.43,           0.64,           0.56,           0.60,           0.64
  18, mistral-nemo-12b-instruct   ,           59.33,           0.00,           0.00,           0.00,           0.55,           0.44,           0.47,           0.79,           0.46,           0.65,           0.55,           0.58,           0.65
  19, gemma-3-1b-it               ,           59.33,           0.00,           0.00,           0.00,           0.54,           0.46,           0.49,           0.78,           0.39,           0.64,           0.56,           0.60,           0.64
  20, mixtral-8x7b-instruct-v0.1  ,           57.00,           0.00,           0.00,           0.00,           0.51,           0.42,           0.46,           0.73,           0.41,           0.63,           0.54,           0.57,           0.62
  21, phi-3-mini-128k-instruct    ,           53.67,           0.00,           0.00,           0.00,           0.50,           0.39,           0.45,           0.76,           0.40,           0.58,           0.50,           0.53,           0.58
  22, mamba-codestral-7b-v0.1     ,           52.00,           0.00,           0.00,           0.00,           0.47,           0.39,           0.41,           0.72,           0.36,           0.57,           0.49,           0.52,           0.57
  23, gemma-3-27b-it              ,           42.53,          40.66,          44.16,          42.78,           0.38,           0.11,           0.22,           0.43,           0.27,           0.31,           0.24,           0.27,           0.31
  24, phi-3-medium-128k-instruct  ,           37.00,           0.00,           0.00,           0.00,           0.37,           0.24,           0.26,           0.55,           0.26,           0.39,           0.31,           0.35,           0.39
