Model,first,second,third,Improvement_1to2,Improvement_2to3,Total_Improvement
Gemini-1.5-pro,22.75,48.41,43.7,25.67,-4.72,20.95
Gemini-2.5-pro,39.5,51.06,43.74,11.56,-7.32,4.24
claude-3-5-sonnet,30.61,44.2,37.58,13.59,-6.62,6.97
claude-3-7-sonnet-20250219,38.59,50.27,44.79,11.68,-5.48,6.21
claude-4-sonnet-20250514,38.62,56.98,47.46,18.36,-9.52,8.84
codestral-22b-instruct-v0.1,21.13,45.99,42.74,24.86,-3.25,21.61
deepseek-r1,34.77,47.96,41.6,13.19,-6.36,6.82
deepseek-r1-32b,16.7,49.51,40.76,32.81,-8.75,24.06
deepseek-r1-8b,10.94,40.02,36.02,29.08,-4.0,25.08
gemma-2-27b-it,22.57,42.4,38.23,19.83,-4.18,15.66
gemma-2-2b-it,11.83,34.39,37.35,22.56,2.96,25.52
gemma-2-9b-it,19.0,37.33,36.64,18.33,-0.7,17.64
gemma-3-1b-it,10.72,36.83,34.34,26.12,-2.49,23.63
gpt-4.1,34.26,52.39,43.32,18.13,-9.07,9.06
gpt-4.1-mini,33.36,50.13,44.48,16.77,-5.65,11.12
gpt-4.1-nano,21.24,46.68,41.22,25.44,-5.46,19.98
gpt-4o,28.92,41.72,40.91,12.79,-0.8,11.99
gpt-4o-mini,23.08,51.09,45.64,28.01,-5.45,22.56
gpt-4o-mini-f1,32.02,57.82,49.83,25.8,-7.99,17.81
gpt-4o-mini-f3,59.15,59.62,54.29,0.47,-5.32,-4.85
llama-3.1-405b-instruct,18.66,47.09,44.41,28.43,-2.68,25.75
llama-3.1-70b-instruct,21.63,46.94,44.35,25.31,-2.59,22.73
llama-3.1-8b-instruct,13.33,49.38,40.69,36.05,-8.7,27.35
llama-3.3-70b-instruct,21.39,50.16,45.12,28.76,-5.04,23.73
llama3.1-8b-f1,23.88,43.56,39.1,19.68,-4.46,15.22
llama3.1-8b-lora1,20.87,44.61,41.28,23.74,-3.32,20.41
llama3.3-70b-lora1,19.1,40.85,43.24,21.75,2.38,24.13
llama3.3-70b-sft1,24.52,50.81,43.29,26.3,-7.52,18.78
llama4-109b-lora1,16.19,46.29,44.76,30.11,-1.54,28.57
llama4_maverick,27.25,49.02,41.22,21.77,-7.8,13.96
llama4_scout,19.96,47.76,44.73,27.8,-3.04,24.76
mamba-codestral-7b-v0.1,15.86,40.77,32.56,24.91,-8.22,16.7
mistral-large-latest,25.75,47.7,41.91,21.95,-5.79,16.16
mistral-nemo-12b-instruct,17.43,38.86,41.69,21.43,2.82,24.25
mixtral-8x22b-instruct-v0.1,21.49,45.45,42.59,23.96,-2.86,21.1
mixtral-8x7b-instruct-v0.1,15.71,46.18,40.23,30.47,-5.94,24.53
nemotron-4-340b-instruct,23.6,44.09,38.56,20.49,-5.53,14.96
o3,36.44,61.92,52.56,25.48,-9.36,16.12
o4-mini,34.01,51.35,45.46,17.34,-5.89,11.45
pe_deepseek-r1-32b,29.54,47.35,45.11,17.81,-2.24,15.58
pe_deepseek-r1-8b,21.1,41.36,39.73,20.26,-1.64,18.63
pe_gpt-4o-mini,33.47,49.74,45.52,16.27,-4.22,12.04
pe_llama-3.1-405b-instruct,23.87,45.28,48.52,21.41,3.24,24.65
pe_llama-3.1-70b-instruct,26.22,49.31,43.04,23.1,-6.27,16.82
pe_llama-3.1-8b-instruct,21.12,46.27,42.08,25.16,-4.2,20.96
pe_llama-3.3-70b-instruct,29.75,48.49,45.95,18.74,-2.54,16.19
pe_llama4_maverick,26.08,47.71,40.13,21.63,-7.58,14.05
pe_llama4_scout,27.89,45.72,47.73,17.82,2.01,19.83
phi-3-medium-128k-instruct,11.83,25.59,23.78,13.76,-1.8,11.96
phi-3-mini-128k-instruct,13.79,30.11,32.31,16.31,2.21,18.52
qwen3-235b-a22b,34.7,47.97,45.58,13.27,-2.39,10.88
